# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 12.50<lgM<13.00, z=0.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     1.39694e+04     1.29490e+03     1.42771e+04     1.92964e+03
    1.04717e-02     1.77946e+04     1.13315e+03     1.82398e+04     1.24781e+03
    1.42665e-02     2.07858e+04     4.35468e+02     2.14045e+04     5.76017e+02
    1.81228e-02     2.17280e+04     1.00656e+03     2.25437e+04     1.22032e+03
    2.24845e-02     1.99357e+04     2.04557e+02     2.06928e+04     3.21368e+02
    2.64508e-02     1.84906e+04     2.58592e+02     1.87626e+04     2.60883e+02
    3.04474e-02     1.73627e+04     5.13906e+02     1.74505e+04     5.07901e+02
    3.47320e-02     1.52232e+04     4.08013e+02     1.52151e+04     4.08246e+02
    3.88308e-02     1.36322e+04     1.73799e+02     1.35428e+04     2.57978e+02
    4.28140e-02     1.29247e+04     7.07507e+01     1.25402e+04     1.66020e+02
    4.68856e-02     1.19738e+04     1.99440e+02     1.15130e+04     2.07843e+02
    5.09858e-02     1.12555e+04     1.30246e+02     1.07548e+04     1.66097e+02
    5.51458e-02     1.06344e+04     9.16128e+01     1.00557e+04     1.30275e+02
    5.92243e-02     1.01675e+04     1.34500e+02     9.59050e+03     1.31944e+02
    6.32864e-02     9.73480e+03     5.16995e+01     9.10705e+03     5.08575e+01
    6.73674e-02     9.23961e+03     4.31871e+01     8.59110e+03     8.12750e+01
    7.14960e-02     8.72616e+03     1.02461e+02     8.04818e+03     8.73478e+01
    7.55894e-02     8.35839e+03     4.70637e+01     7.63601e+03     4.41321e+01
    7.96660e-02     7.80751e+03     6.43776e+01     7.04217e+03     6.60640e+01
    8.38183e-02     7.39970e+03     5.54017e+01     6.56648e+03     6.45729e+01
    8.78941e-02     6.83298e+03     7.40586e+01     5.96975e+03     7.01328e+01
    9.19238e-02     6.38127e+03     4.21333e+01     5.50017e+03     3.50162e+01
    9.60446e-02     6.08253e+03     3.34278e+01     5.13703e+03     3.28095e+01
    1.00128e-01     5.68554e+03     2.80333e+01     4.74221e+03     3.24441e+01
    1.04209e-01     5.41872e+03     2.53857e+01     4.46452e+03     3.32400e+01
    1.08333e-01     5.18745e+03     2.65407e+01     4.21847e+03     2.64130e+01
    1.12448e-01     5.10699e+03     4.03217e+01     4.10217e+03     3.46732e+01
    1.16521e-01     4.92701e+03     1.76292e+01     3.95212e+03     1.90724e+01
    1.20596e-01     4.77395e+03     3.95528e+01     3.75339e+03     3.68586e+01
    1.24665e-01     4.62383e+03     1.68596e+01     3.61637e+03     2.46199e+01
    1.28771e-01     4.51257e+03     1.86334e+01     3.51496e+03     2.79932e+01
    1.32874e-01     4.39066e+03     2.20555e+01     3.39103e+03     2.02878e+01
    1.36975e-01     4.26176e+03     2.63422e+01     3.23538e+03     1.82268e+01
    1.41075e-01     4.06731e+03     1.37073e+01     3.04967e+03     1.63751e+01
    1.45172e-01     3.90835e+03     1.53681e+01     2.88249e+03     1.21227e+01
    1.49268e-01     3.77084e+03     1.55583e+01     2.73669e+03     1.24025e+01
    1.53330e-01     3.66998e+03     7.23912e+00     2.62584e+03     2.83999e+00
    1.57416e-01     3.53278e+03     2.03370e+01     2.48432e+03     1.81412e+01
    1.61514e-01     3.41210e+03     2.67152e+00     2.37109e+03     1.04471e+01
    1.65592e-01     3.33542e+03     1.73491e+01     2.28895e+03     9.44061e+00
    1.69693e-01     3.23042e+03     1.26177e+01     2.18315e+03     4.11742e+00
    1.73803e-01     3.15182e+03     1.45785e+01     2.10685e+03     8.61413e+00
    1.77905e-01     3.10529e+03     1.10437e+01     2.05210e+03     7.03547e+00
    1.82001e-01     3.03477e+03     1.09359e+01     1.98238e+03     6.78229e+00
    1.86092e-01     2.98431e+03     1.26190e+01     1.92828e+03     6.49984e+00
    1.90161e-01     2.93240e+03     8.06806e+00     1.87048e+03     3.67040e+00
    1.94237e-01     2.86987e+03     6.94077e+00     1.81142e+03     8.46059e+00
    1.98334e-01     2.80609e+03     9.74680e+00     1.74431e+03     6.44799e+00
    2.02427e-01     2.74420e+03     1.09738e+01     1.69059e+03     7.32898e+00
    2.06523e-01     2.68520e+03     1.12319e+01     1.63771e+03     5.43544e+00
    2.10626e-01     2.64070e+03     7.01833e+00     1.57637e+03     3.37829e+00
    2.14724e-01     2.57187e+03     6.74271e+00     1.52245e+03     4.95670e+00
    2.18827e-01     2.53017e+03     5.26227e+00     1.47103e+03     5.57461e+00
    2.22903e-01     2.48239e+03     6.05805e+00     1.42444e+03     4.66872e+00
    2.26990e-01     2.44954e+03     3.91189e+00     1.39246e+03     2.81320e+00
    2.31084e-01     2.39770e+03     4.04837e+00     1.34651e+03     5.20824e+00
    2.35153e-01     2.36265e+03     6.74680e+00     1.30889e+03     5.18437e+00
    2.39244e-01     2.32477e+03     6.16183e+00     1.27014e+03     5.75075e+00
    2.43338e-01     2.29569e+03     4.45978e+00     1.24175e+03     4.20456e+00
    2.47445e-01     2.26004e+03     4.49648e+00     1.20223e+03     2.30490e+00
    2.51539e-01     2.22486e+03     3.29774e+00     1.17363e+03     6.13040e+00
    2.55609e-01     2.20391e+03     5.35245e+00     1.14270e+03     2.69059e+00
    2.59718e-01     2.16780e+03     5.89041e+00     1.11746e+03     3.65529e+00
    2.63814e-01     2.13551e+03     2.24762e+00     1.08601e+03     1.72536e+00
    2.67904e-01     2.10974e+03     7.05104e+00     1.05384e+03     3.29426e+00
    2.71993e-01     2.07912e+03     4.32239e+00     1.02730e+03     4.69735e+00
    2.76068e-01     2.06028e+03     2.96281e+00     1.00792e+03     1.15855e+00
    2.80171e-01     2.03495e+03     6.92612e+00     9.85740e+02     2.94252e+00
    2.84268e-01     2.01440e+03     5.26908e+00     9.60719e+02     2.25405e+00
    2.88346e-01     1.98514e+03     4.53987e+00     9.35743e+02     3.33581e+00
    2.92426e-01     1.95797e+03     3.09013e+00     9.11099e+02     1.47721e+00
