# Real space auto- and cross-spectra.
# z=1.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.04208e+04     7.38202e+03     5.71277e+03
    1.04717e-02     1.34837e+04     9.94525e+03     7.67208e+03
    1.42665e-02     1.95676e+04     1.44799e+04     1.10779e+04
    1.81228e-02     1.80854e+04     1.30866e+04     9.88068e+03
    2.24845e-02     1.52585e+04     1.11506e+04     8.47266e+03
    2.64508e-02     1.46487e+04     1.06577e+04     8.11876e+03
    3.04474e-02     1.22000e+04     8.86951e+03     6.81128e+03
    3.47320e-02     1.09581e+04     7.84120e+03     5.97270e+03
    3.88308e-02     1.08084e+04     7.69902e+03     5.85592e+03
    4.28140e-02     9.63209e+03     6.94487e+03     5.37478e+03
    4.68856e-02     9.43226e+03     6.76268e+03     5.18844e+03
    5.09858e-02     8.48722e+03     6.01629e+03     4.60625e+03
    5.51458e-02     8.36059e+03     5.83467e+03     4.40096e+03
    5.92243e-02     7.66797e+03     5.35987e+03     4.08347e+03
    6.32864e-02     7.28038e+03     5.09395e+03     3.89353e+03
    6.73674e-02     6.90038e+03     4.77249e+03     3.61594e+03
    7.14960e-02     6.75108e+03     4.67546e+03     3.56707e+03
    7.55894e-02     6.18298e+03     4.27533e+03     3.27295e+03
    7.96660e-02     5.78202e+03     3.95723e+03     3.02191e+03
    8.38183e-02     5.52543e+03     3.77932e+03     2.87933e+03
    8.78941e-02     5.10414e+03     3.45229e+03     2.63512e+03
    9.19238e-02     4.47631e+03     3.01152e+03     2.33134e+03
    9.60446e-02     4.39203e+03     2.89426e+03     2.21144e+03
    1.00128e-01     4.12542e+03     2.73370e+03     2.10252e+03
    1.04209e-01     3.90983e+03     2.54571e+03     1.94917e+03
    1.08333e-01     3.69348e+03     2.37996e+03     1.81638e+03
    1.12448e-01     3.69935e+03     2.36962e+03     1.80196e+03
    1.16521e-01     3.49848e+03     2.25721e+03     1.73866e+03
    1.20596e-01     3.47090e+03     2.20655e+03     1.67958e+03
    1.24665e-01     3.26495e+03     2.06020e+03     1.57505e+03
    1.28771e-01     3.31784e+03     2.09707e+03     1.60014e+03
    1.32874e-01     3.13074e+03     1.97580e+03     1.51542e+03
    1.36975e-01     2.99534e+03     1.88775e+03     1.45270e+03
    1.41075e-01     2.92120e+03     1.81891e+03     1.39450e+03
    1.45172e-01     2.73521e+03     1.68745e+03     1.30486e+03
    1.49268e-01     2.56135e+03     1.56342e+03     1.21359e+03
    1.53330e-01     2.50855e+03     1.52252e+03     1.17642e+03
    1.57416e-01     2.41305e+03     1.43703e+03     1.10389e+03
    1.61514e-01     2.31660e+03     1.38124e+03     1.07154e+03
    1.65592e-01     2.25331e+03     1.32098e+03     1.02290e+03
    1.69693e-01     2.14142e+03     1.24407e+03     9.64412e+02
    1.73803e-01     2.06219e+03     1.19606e+03     9.35174e+02
    1.77905e-01     2.04946e+03     1.17790e+03     9.15564e+02
    1.82001e-01     2.02056e+03     1.15674e+03     8.95967e+02
    1.86092e-01     1.98234e+03     1.12707e+03     8.70375e+02
