# Real space auto- and cross-spectra.
# z=0.000, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.48554e+04     2.12091e+04     2.03731e+04
    1.04717e-02     2.36955e+04     1.98107e+04     1.97011e+04
    1.42665e-02     3.26181e+04     2.63281e+04     2.37939e+04
    1.81228e-02     2.57105e+04     2.14265e+04     2.06770e+04
    2.24845e-02     3.18296e+04     2.55036e+04     2.29688e+04
    2.64508e-02     2.89753e+04     2.30168e+04     2.10943e+04
    3.04474e-02     2.76845e+04     2.19410e+04     1.99944e+04
    3.47320e-02     2.36155e+04     1.79549e+04     1.64132e+04
    3.88308e-02     2.29495e+04     1.76997e+04     1.62156e+04
    4.28140e-02     2.09226e+04     1.56582e+04     1.43090e+04
    4.68856e-02     1.89670e+04     1.41591e+04     1.30050e+04
    5.09858e-02     1.84999e+04     1.33918e+04     1.22031e+04
    5.51458e-02     1.79586e+04     1.28102e+04     1.14482e+04
    5.92243e-02     1.76508e+04     1.23979e+04     1.11872e+04
    6.32864e-02     1.63196e+04     1.14916e+04     1.03989e+04
    6.73674e-02     1.53015e+04     1.06211e+04     9.65636e+03
    7.14960e-02     1.42375e+04     9.83944e+03     9.07630e+03
    7.55894e-02     1.38150e+04     9.51975e+03     8.87785e+03
    7.96660e-02     1.33156e+04     9.05416e+03     8.39934e+03
    8.38183e-02     1.24622e+04     8.25081e+03     7.67401e+03
    8.78941e-02     1.15378e+04     7.42872e+03     6.99994e+03
    9.19238e-02     1.08665e+04     6.75701e+03     6.19955e+03
    9.60446e-02     1.03189e+04     6.32707e+03     5.93152e+03
    1.00128e-01     1.01209e+04     6.13484e+03     5.71007e+03
    1.04209e-01     9.37511e+03     5.55848e+03     5.22877e+03
    1.08333e-01     9.14887e+03     5.36226e+03     5.10643e+03
    1.12448e-01     8.82037e+03     5.07249e+03     4.82232e+03
    1.16521e-01     8.83257e+03     5.09173e+03     4.80153e+03
    1.20596e-01     8.40595e+03     4.66727e+03     4.42979e+03
    1.24665e-01     8.22946e+03     4.51227e+03     4.29256e+03
    1.28771e-01     8.24211e+03     4.55448e+03     4.28238e+03
    1.32874e-01     8.10308e+03     4.41881e+03     4.23242e+03
    1.36975e-01     7.74049e+03     4.08746e+03     3.88527e+03
    1.41075e-01     7.58867e+03     4.00721e+03     3.84074e+03
    1.45172e-01     7.10087e+03     3.62185e+03     3.53037e+03
    1.49268e-01     6.98490e+03     3.51375e+03     3.41143e+03
    1.53330e-01     6.83539e+03     3.35438e+03     3.27091e+03
    1.57416e-01     6.64828e+03     3.22973e+03     3.14704e+03
    1.61514e-01     6.44212e+03     3.06544e+03     2.99394e+03
    1.65592e-01     6.37064e+03     3.00101e+03     2.94366e+03
    1.69693e-01     6.33719e+03     2.88140e+03     2.80621e+03
    1.73803e-01     6.08176e+03     2.74927e+03     2.70574e+03
    1.77905e-01     5.97891e+03     2.66774e+03     2.64634e+03
    1.82001e-01     5.94808e+03     2.59669e+03     2.57797e+03
    1.86092e-01     5.73536e+03     2.50247e+03     2.50760e+03
    1.90161e-01     5.68912e+03     2.43065e+03     2.44053e+03
    1.94237e-01     5.57051e+03     2.34477e+03     2.37994e+03
    1.98334e-01     5.41488e+03     2.25078e+03     2.30139e+03
