# Real space auto- and cross-spectra.
# z=0.500, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.73939e+04     1.31258e+04     1.10805e+04
    1.04717e-02     1.55181e+04     1.17850e+04     1.00108e+04
    1.42665e-02     2.06623e+04     1.61113e+04     1.34636e+04
    1.81228e-02     2.37518e+04     1.86853e+04     1.57388e+04
    2.24845e-02     2.10560e+04     1.62758e+04     1.36920e+04
    2.64508e-02     1.95070e+04     1.49538e+04     1.25878e+04
    3.04474e-02     1.97367e+04     1.47605e+04     1.20303e+04
    3.47320e-02     1.93493e+04     1.46204e+04     1.20324e+04
    3.88308e-02     1.52110e+04     1.13186e+04     9.36882e+03
    4.28140e-02     1.35163e+04     9.91442e+03     8.24858e+03
    4.68856e-02     1.25499e+04     9.13455e+03     7.58630e+03
    5.09858e-02     1.21726e+04     8.76143e+03     7.27073e+03
    5.51458e-02     1.16824e+04     8.27064e+03     6.77976e+03
    5.92243e-02     1.10219e+04     7.92370e+03     6.60732e+03
    6.32864e-02     1.04063e+04     7.47680e+03     6.30211e+03
    6.73674e-02     1.01112e+04     7.21448e+03     6.07205e+03
    7.14960e-02     9.39547e+03     6.60260e+03     5.53829e+03
    7.55894e-02     9.06469e+03     6.31553e+03     5.26939e+03
    7.96660e-02     8.56405e+03     5.88949e+03     4.93784e+03
    8.38183e-02     8.03841e+03     5.45919e+03     4.54291e+03
    8.78941e-02     7.46802e+03     5.01882e+03     4.21540e+03
    9.19238e-02     7.08065e+03     4.68820e+03     3.91656e+03
    9.60446e-02     6.46536e+03     4.20134e+03     3.50540e+03
    1.00128e-01     6.17321e+03     3.98178e+03     3.34929e+03
    1.04209e-01     5.87247e+03     3.75193e+03     3.17004e+03
    1.08333e-01     5.49033e+03     3.44063e+03     2.93643e+03
    1.12448e-01     5.47631e+03     3.42076e+03     2.87971e+03
    1.16521e-01     5.38367e+03     3.35085e+03     2.82853e+03
    1.20596e-01     5.17601e+03     3.14910e+03     2.66535e+03
    1.24665e-01     5.10462e+03     3.08561e+03     2.58008e+03
    1.28771e-01     4.89250e+03     2.95909e+03     2.51147e+03
    1.32874e-01     4.89763e+03     2.92464e+03     2.45782e+03
    1.36975e-01     4.64494e+03     2.76415e+03     2.34301e+03
    1.41075e-01     4.44060e+03     2.60735e+03     2.21701e+03
    1.45172e-01     4.28717e+03     2.47128e+03     2.10995e+03
    1.49268e-01     4.07678e+03     2.31597e+03     1.98894e+03
    1.53330e-01     3.94774e+03     2.18489e+03     1.87452e+03
    1.57416e-01     3.78980e+03     2.08529e+03     1.79174e+03
    1.61514e-01     3.66861e+03     1.97609e+03     1.70530e+03
    1.65592e-01     3.66109e+03     1.95577e+03     1.68848e+03
    1.69693e-01     3.48300e+03     1.84380e+03     1.60092e+03
    1.73803e-01     3.44358e+03     1.80422e+03     1.56844e+03
    1.77905e-01     3.34371e+03     1.72471e+03     1.50846e+03
    1.82001e-01     3.26229e+03     1.67529e+03     1.46178e+03
    1.86092e-01     3.21708e+03     1.62567e+03     1.41732e+03
