# Galaxy (HOD) auto- and cross-power spectra.
# Robust average of 9 spectra using sqrt(1+x^2).
# z=0.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79400e-03     2.17552e+04     3.16514e+03     1.89757e+04     2.43208e+03
    1.04720e-02     2.64545e+04     1.59008e+03     2.27068e+04     1.04567e+03
    1.42660e-02     3.18864e+04     4.68913e+02     2.73070e+04     5.38875e+02
    1.81230e-02     3.37352e+04     1.89301e+03     2.90575e+04     1.78636e+03
    2.24840e-02     3.08075e+04     5.62247e+02     2.64907e+04     5.38590e+02
    2.64510e-02     2.82390e+04     2.72647e+02     2.42350e+04     2.84663e+02
    3.04470e-02     2.62414e+04     8.22795e+02     2.23599e+04     7.44503e+02
    3.47320e-02     2.32401e+04     6.27304e+02     1.97981e+04     5.34663e+02
    3.88310e-02     2.07606e+04     4.28331e+02     1.76300e+04     3.72038e+02
    4.28140e-02     1.90461e+04     2.73065e+02     1.61260e+04     2.73077e+02
    4.68860e-02     1.76085e+04     4.26937e+02     1.48181e+04     3.47704e+02
    5.09860e-02     1.65272e+04     1.72501e+02     1.38981e+04     1.58097e+02
    5.51460e-02     1.55978e+04     1.79240e+02     1.30606e+04     1.84542e+02
    5.92240e-02     1.49612e+04     1.68540e+02     1.25543e+04     1.47073e+02
    6.32860e-02     1.41682e+04     6.77954e+01     1.18431e+04     6.52408e+01
    6.73670e-02     1.34285e+04     1.04789e+02     1.12001e+04     1.24038e+02
    7.14960e-02     1.26041e+04     1.19605e+02     1.05198e+04     9.98318e+01
    7.55890e-02     1.20582e+04     9.81825e+01     1.00226e+04     6.56722e+01
    7.96660e-02     1.12059e+04     9.38214e+01     9.28618e+03     9.38588e+01
    8.38180e-02     1.04886e+04     8.80318e+01     8.66501e+03     6.92292e+01
    8.78940e-02     9.60406e+03     9.76404e+01     7.91552e+03     7.32959e+01
    9.19240e-02     8.89895e+03     7.54268e+01     7.31100e+03     5.64973e+01
    9.60450e-02     8.36679e+03     5.47555e+01     6.82870e+03     5.29837e+01
    1.00130e-01     7.78904e+03     3.80772e+01     6.35675e+03     4.12639e+01
    1.04210e-01     7.35968e+03     7.26948e+01     5.98197e+03     4.70537e+01
    1.08330e-01     7.01311e+03     6.18985e+01     5.67740e+03     5.41112e+01
    1.12450e-01     6.84333e+03     3.46851e+01     5.52420e+03     3.03580e+01
    1.16520e-01     6.61845e+03     4.32456e+01     5.34871e+03     3.70257e+01
    1.20600e-01     6.30297e+03     5.97025e+01     5.06245e+03     3.77720e+01
    1.24660e-01     6.13472e+03     4.56712e+01     4.91790e+03     3.31304e+01
    1.28770e-01     6.00298e+03     4.86013e+01     4.81079e+03     2.97590e+01
