# Real space h-h auto- and h-m cross-spectra.
# z=2.000, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.20852e+04     6.28581e+03
    1.04717e-02     3.72962e+04     1.09017e+04
    1.42665e-02     5.18169e+04     1.53370e+04
    1.81228e-02     4.47729e+04     1.33152e+04
    2.24845e-02     4.17573e+04     1.22822e+04
    2.64508e-02     4.10677e+04     1.21558e+04
    3.04474e-02     3.68521e+04     1.07918e+04
    3.47320e-02     3.41136e+04     9.90839e+03
    3.88308e-02     3.09214e+04     8.79608e+03
    4.28140e-02     2.82861e+04     7.94086e+03
    4.68856e-02     2.66680e+04     7.70362e+03
    5.09858e-02     2.57396e+04     7.26714e+03
    5.51458e-02     2.16986e+04     6.01043e+03
    5.92243e-02     2.40765e+04     6.64147e+03
    6.32864e-02     2.17750e+04     5.98567e+03
    6.73674e-02     2.09499e+04     5.70583e+03
    7.14960e-02     1.98317e+04     5.27153e+03
    7.55894e-02     1.93616e+04     5.15342e+03
    7.96660e-02     1.81623e+04     4.80287e+03
    8.38183e-02     1.70075e+04     4.40245e+03
    8.78941e-02     1.55319e+04     3.96058e+03
    9.19238e-02     1.47607e+04     3.78876e+03
    9.60446e-02     1.41354e+04     3.55598e+03
    1.00128e-01     1.30235e+04     3.20112e+03
    1.04209e-01     1.23547e+04     2.96523e+03
    1.08333e-01     1.17439e+04     2.78267e+03
    1.12448e-01     1.17246e+04     2.78407e+03
    1.16521e-01     1.11899e+04     2.63281e+03
    1.20596e-01     1.11418e+04     2.57846e+03
    1.24665e-01     1.07187e+04     2.45475e+03
    1.28771e-01     1.06279e+04     2.44302e+03
    1.32874e-01     1.04262e+04     2.37509e+03
    1.36975e-01     1.00764e+04     2.27080e+03
    1.41075e-01     9.59214e+03     2.11418e+03
    1.45172e-01     9.36081e+03     2.05135e+03
    1.49268e-01     8.91515e+03     1.90335e+03
    1.53330e-01     8.75828e+03     1.84128e+03
    1.57416e-01     8.43852e+03     1.75360e+03
    1.61514e-01     8.23944e+03     1.67383e+03
    1.65592e-01     7.97476e+03     1.58089e+03
    1.69693e-01     7.61992e+03     1.50092e+03
    1.73803e-01     7.53825e+03     1.47201e+03
    1.77905e-01     7.45823e+03     1.44720e+03
    1.82001e-01     7.32274e+03     1.40975e+03
    1.86092e-01     7.27232e+03     1.38200e+03
    1.90161e-01     7.10958e+03     1.33274e+03
    1.94237e-01     7.06760e+03     1.31837e+03
    1.98334e-01     6.85793e+03     1.25809e+03
    2.02427e-01     6.75570e+03     1.22795e+03
    2.06523e-01     6.62993e+03     1.19260e+03
    2.10626e-01     6.39489e+03     1.12957e+03
    2.14724e-01     6.30292e+03     1.09872e+03
    2.18827e-01     6.17411e+03     1.06416e+03
    2.22903e-01     6.05164e+03     1.01568e+03
    2.26990e-01     5.98068e+03     9.99725e+02
    2.31084e-01     5.91578e+03     9.70167e+02
    2.35153e-01     5.82099e+03     9.47897e+02
    2.39244e-01     5.71536e+03     9.19109e+02
    2.43338e-01     5.62952e+03     8.95944e+02
    2.47445e-01     5.58193e+03     8.77306e+02
    2.51539e-01     5.51316e+03     8.63146e+02
    2.55609e-01     5.46522e+03     8.43139e+02
    2.59718e-01     5.35796e+03     8.15286e+02
    2.63814e-01     5.32484e+03     8.00091e+02
    2.67904e-01     5.28188e+03     7.85715e+02
    2.71993e-01     5.25171e+03     7.72629e+02
    2.76068e-01     5.07816e+03     7.39415e+02
    2.80171e-01     4.99644e+03     7.16389e+02
    2.84268e-01     4.95448e+03     7.00554e+02
    2.88346e-01     4.97977e+03     6.96653e+02
    2.92426e-01     4.86393e+03     6.76920e+02
    2.96514e-01     4.85579e+03     6.61386e+02
    3.00627e-01     4.80176e+03     6.48755e+02
    3.04729e-01     4.75092e+03     6.36943e+02
    3.08821e-01     4.70769e+03     6.22358e+02
    3.12919e-01     4.65723e+03     6.15573e+02
    3.16999e-01     4.63195e+03     6.05109e+02
    3.21078e-01     4.60153e+03     5.92656e+02
    3.25167e-01     4.57501e+03     5.78700e+02
    3.29247e-01     4.50489e+03     5.67778e+02
    3.33333e-01     4.48196e+03     5.60630e+02
    3.37443e-01     4.44332e+03     5.49795e+02
    3.41545e-01     4.38691e+03     5.32119e+02
    3.45625e-01     4.37166e+03     5.27862e+02
    3.49715e-01     4.31007e+03     5.14375e+02
    3.53817e-01     4.30307e+03     5.09354e+02
    3.57906e-01     4.25173e+03     4.95664e+02
    3.61975e-01     4.22648e+03     4.92995e+02
    3.66071e-01     4.21791e+03     4.85059e+02
    3.70189e-01     4.17473e+03     4.75683e+02
    3.74277e-01     4.14157e+03     4.66168e+02
    3.78356e-01     4.11906e+03     4.58385e+02
    3.82448e-01     4.11214e+03     4.53098e+02
    3.86535e-01     4.05895e+03     4.44225e+02
    3.90624e-01     4.05788e+03     4.40566e+02
    3.94706e-01     4.00500e+03     4.31965e+02
    3.98794e-01     4.00873e+03     4.28372e+02
    4.02896e-01     3.96108e+03     4.18094e+02
    4.06986e-01     3.94325e+03     4.12162e+02
    4.11069e-01     3.92028e+03     4.05300e+02
    4.15170e-01     3.87895e+03     3.99882e+02
    4.19263e-01     3.84228e+03     3.92571e+02
    4.23353e-01     3.86664e+03     3.89614e+02
    4.27447e-01     3.83358e+03     3.87030e+02
    4.31534e-01     3.78560e+03     3.74775e+02
    4.35624e-01     3.80780e+03     3.75085e+02
    4.39718e-01     3.76107e+03     3.67610e+02
    4.43804e-01     3.71341e+03     3.58050e+02
    4.47892e-01     3.72108e+03     3.57113e+02
    4.51977e-01     3.72091e+03     3.53798e+02
    4.56067e-01     3.68744e+03     3.47851e+02
    4.60165e-01     3.68643e+03     3.45724e+02
    4.64260e-01     3.64122e+03     3.38040e+02
    4.68355e-01     3.64371e+03     3.35599e+02
