# k, phh, phm/ 
0.0000e+00 0.0000e+00 0.0000e+00
5.7940e-03 2.0290e+04 9.5311e+03
1.0472e-02 2.7129e+04 1.2925e+04
1.4266e-02 3.6318e+04 1.7703e+04
1.8123e-02 4.3859e+04 2.1659e+04
2.2484e-02 3.7513e+04 1.8366e+04
2.6451e-02 3.8114e+04 1.8772e+04
3.0447e-02 2.6704e+04 1.3062e+04
3.4732e-02 2.7225e+04 1.3328e+04
3.8831e-02 2.2518e+04 1.0982e+04
4.2814e-02 2.1885e+04 1.0706e+04
4.6886e-02 2.0112e+04 9.7066e+03
5.0986e-02 1.9289e+04 9.3010e+03
5.5146e-02 1.7343e+04 8.4168e+03
5.9224e-02 1.6869e+04 8.1194e+03
6.3286e-02 1.5984e+04 7.6954e+03
6.7367e-02 1.5980e+04 7.6688e+03
7.1496e-02 1.5009e+04 7.1876e+03
7.5589e-02 1.4055e+04 6.6729e+03
7.9666e-02 1.3181e+04 6.2384e+03
8.3818e-02 1.2387e+04 5.8503e+03
8.7894e-02 1.1133e+04 5.2559e+03
9.1924e-02 1.0493e+04 4.8921e+03
9.6045e-02 9.7862e+03 4.5245e+03
1.0013e-01 9.1413e+03 4.2038e+03
1.0421e-01 8.6337e+03 3.9561e+03
1.0833e-01 8.1748e+03 3.7156e+03
1.1245e-01 8.1777e+03 3.7213e+03
1.1652e-01 7.8929e+03 3.5724e+03
1.2060e-01 7.5165e+03 3.3857e+03
1.2466e-01 7.4799e+03 3.3740e+03
1.2877e-01 7.2227e+03 3.2287e+03
1.3287e-01 6.9543e+03 3.0918e+03
1.3698e-01 6.5445e+03 2.9053e+03
1.4107e-01 6.3545e+03 2.7866e+03
1.4517e-01 6.1468e+03 2.6837e+03
1.4927e-01 5.7575e+03 2.4782e+03
1.5333e-01 5.5941e+03 2.4109e+03
1.5742e-01 5.3520e+03 2.2986e+03
1.6151e-01 5.1876e+03 2.2055e+03
1.6559e-01 5.0156e+03 2.1129e+03
1.6969e-01 4.8706e+03 2.0442e+03
1.7380e-01 4.6750e+03 1.9463e+03
1.7790e-01 4.6265e+03 1.9200e+03
1.8200e-01 4.5605e+03 1.8779e+03
1.8609e-01 4.3853e+03 1.8087e+03
1.9016e-01 4.3626e+03 1.7883e+03
1.9424e-01 4.1336e+03 1.6774e+03
1.9833e-01 4.2063e+03 1.7079e+03
2.0243e-01 4.0731e+03 1.6442e+03
2.0652e-01 3.8921e+03 1.5637e+03
2.1063e-01 3.8118e+03 1.5176e+03
2.1472e-01 3.6626e+03 1.4530e+03
2.1883e-01 3.6899e+03 1.4477e+03
2.2290e-01 3.6049e+03 1.4049e+03
2.2699e-01 3.4856e+03 1.3509e+03
2.3108e-01 3.4169e+03 1.3197e+03
2.3515e-01 3.3103e+03 1.2650e+03
2.3924e-01 3.2809e+03 1.2498e+03
2.4334e-01 3.2017e+03 1.2122e+03
2.4744e-01 3.1661e+03 1.1948e+03
2.5154e-01 3.0929e+03 1.1578e+03
2.5561e-01 3.0628e+03 1.1464e+03
2.5972e-01 3.0180e+03 1.1174e+03
2.6381e-01 2.9541e+03 1.0873e+03
2.6790e-01 2.9153e+03 1.0659e+03
2.7199e-01 2.8538e+03 1.0387e+03
2.7607e-01 2.8189e+03 1.0193e+03
2.8017e-01 2.7646e+03 9.9666e+02
2.8427e-01 2.6997e+03 9.6648e+02
2.8835e-01 2.6830e+03 9.5111e+02
2.9243e-01 2.6172e+03 9.2679e+02
2.9651e-01 2.5827e+03 9.1144e+02
3.0063e-01 2.5656e+03 8.9788e+02
3.0473e-01 2.4954e+03 8.7127e+02
3.0882e-01 2.5059e+03 8.6834e+02
3.1292e-01 2.4727e+03 8.5192e+02
3.1700e-01 2.4343e+03 8.3746e+02
3.2108e-01 2.3682e+03 8.0746e+02
3.2517e-01 2.3810e+03 8.0690e+02
3.2925e-01 2.3236e+03 7.8534e+02
3.3333e-01 2.2995e+03 7.7379e+02
3.3744e-01 2.2889e+03 7.6220e+02
3.4154e-01 2.2590e+03 7.5074e+02
3.4562e-01 2.2195e+03 7.3299e+02
3.4972e-01 2.1915e+03 7.2222e+02
3.5382e-01 2.1753e+03 7.0881e+02
3.5791e-01 2.1349e+03 6.9386e+02
3.6198e-01 2.1077e+03 6.8206e+02
3.6607e-01 2.1128e+03 6.7991e+02
3.7019e-01 2.0825e+03 6.6823e+02
3.7428e-01 2.0646e+03 6.5592e+02
3.7836e-01 2.0300e+03 6.4250e+02
3.8245e-01 2.0204e+03 6.3544e+02
3.8653e-01 1.9941e+03 6.2675e+02
3.9062e-01 1.9834e+03 6.2185e+02
3.9471e-01 1.9703e+03 6.1381e+02
3.9879e-01 1.9465e+03 6.0101e+02
4.0290e-01 1.9314e+03 5.9420e+02
4.0699e-01 1.9073e+03 5.8521e+02
4.1107e-01 1.8865e+03 5.7552e+02
4.1517e-01 1.8758e+03 5.7053e+02
4.1926e-01 1.8654e+03 5.6151e+02
4.2335e-01 1.8433e+03 5.5514e+02
4.2745e-01 1.8227e+03 5.4412e+02
4.3153e-01 1.8290e+03 5.4541e+02
4.3562e-01 1.7908e+03 5.3015e+02
4.3972e-01 1.7821e+03 5.2610e+02
4.4380e-01 1.7680e+03 5.2038e+02
4.4789e-01 1.7599e+03 5.1474e+02
4.5198e-01 1.7401e+03 5.0743e+02
4.5607e-01 1.7315e+03 5.0202e+02
4.6017e-01 1.7112e+03 4.9374e+02
4.6426e-01 1.7053e+03 4.9005e+02
4.6835e-01 1.6830e+03 4.8080e+02
4.7245e-01 1.6707e+03 4.7569e+02
4.7654e-01 1.6704e+03 4.7382e+02
4.8063e-01 1.6522e+03 4.6723e+02
4.8472e-01 1.6448e+03 4.6166e+02
4.8879e-01 1.6226e+03 4.5354e+02
4.9289e-01 1.6311e+03 4.5299e+02
4.9698e-01 1.6166e+03 4.4864e+02
5.0107e-01 1.6011e+03 4.4191e+02
5.0517e-01 1.5962e+03 4.3817e+02
5.0927e-01 1.5738e+03 4.3136e+02
5.1337e-01 1.5840e+03 4.3223e+02
5.1744e-01 1.5693e+03 4.2743e+02
5.2152e-01 1.5624e+03 4.2365e+02
5.2561e-01 1.5502e+03 4.1680e+02
5.2971e-01 1.5345e+03 4.1206e+02
5.3380e-01 1.5220e+03 4.0664e+02
5.3789e-01 1.5202e+03 4.0582e+02
5.4199e-01 1.5092e+03 4.0179e+02
5.4609e-01 1.5003e+03 3.9680e+02
5.5017e-01 1.4953e+03 3.9314e+02
5.5425e-01 1.4877e+03 3.8965e+02
5.5835e-01 1.4734e+03 3.8477e+02
5.6244e-01 1.4704e+03 3.8219e+02
5.6653e-01 1.4544e+03 3.7729e+02
