# Real space h-h auto- and h-m cross-spectra.
# z=1.000, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     3.36629e+04     1.28628e+04
    1.04717e-02     4.24445e+04     1.72879e+04
    1.42665e-02     5.83882e+04     2.45555e+04
    1.81228e-02     5.74304e+04     2.30184e+04
    2.24845e-02     5.13658e+04     2.00326e+04
    2.64508e-02     4.77212e+04     1.88705e+04
    3.04474e-02     4.31742e+04     1.62302e+04
    3.47320e-02     3.83640e+04     1.43305e+04
    3.88308e-02     3.60452e+04     1.36949e+04
    4.28140e-02     3.40079e+04     1.26580e+04
    4.68856e-02     3.35277e+04     1.23896e+04
    5.09858e-02     3.04879e+04     1.10125e+04
    5.51458e-02     2.91367e+04     1.05245e+04
    5.92243e-02     2.74799e+04     9.74489e+03
    6.32864e-02     2.57088e+04     9.17710e+03
    6.73674e-02     2.53473e+04     8.76176e+03
    7.14960e-02     2.41427e+04     8.48836e+03
    7.55894e-02     2.25873e+04     7.77752e+03
    7.96660e-02     2.11756e+04     7.18711e+03
    8.38183e-02     2.04593e+04     6.86144e+03
    8.78941e-02     1.92249e+04     6.35195e+03
    9.19238e-02     1.75095e+04     5.59225e+03
    9.60446e-02     1.68259e+04     5.32804e+03
    1.00128e-01     1.66125e+04     5.14259e+03
    1.04209e-01     1.53927e+04     4.72032e+03
    1.08333e-01     1.47075e+04     4.42568e+03
    1.12448e-01     1.47415e+04     4.39650e+03
    1.16521e-01     1.45795e+04     4.28512e+03
    1.20596e-01     1.40884e+04     4.09628e+03
    1.24665e-01     1.32813e+04     3.82654e+03
    1.28771e-01     1.36780e+04     3.93127e+03
    1.32874e-01     1.31459e+04     3.71294e+03
    1.36975e-01     1.27574e+04     3.55691e+03
    1.41075e-01     1.25542e+04     3.44119e+03
    1.45172e-01     1.18205e+04     3.18014e+03
    1.49268e-01     1.15736e+04     3.02306e+03
    1.53330e-01     1.12395e+04     2.90795e+03
    1.57416e-01     1.08876e+04     2.74488e+03
    1.61514e-01     1.08096e+04     2.69740e+03
    1.65592e-01     1.04556e+04     2.56325e+03
    1.69693e-01     9.97436e+03     2.39815e+03
    1.73803e-01     9.82031e+03     2.33962e+03
    1.77905e-01     9.87906e+03     2.31132e+03
    1.82001e-01     9.63634e+03     2.25619e+03
    1.86092e-01     9.52552e+03     2.19569e+03
    1.90161e-01     9.52004e+03     2.16381e+03
    1.94237e-01     9.07788e+03     2.04365e+03
    1.98334e-01     9.16987e+03     2.02393e+03
    2.02427e-01     9.04461e+03     1.97298e+03
    2.06523e-01     8.78677e+03     1.90174e+03
    2.10626e-01     8.67313e+03     1.82994e+03
    2.14724e-01     8.48947e+03     1.77125e+03
    2.18827e-01     8.36757e+03     1.71894e+03
    2.22903e-01     8.33353e+03     1.67363e+03
    2.26990e-01     8.08512e+03     1.62400e+03
    2.31084e-01     8.12959e+03     1.59573e+03
