# Real space h-h auto- and h-m cross-spectra.
# z=3.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     3.46469e+04     8.75358e+03
    1.04717e-02     2.91797e+04     7.58997e+03
    1.42665e-02     3.28446e+04     8.47795e+03
    1.81228e-02     3.51285e+04     9.04211e+03
    2.24845e-02     3.69625e+04     9.32433e+03
    2.64508e-02     3.24374e+04     8.20967e+03
    3.04474e-02     3.48515e+04     8.74231e+03
    3.47320e-02     2.66530e+04     6.69835e+03
    3.88308e-02     2.34012e+04     5.74256e+03
    4.28140e-02     2.17708e+04     5.35464e+03
    4.68856e-02     1.98668e+04     4.83798e+03
    5.09858e-02     1.87566e+04     4.57572e+03
    5.51458e-02     1.86075e+04     4.49744e+03
    5.92243e-02     1.79943e+04     4.34962e+03
    6.32864e-02     1.68821e+04     4.06946e+03
    6.73674e-02     1.62621e+04     3.88239e+03
    7.14960e-02     1.49076e+04     3.51932e+03
    7.55894e-02     1.42220e+04     3.40807e+03
    7.96660e-02     1.33591e+04     3.09794e+03
    8.38183e-02     1.29432e+04     2.99821e+03
    8.78941e-02     1.15155e+04     2.60608e+03
    9.19238e-02     1.10756e+04     2.50489e+03
    9.60446e-02     1.02137e+04     2.25888e+03
    1.00128e-01     9.53941e+03     2.09679e+03
    1.04209e-01     9.32203e+03     2.03419e+03
    1.08333e-01     8.92635e+03     1.91870e+03
    1.12448e-01     8.64801e+03     1.83104e+03
    1.16521e-01     8.27625e+03     1.73959e+03
    1.20596e-01     8.15928e+03     1.71856e+03
    1.24665e-01     8.07621e+03     1.69785e+03
    1.28771e-01     7.84539e+03     1.61420e+03
    1.32874e-01     7.62899e+03     1.58804e+03
    1.36975e-01     7.50449e+03     1.53678e+03
    1.41075e-01     7.06992e+03     1.41832e+03
    1.45172e-01     6.86628e+03     1.36658e+03
    1.49268e-01     6.59899e+03     1.30330e+03
    1.53330e-01     6.31372e+03     1.21483e+03
    1.57416e-01     5.94825e+03     1.13084e+03
    1.61514e-01     5.77444e+03     1.08262e+03
    1.65592e-01     5.66194e+03     1.04873e+03
    1.69693e-01     5.42772e+03     9.95022e+02
    1.73803e-01     5.44057e+03     9.79742e+02
    1.77905e-01     5.20833e+03     9.37007e+02
    1.82001e-01     5.15231e+03     9.18696e+02
    1.86092e-01     5.03642e+03     8.90818e+02
