# k, phh, phm/ 
0.0000e+00 0.0000e+00 0.0000e+00
5.7940e-03 2.5597e+04 2.2625e+04
1.0472e-02 3.7562e+04 3.0887e+04
1.4266e-02 2.6117e+04 2.2593e+04
1.8123e-02 3.7691e+04 3.2347e+04
2.2484e-02 3.2627e+04 2.7942e+04
2.6451e-02 2.9697e+04 2.4954e+04
3.0447e-02 2.8816e+04 2.4149e+04
3.4732e-02 2.3697e+04 1.9579e+04
3.8831e-02 2.2435e+04 1.8751e+04
4.2814e-02 1.8656e+04 1.5471e+04
4.6886e-02 1.8048e+04 1.4858e+04
5.0986e-02 1.7993e+04 1.4907e+04
5.5146e-02 1.6638e+04 1.3666e+04
5.9224e-02 1.5223e+04 1.2500e+04
6.3286e-02 1.4147e+04 1.1551e+04
6.7367e-02 1.3866e+04 1.1284e+04
7.1496e-02 1.3054e+04 1.0708e+04
7.5589e-02 1.2866e+04 1.0465e+04
7.9666e-02 1.1434e+04 9.2198e+03
8.3818e-02 1.0637e+04 8.5741e+03
8.7894e-02 9.8435e+03 7.9192e+03
9.1924e-02 9.3055e+03 7.4804e+03
9.6045e-02 8.8599e+03 7.0275e+03
1.0013e-01 8.0342e+03 6.3641e+03
1.0421e-01 7.6719e+03 6.0572e+03
1.0833e-01 7.5602e+03 5.9831e+03
1.1245e-01 7.1937e+03 5.6446e+03
1.1652e-01 6.9133e+03 5.4534e+03
1.2060e-01 6.5271e+03 5.1105e+03
1.2466e-01 6.4491e+03 5.0062e+03
1.2877e-01 6.2949e+03 4.8937e+03
1.3287e-01 5.9415e+03 4.5946e+03
1.3698e-01 5.9156e+03 4.5841e+03
1.4107e-01 5.6179e+03 4.3342e+03
1.4517e-01 5.2876e+03 4.0733e+03
1.4927e-01 5.1315e+03 3.9293e+03
1.5333e-01 4.9513e+03 3.7673e+03
1.5742e-01 4.6782e+03 3.5626e+03
1.6151e-01 4.5066e+03 3.4066e+03
1.6559e-01 4.3427e+03 3.2796e+03
1.6969e-01 4.2140e+03 3.1772e+03
1.7380e-01 4.1128e+03 3.0918e+03
1.7790e-01 4.0060e+03 3.0045e+03
1.8200e-01 3.9550e+03 2.9715e+03
