# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 13.00<lgM<13.50, z=1.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     3.56304e+04     5.59952e+03     1.38320e+04     2.30734e+03
    1.04717e-02     4.56203e+04     2.15878e+03     1.79293e+04     1.11476e+03
    1.42665e-02     5.37903e+04     2.23188e+03     2.11795e+04     8.87022e+02
    1.81228e-02     5.58126e+04     3.05281e+03     2.22498e+04     1.26523e+03
    2.24845e-02     5.34743e+04     1.28950e+03     2.08491e+04     5.14083e+02
    2.64508e-02     4.76691e+04     8.84475e+02     1.85834e+04     3.29571e+02
    3.04474e-02     4.49367e+04     8.13680e+02     1.72943e+04     4.24026e+02
    3.47320e-02     4.00210e+04     1.11544e+03     1.52230e+04     4.42740e+02
    3.88308e-02     3.61226e+04     5.17253e+02     1.36341e+04     2.28784e+02
    4.28140e-02     3.34699e+04     4.21172e+02     1.25496e+04     1.08645e+02
    4.68856e-02     3.17219e+04     3.70468e+02     1.15978e+04     2.17887e+02
    5.09858e-02     2.97475e+04     3.51621e+02     1.08753e+04     1.23437e+02
    5.51458e-02     2.81896e+04     2.17450e+02     1.01858e+04     1.05039e+02
    5.92243e-02     2.76165e+04     1.42944e+02     9.85199e+03     7.33249e+01
    6.32864e-02     2.62449e+04     1.91115e+02     9.32435e+03     7.32946e+01
    6.73674e-02     2.54698e+04     1.73592e+02     8.91162e+03     1.03249e+02
    7.14960e-02     2.38707e+04     1.25253e+02     8.30947e+03     7.12142e+01
    7.55894e-02     2.30505e+04     1.72601e+02     7.93757e+03     6.31589e+01
    7.96660e-02     2.15012e+04     1.68321e+02     7.31105e+03     7.33279e+01
    8.38183e-02     2.04718e+04     1.07176e+02     6.84833e+03     5.07179e+01
    8.78941e-02     1.91572e+04     1.20187e+02     6.26050e+03     4.75711e+01
    9.19238e-02     1.81510e+04     1.38102e+02     5.84280e+03     2.72912e+01
    9.60446e-02     1.71318e+04     1.30911e+02     5.40228e+03     4.72421e+01
    1.00128e-01     1.62527e+04     1.60942e+02     5.03029e+03     4.07789e+01
    1.04209e-01     1.54628e+04     9.40120e+01     4.70992e+03     2.96969e+01
    1.08333e-01     1.49031e+04     1.56908e+02     4.47142e+03     3.51713e+01
    1.12448e-01     1.46675e+04     8.97731e+01     4.35443e+03     2.47945e+01
    1.16521e-01     1.43258e+04     1.07206e+02     4.22173e+03     3.08391e+01
    1.20596e-01     1.39247e+04     8.77870e+01     4.04412e+03     2.18712e+01
    1.24665e-01     1.35766e+04     9.55524e+01     3.90486e+03     3.11450e+01
    1.28771e-01     1.34297e+04     5.67975e+01     3.83493e+03     1.17024e+01
    1.32874e-01     1.31806e+04     7.50614e+01     3.72413e+03     9.81411e+00
    1.36975e-01     1.27480e+04     6.64344e+01     3.54702e+03     3.02905e+01
    1.41075e-01     1.24109e+04     5.91297e+01     3.38973e+03     2.24953e+01
    1.45172e-01     1.19512e+04     6.26679e+01     3.19367e+03     2.13639e+01
    1.49268e-01     1.15195e+04     6.49021e+01     3.02579e+03     1.81453e+01
    1.53330e-01     1.12317e+04     4.28041e+01     2.90545e+03     8.91932e+00
    1.57416e-01     1.08832e+04     3.54516e+01     2.75027e+03     8.99259e+00
    1.61514e-01     1.06211e+04     6.42578e+01     2.63532e+03     1.59351e+01
    1.65592e-01     1.03946e+04     5.94615e+01     2.54360e+03     1.19134e+01
    1.69693e-01     1.00944e+04     3.79026e+01     2.42633e+03     9.19429e+00
    1.73803e-01     9.98135e+03     4.27114e+01     2.36526e+03     7.80759e+00
    1.77905e-01     9.84999e+03     2.86390e+01     2.31020e+03     3.90304e+00
    1.82001e-01     9.67248e+03     2.59129e+01     2.24860e+03     6.00002e+00
    1.86092e-01     9.53860e+03     3.20731e+01     2.19198e+03     8.15491e+00
    1.90161e-01     9.45600e+03     2.35644e+01     2.14894e+03     6.61505e+00
    1.94237e-01     9.26253e+03     5.73395e+01     2.07804e+03     1.53854e+01
    1.98334e-01     9.14555e+03     2.85891e+01     2.02461e+03     7.94007e+00
    2.02427e-01     8.98982e+03     2.68720e+01     1.96325e+03     4.17580e+00
    2.06523e-01     8.85465e+03     3.43842e+01     1.91323e+03     7.41230e+00
    2.10626e-01     8.68525e+03     1.67417e+01     1.83933e+03     7.33897e+00
    2.14724e-01     8.54071e+03     2.96631e+01     1.77753e+03     5.21122e+00
    2.18827e-01     8.42441e+03     1.93304e+01     1.72476e+03     5.29883e+00
    2.22903e-01     8.31995e+03     3.16184e+01     1.67169e+03     6.70650e+00
    2.26990e-01     8.20491e+03     3.84608e+01     1.63763e+03     7.70839e+00
    2.31084e-01     8.09973e+03     1.51391e+01     1.58159e+03     7.88448e+00
    2.35153e-01     7.95472e+03     2.68533e+01     1.53565e+03     4.74123e+00
    2.39244e-01     7.87889e+03     1.40609e+01     1.50931e+03     3.74754e+00
    2.43338e-01     7.80984e+03     1.60018e+01     1.47785e+03     4.10471e+00
    2.47445e-01     7.75292e+03     7.16697e+00     1.44726e+03     3.45632e+00
    2.51539e-01     7.66481e+03     1.97819e+01     1.42254e+03     3.07871e+00
    2.55609e-01     7.57911e+03     1.00062e+01     1.38578e+03     2.61838e+00
    2.59718e-01     7.52882e+03     1.54730e+01     1.36055e+03     2.32096e+00
    2.63814e-01     7.46182e+03     8.37942e+00     1.33091e+03     3.22345e+00
    2.67904e-01     7.36087e+03     2.04310e+01     1.29409e+03     4.61301e+00
    2.71993e-01     7.30884e+03     1.22684e+01     1.27245e+03     3.12091e+00
    2.76068e-01     7.21258e+03     1.47071e+01     1.23662e+03     2.83112e+00
