# Galaxy (HOD) auto- and cross-power spectra.
# Robust average of 9 spectra using sqrt(1+x^2).
# z=1.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    3.12920e-01     2.26554e+03     9.72962e+00     8.08720e+02     3.72454e+00
    3.17000e-01     2.23515e+03     5.98659e+00     7.93828e+02     1.66179e+00
    3.21080e-01     2.21338e+03     5.21061e+00     7.79890e+02     2.44411e+00
    3.25170e-01     2.18539e+03     7.60741e+00     7.66122e+02     2.23841e+00
    3.29250e-01     2.14630e+03     5.58008e+00     7.49290e+02     6.88162e-01
    3.33330e-01     2.12104e+03     6.47887e+00     7.36304e+02     2.42062e+00
    3.37440e-01     2.10118e+03     2.72349e+00     7.25985e+02     6.51674e-01
    3.41540e-01     2.07150e+03     1.00684e+01     7.12117e+02     2.41902e+00
    3.45620e-01     2.04970e+03     4.97768e+00     7.00483e+02     1.48321e+00
    3.49720e-01     2.02929e+03     7.71438e+00     6.90676e+02     1.41297e+00
    3.53820e-01     1.99606e+03     3.07970e+00     6.75573e+02     1.06291e+00
    3.57910e-01     1.97518e+03     5.74285e+00     6.65066e+02     1.27785e+00
    3.61980e-01     1.95745e+03     4.46588e+00     6.55132e+02     5.81586e-01
    3.66070e-01     1.93632e+03     6.42099e+00     6.45671e+02     1.60254e+00
    3.70190e-01     1.91862e+03     3.25693e+00     6.35496e+02     9.93767e-01
    3.74280e-01     1.89413e+03     7.33561e+00     6.24869e+02     1.21612e+00
    3.78360e-01     1.87935e+03     2.49076e+00     6.15911e+02     1.05991e+00
    3.82450e-01     1.85737e+03     3.20281e+00     6.05822e+02     1.48085e+00
    3.86530e-01     1.83326e+03     2.42222e+00     5.95259e+02     9.04639e-01
    3.90620e-01     1.82261e+03     5.76778e+00     5.89570e+02     1.83365e+00
    3.94710e-01     1.80268e+03     4.06986e+00     5.79643e+02     6.06328e-01
    3.98790e-01     1.78917e+03     9.43522e-01     5.73589e+02     7.97137e-01
    4.02900e-01     1.77010e+03     8.38676e+00     5.63974e+02     1.42814e+00
    4.06990e-01     1.75470e+03     4.54978e+00     5.56301e+02     1.32553e+00
    4.11070e-01     1.73910e+03     3.30352e+00     5.48242e+02     5.64160e-01
    4.15170e-01     1.72386e+03     3.15960e+00     5.40594e+02     1.19918e+00
    4.19260e-01     1.70780e+03     4.73232e+00     5.33629e+02     5.39160e-01
    4.23350e-01     1.69572e+03     2.91966e+00     5.26932e+02     8.70253e-01
    4.27450e-01     1.68068e+03     5.26791e+00     5.19658e+02     1.79709e+00
    4.31530e-01     1.66457e+03     6.13545e+00     5.12777e+02     1.00883e+00
    4.35620e-01     1.65042e+03     5.24005e+00     5.05774e+02     1.97176e+00
    4.39720e-01     1.63950e+03     2.64048e+00     4.99948e+02     8.25931e-01
    4.43800e-01     1.62739e+03     4.63341e+00     4.94383e+02     1.13939e+00
    4.47890e-01     1.61082e+03     3.20066e+00     4.86793e+02     6.99077e-01
    4.51980e-01     1.59948e+03     5.87859e+00     4.81305e+02     1.41092e+00
    4.56070e-01     1.58660e+03     3.50612e+00     4.75222e+02     4.20122e-01
    4.60170e-01     1.57312e+03     5.92831e+00     4.69780e+02     1.33831e+00
    4.64260e-01     1.56581e+03     4.29636e+00     4.65013e+02     1.01503e+00
    4.68350e-01     1.55101e+03     2.29396e+00     4.57941e+02     6.37831e-01
    4.72450e-01     1.54220e+03     4.48496e+00     4.53578e+02     5.91572e-01
    4.76540e-01     1.52756e+03     4.00109e+00     4.47119e+02     1.62935e+00
    4.80630e-01     1.51376e+03     4.58279e+00     4.41398e+02     6.83484e-01
    4.84720e-01     1.50946e+03     3.32132e+00     4.37933e+02     7.96540e-01
