# Real space auto- and cross-spectra.
# z=3.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     3.12513e+04     7.82497e+03     2.05795e+03
    1.04717e-02     3.59483e+04     9.49174e+03     2.60555e+03
    1.42665e-02     3.11230e+04     7.76452e+03     2.04402e+03
    1.81228e-02     4.24378e+04     1.08173e+04     2.85781e+03
    2.24845e-02     3.67388e+04     9.30240e+03     2.46412e+03
    2.64508e-02     3.18531e+04     8.12423e+03     2.17324e+03
    3.04474e-02     3.16430e+04     7.95466e+03     2.09850e+03
    3.47320e-02     2.53875e+04     6.38758e+03     1.70781e+03
    3.88308e-02     2.51639e+04     6.26097e+03     1.65041e+03
    4.28140e-02     2.07996e+04     5.11370e+03     1.36046e+03
    4.68856e-02     1.97418e+04     4.84999e+03     1.29858e+03
    5.09858e-02     2.04026e+04     4.98946e+03     1.31714e+03
    5.51458e-02     1.88270e+04     4.52648e+03     1.19082e+03
    5.92243e-02     1.76563e+04     4.24070e+03     1.12119e+03
    6.32864e-02     1.65799e+04     3.94417e+03     1.04007e+03
    6.73674e-02     1.57893e+04     3.76151e+03     9.93796e+02
    7.14960e-02     1.51507e+04     3.58681e+03     9.44377e+02
    7.55894e-02     1.49920e+04     3.53589e+03     9.29284e+02
    7.96660e-02     1.32973e+04     3.09078e+03     8.12565e+02
    8.38183e-02     1.25841e+04     2.88490e+03     7.57482e+02
    8.78941e-02     1.15830e+04     2.61848e+03     6.82374e+02
    9.19238e-02     1.11259e+04     2.49845e+03     6.53080e+02
    9.60446e-02     1.04949e+04     2.32852e+03     6.10851e+02
    1.00128e-01     9.52965e+03     2.08606e+03     5.46321e+02
    1.04209e-01     9.23971e+03     1.98972e+03     5.15235e+02
    1.08333e-01     9.13250e+03     1.96232e+03     5.07846e+02
    1.12448e-01     8.55877e+03     1.84532e+03     4.85358e+02
    1.16521e-01     8.49864e+03     1.80018e+03     4.66360e+02
    1.20596e-01     8.29753e+03     1.73794e+03     4.48480e+02
    1.24665e-01     8.01151e+03     1.66853e+03     4.29768e+02
    1.28771e-01     7.71654e+03     1.59913e+03     4.15157e+02
    1.32874e-01     7.49842e+03     1.52641e+03     3.92632e+02
    1.36975e-01     7.42171e+03     1.52103e+03     3.91962e+02
    1.41075e-01     7.27479e+03     1.45661e+03     3.71678e+02
    1.45172e-01     6.73172e+03     1.33242e+03     3.40889e+02
    1.49268e-01     6.51019e+03     1.27685e+03     3.26519e+02
    1.53330e-01     6.26421e+03     1.20970e+03     3.08542e+02
    1.57416e-01     5.99895e+03     1.13179e+03     2.87481e+02
    1.61514e-01     5.74959e+03     1.07788e+03     2.73497e+02
    1.65592e-01     5.63849e+03     1.04312e+03     2.63930e+02
    1.69693e-01     5.47942e+03     9.99317e+02     2.51362e+02
