# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 13.00<lgM<13.50, z=0.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     2.17326e+04     3.33840e+03     1.73884e+04     2.89260e+03
    1.04717e-02     2.90252e+04     2.08481e+03     2.26787e+04     1.48296e+03
    1.42665e-02     3.34756e+04     5.68195e+02     2.68945e+04     5.49508e+02
    1.81228e-02     3.42786e+04     1.92446e+03     2.80181e+04     1.42108e+03
    2.24845e-02     3.17993e+04     3.48710e+02     2.57922e+04     5.70330e+02
    2.64508e-02     2.92858e+04     2.32298e+02     2.31972e+04     2.86730e+02
    3.04474e-02     2.78927e+04     6.95637e+02     2.17878e+04     5.15758e+02
    3.47320e-02     2.48202e+04     8.28924e+02     1.90101e+04     5.95385e+02
    3.88308e-02     2.26930e+04     3.43622e+02     1.70784e+04     3.01151e+02
    4.28140e-02     2.08463e+04     1.58934e+02     1.55565e+04     1.94297e+02
    4.68856e-02     1.95229e+04     4.10943e+02     1.43163e+04     3.02291e+02
    5.09858e-02     1.84944e+04     1.82079e+02     1.34479e+04     1.57306e+02
    5.51458e-02     1.75888e+04     2.28491e+02     1.26594e+04     1.20865e+02
    5.92243e-02     1.69453e+04     1.87873e+02     1.20615e+04     1.51161e+02
    6.32864e-02     1.61667e+04     1.52822e+02     1.13741e+04     9.02274e+01
    6.73674e-02     1.55226e+04     9.77494e+01     1.07765e+04     9.29174e+01
    7.14960e-02     1.46286e+04     2.04451e+02     1.01096e+04     1.22941e+02
    7.55894e-02     1.41639e+04     7.34358e+01     9.63597e+03     5.85034e+01
    7.96660e-02     1.32228e+04     1.10374e+02     8.86767e+03     1.03711e+02
    8.38183e-02     1.25565e+04     7.58928e+01     8.25463e+03     8.29194e+01
    8.78941e-02     1.17716e+04     9.19875e+01     7.52872e+03     6.90714e+01
    9.19238e-02     1.10142e+04     4.02961e+01     6.95249e+03     3.71722e+01
    9.60446e-02     1.04941e+04     1.18738e+02     6.47447e+03     6.00556e+01
    1.00128e-01     9.96839e+03     4.93101e+01     6.02432e+03     3.92724e+01
    1.04209e-01     9.48432e+03     6.23641e+01     5.63894e+03     5.28679e+01
    1.08333e-01     9.20432e+03     6.78532e+01     5.35448e+03     5.49620e+01
    1.12448e-01     9.02669e+03     7.55530e+01     5.20073e+03     4.66298e+01
    1.16521e-01     8.80435e+03     3.25891e+01     5.01808e+03     4.07777e+01
    1.20596e-01     8.48696e+03     6.51677e+01     4.76414e+03     5.16564e+01
    1.24665e-01     8.33483e+03     3.55585e+01     4.62885e+03     2.04615e+01
