# k, phh, phm/ 
5.4199e-01 1.3836e+03 3.7844e+02
5.4609e-01 1.3783e+03 3.7525e+02
5.5017e-01 1.3606e+03 3.6895e+02
5.5425e-01 1.3614e+03 3.6852e+02
5.5835e-01 1.3408e+03 3.6182e+02
5.6244e-01 1.3437e+03 3.6068e+02
5.6653e-01 1.3319e+03 3.5655e+02
5.7062e-01 1.3280e+03 3.5304e+02
5.7471e-01 1.3220e+03 3.5085e+02
5.7880e-01 1.3186e+03 3.4883e+02
5.8288e-01 1.3048e+03 3.4312e+02
5.8698e-01 1.3013e+03 3.4186e+02
5.9107e-01 1.2938e+03 3.3838e+02
5.9517e-01 1.2958e+03 3.3707e+02
5.9926e-01 1.2805e+03 3.3211e+02
6.0335e-01 1.2763e+03 3.2927e+02
6.0745e-01 1.2738e+03 3.2820e+02
6.1154e-01 1.2685e+03 3.2555e+02
6.1562e-01 1.2613e+03 3.2350e+02
6.1970e-01 1.2479e+03 3.1843e+02
6.2379e-01 1.2502e+03 3.1812e+02
6.2789e-01 1.2393e+03 3.1401e+02
6.3199e-01 1.2324e+03 3.1015e+02
6.3607e-01 1.2313e+03 3.0998e+02
6.4016e-01 1.2225e+03 3.0534e+02
6.4424e-01 1.2231e+03 3.0507e+02
6.4834e-01 1.2165e+03 3.0282e+02
6.5243e-01 1.2116e+03 3.0027e+02
6.5651e-01 1.2040e+03 2.9676e+02
6.6061e-01 1.1973e+03 2.9450e+02
6.6471e-01 1.1906e+03 2.9268e+02
6.6880e-01 1.1823e+03 2.8904e+02
6.7289e-01 1.1822e+03 2.8815e+02
6.7698e-01 1.1806e+03 2.8658e+02
6.8107e-01 1.1773e+03 2.8488e+02
6.8516e-01 1.1688e+03 2.8143e+02
6.8925e-01 1.1668e+03 2.8022e+02
6.9334e-01 1.1617e+03 2.7747e+02
6.9743e-01 1.1546e+03 2.7561e+02
7.0153e-01 1.1502e+03 2.7394e+02
7.0562e-01 1.1409e+03 2.7121e+02
7.0971e-01 1.1404e+03 2.7015e+02
7.1380e-01 1.1399e+03 2.6864e+02
7.1789e-01 1.1354e+03 2.6667e+02
7.2198e-01 1.1298e+03 2.6485e+02
7.2606e-01 1.1272e+03 2.6330e+02
7.3015e-01 1.1207e+03 2.6071e+02
7.3424e-01 1.1181e+03 2.5982e+02
7.3834e-01 1.1144e+03 2.5722e+02
7.4243e-01 1.1081e+03 2.5496e+02
7.4651e-01 1.1055e+03 2.5421e+02
7.5061e-01 1.1008e+03 2.5163e+02
7.5471e-01 1.0973e+03 2.5090e+02
7.5879e-01 1.0945e+03 2.4938e+02
7.6289e-01 1.0903e+03 2.4735e+02
7.6699e-01 1.0873e+03 2.4629e+02
7.7107e-01 1.0798e+03 2.4334e+02
7.7515e-01 1.0824e+03 2.4407e+02
7.7924e-01 1.0773e+03 2.4216e+02
7.8334e-01 1.0746e+03 2.4044e+02
7.8743e-01 1.0701e+03 2.3937e+02
7.9151e-01 1.0677e+03 2.3678e+02
7.9561e-01 1.0643e+03 2.3601e+02
7.9970e-01 1.0615e+03 2.3459e+02
8.0380e-01 1.0584e+03 2.3366e+02
8.0788e-01 1.0525e+03 2.3148e+02
8.1196e-01 1.0502e+03 2.3013e+02
8.1606e-01 1.0513e+03 2.2957e+02
8.2015e-01 1.0450e+03 2.2760e+02
8.2424e-01 1.0393e+03 2.2609e+02
8.2833e-01 1.0388e+03 2.2520e+02
8.3243e-01 1.0349e+03 2.2403e+02
8.3652e-01 1.0307e+03 2.2264e+02
8.4061e-01 1.0301e+03 2.2154e+02
8.4470e-01 1.0271e+03 2.2017e+02
8.4879e-01 1.0248e+03 2.1897e+02
8.5288e-01 1.0205e+03 2.1792e+02
8.5697e-01 1.0185e+03 2.1691e+02
8.6106e-01 1.0161e+03 2.1518e+02
8.6515e-01 1.0157e+03 2.1469e+02
8.6923e-01 1.0101e+03 2.1335e+02
8.7333e-01 1.0073e+03 2.1203e+02
8.7743e-01 1.0029e+03 2.1045e+02
8.8151e-01 1.0052e+03 2.1074e+02
8.8560e-01 9.9988e+02 2.0887e+02
8.8969e-01 9.9494e+02 2.0740e+02
8.9378e-01 9.9653e+02 2.0717e+02
8.9788e-01 9.8879e+02 2.0494e+02
9.0196e-01 9.8908e+02 2.0477e+02
9.0605e-01 9.8531e+02 2.0323e+02
9.1015e-01 9.8190e+02 2.0214e+02
9.1424e-01 9.8202e+02 2.0117e+02
9.1833e-01 9.7804e+02 1.9997e+02
9.2242e-01 9.7446e+02 1.9915e+02
9.2651e-01 9.7066e+02 1.9788e+02
9.3060e-01 9.7140e+02 1.9725e+02
9.3469e-01 9.6469e+02 1.9577e+02
9.3879e-01 9.6370e+02 1.9463e+02
9.4287e-01 9.6637e+02 1.9470e+02
9.4696e-01 9.6181e+02 1.9336e+02
9.5105e-01 9.5832e+02 1.9230e+02
9.5515e-01 9.5756e+02 1.9155e+02
9.5924e-01 9.5558e+02 1.9130e+02
9.6333e-01 9.5563e+02 1.9047e+02
9.6742e-01 9.5165e+02 1.8909e+02
9.7151e-01 9.4503e+02 1.8712e+02
9.7559e-01 9.4730e+02 1.8747e+02
9.7968e-01 9.4279e+02 1.8614e+02
9.8377e-01 9.4286e+02 1.8603e+02
9.8787e-01 9.3882e+02 1.8441e+02
9.9196e-01 9.3764e+02 1.8361e+02
9.9605e-01 9.3736e+02 1.8331e+02
1.0002e+00 9.3409e+02 1.8219e+02
1.0042e+00 9.3094e+02 1.8097e+02
1.0083e+00 9.2865e+02 1.8027e+02
1.0124e+00 9.2458e+02 1.7911e+02
1.0165e+00 9.2493e+02 1.7902e+02
1.0206e+00 9.2125e+02 1.7760e+02
1.0247e+00 9.2159e+02 1.7741e+02
1.0288e+00 9.1785e+02 1.7611e+02
1.0329e+00 9.1801e+02 1.7575e+02
1.0370e+00 9.1490e+02 1.7501e+02
1.0410e+00 9.1330e+02 1.7404e+02
1.0451e+00 9.1086e+02 1.7353e+02
1.0492e+00 9.1034e+02 1.7284e+02
1.0533e+00 9.0478e+02 1.7139e+02
1.0574e+00 9.0324e+02 1.7060e+02
1.0615e+00 9.0023e+02 1.6989e+02
1.0656e+00 8.9985e+02 1.6897e+02
1.0697e+00 8.9737e+02 1.6857e+02
1.0738e+00 8.9874e+02 1.6819e+02
1.0779e+00 8.9445e+02 1.6732e+02
1.0820e+00 8.9297e+02 1.6673e+02
1.0860e+00 8.9297e+02 1.6650e+02
1.0901e+00 8.9052e+02 1.6533e+02
1.0942e+00 8.8823e+02 1.6500e+02
1.0983e+00 8.8576e+02 1.6391e+02
1.1024e+00 8.8626e+02 1.6331e+02
1.1065e+00 8.8413e+02 1.6267e+02
1.1106e+00 8.7983e+02 1.6189e+02
1.1147e+00 8.7895e+02 1.6136e+02
1.1188e+00 8.7852e+02 1.6077e+02
1.1229e+00 8.7396e+02 1.5958e+02
1.1270e+00 8.7569e+02 1.6008e+02
1.1310e+00 8.7103e+02 1.5856e+02
1.1351e+00 8.6966e+02 1.5795e+02
1.1392e+00 8.6751e+02 1.5764e+02
1.1433e+00 8.6573e+02 1.5650e+02
1.1474e+00 8.6542e+02 1.5620e+02
1.1515e+00 8.6075e+02 1.5508e+02
1.1556e+00 8.6134e+02 1.5494e+02
1.1597e+00 8.6005e+02 1.5449e+02
1.1638e+00 8.5814e+02 1.5378e+02
1.1679e+00 8.5768e+02 1.5337e+02
1.1719e+00 8.5475e+02 1.5254e+02
1.1760e+00 8.5206e+02 1.5146e+02
1.1801e+00 8.5216e+02 1.5110e+02
1.1842e+00 8.5062e+02 1.5075e+02
1.1883e+00 8.4812e+02 1.4996e+02
1.1924e+00 8.4835e+02 1.4994e+02
1.1965e+00 8.4822e+02 1.4940e+02
1.2006e+00 8.4524e+02 1.4877e+02
1.2047e+00 8.4198e+02 1.4790e+02
1.2088e+00 8.4029e+02 1.4713e+02
1.2129e+00 8.4045e+02 1.4714e+02
1.2169e+00 8.3674e+02 1.4608e+02
1.2210e+00 8.3860e+02 1.4588e+02
1.2251e+00 8.3500e+02 1.4523e+02
1.2292e+00 8.3335e+02 1.4460e+02
1.2333e+00 8.3010e+02 1.4364e+02
1.2374e+00 8.2879e+02 1.4346e+02
1.2415e+00 8.2775e+02 1.4314e+02
1.2456e+00 8.2863e+02 1.4282e+02
1.2497e+00 8.2447e+02 1.4181e+02
1.2538e+00 8.2349e+02 1.4154e+02
