# Real space h-h auto- and h-m cross-spectra.
# z=0.000, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.02964e+04     2.02348e+04
    1.04717e-02     1.74308e+04     1.80814e+04
    1.42665e-02     2.08271e+04     2.09481e+04
    1.81228e-02     1.99221e+04     2.09754e+04
    2.24845e-02     1.96696e+04     2.08525e+04
    2.64508e-02     1.85866e+04     1.89900e+04
    3.04474e-02     1.91491e+04     1.98702e+04
    3.47320e-02     1.51726e+04     1.53338e+04
    3.88308e-02     1.31950e+04     1.30885e+04
    4.28140e-02     1.29608e+04     1.23481e+04
    4.68856e-02     1.12496e+04     1.07618e+04
    5.09858e-02     1.12904e+04     1.06679e+04
    5.51458e-02     1.06575e+04     1.01047e+04
    5.92243e-02     1.05135e+04     9.91909e+03
    6.32864e-02     9.75938e+03     9.19128e+03
    6.73674e-02     9.21207e+03     8.65411e+03
    7.14960e-02     8.53266e+03     7.81800e+03
    7.55894e-02     8.64906e+03     7.82471e+03
    7.96660e-02     7.63087e+03     6.86603e+03
    8.38183e-02     7.50827e+03     6.70782e+03
    8.78941e-02     6.57309e+03     5.72196e+03
    9.19238e-02     6.32311e+03     5.48800e+03
    9.60446e-02     5.88490e+03     4.95768e+03
    1.00128e-01     5.71893e+03     4.72408e+03
    1.04209e-01     5.55041e+03     4.57517e+03
    1.08333e-01     5.25752e+03     4.24292e+03
    1.12448e-01     4.99478e+03     4.01475e+03
    1.16521e-01     4.80967e+03     3.80731e+03
    1.20596e-01     4.83187e+03     3.81014e+03
    1.24665e-01     4.72025e+03     3.67861e+03
    1.28771e-01     4.43738e+03     3.46012e+03
    1.32874e-01     4.42675e+03     3.39040e+03
    1.36975e-01     4.22481e+03     3.22227e+03
    1.41075e-01     4.07249e+03     3.04123e+03
    1.45172e-01     3.92205e+03     2.89454e+03
    1.49268e-01     3.81936e+03     2.80827e+03
    1.53330e-01     3.66884e+03     2.62444e+03
    1.57416e-01     3.52894e+03     2.48717e+03
    1.61514e-01     3.41369e+03     2.37935e+03
    1.65592e-01     3.33637e+03     2.28993e+03
    1.69693e-01     3.20844e+03     2.17639e+03
    1.73803e-01     3.16090e+03     2.12212e+03
    1.77905e-01     3.06414e+03     2.01563e+03
    1.82001e-01     3.05476e+03     1.99149e+03
    1.86092e-01     3.00551e+03     1.93716e+03
    1.90161e-01     2.95032e+03     1.88925e+03
    1.94237e-01     2.85193e+03     1.80934e+03
    1.98334e-01     2.81546e+03     1.75019e+03
    2.02427e-01     2.74524e+03     1.67957e+03
    2.06523e-01     2.68312e+03     1.64017e+03
    2.10626e-01     2.63467e+03     1.57806e+03
    2.14724e-01     2.55206e+03     1.50952e+03
    2.18827e-01     2.55569e+03     1.48728e+03
    2.22903e-01     2.48425e+03     1.41624e+03
    2.26990e-01     2.44261e+03     1.38932e+03
    2.31084e-01     2.39200e+03     1.33679e+03
    2.35153e-01     2.37277e+03     1.31890e+03
    2.39244e-01     2.32480e+03     1.27924e+03
    2.43338e-01     2.28645e+03     1.24133e+03
    2.47445e-01     2.25287e+03     1.20379e+03
    2.51539e-01     2.21532e+03     1.16938e+03
    2.55609e-01     2.21414e+03     1.14837e+03
    2.59718e-01     2.18463e+03     1.12956e+03
    2.63814e-01     2.13643e+03     1.08402e+03
    2.67904e-01     2.09805e+03     1.04556e+03
    2.71993e-01     2.08519e+03     1.02352e+03
    2.76068e-01     2.04341e+03     1.00498e+03
    2.80171e-01     2.06202e+03     9.94008e+02
    2.84268e-01     2.01648e+03     9.57867e+02
    2.88346e-01     1.99033e+03     9.41298e+02
    2.92426e-01     1.95849e+03     9.10994e+02
    2.96514e-01     1.92921e+03     8.92740e+02
    3.00627e-01     1.90959e+03     8.70470e+02
    3.04729e-01     1.90039e+03     8.51911e+02
    3.08821e-01     1.87647e+03     8.35572e+02
    3.12919e-01     1.85637e+03     8.18382e+02
    3.16999e-01     1.84202e+03     7.99373e+02
    3.21078e-01     1.82961e+03     7.83085e+02
    3.25167e-01     1.82062e+03     7.67267e+02
    3.29247e-01     1.78283e+03     7.51495e+02
    3.33333e-01     1.76958e+03     7.27294e+02
    3.37443e-01     1.76417e+03     7.23898e+02
    3.41545e-01     1.74015e+03     7.02176e+02
    3.45625e-01     1.74114e+03     6.91463e+02
    3.49715e-01     1.70955e+03     6.76248e+02
    3.53817e-01     1.71254e+03     6.70512e+02
    3.57906e-01     1.69514e+03     6.45892e+02
    3.61975e-01     1.68098e+03     6.47340e+02
    3.66071e-01     1.66577e+03     6.30233e+02
    3.70189e-01     1.66456e+03     6.22108e+02
    3.74277e-01     1.64224e+03     6.05098e+02
    3.78356e-01     1.62850e+03     5.93226e+02
    3.82448e-01     1.61727e+03     5.88961e+02
    3.86535e-01     1.60745e+03     5.76117e+02
    3.90624e-01     1.58985e+03     5.61796e+02
    3.94706e-01     1.59478e+03     5.61169e+02
    3.98794e-01     1.57364e+03     5.47067e+02
    4.02896e-01     1.56783e+03     5.41247e+02
    4.06986e-01     1.56426e+03     5.30590e+02
    4.11069e-01     1.54688e+03     5.18387e+02
    4.15170e-01     1.53986e+03     5.10440e+02
    4.19263e-01     1.54154e+03     5.04417e+02
    4.23353e-01     1.52793e+03     4.93904e+02
    4.27447e-01     1.51314e+03     4.83612e+02
    4.31534e-01     1.49718e+03     4.72812e+02
    4.35624e-01     1.50575e+03     4.69000e+02
    4.39718e-01     1.48918e+03     4.60957e+02
    4.43804e-01     1.47388e+03     4.56336e+02
    4.47892e-01     1.47466e+03     4.50382e+02
    4.51977e-01     1.47446e+03     4.44974e+02
    4.56067e-01     1.45431e+03     4.36301e+02
    4.60165e-01     1.45187e+03     4.28974e+02
    4.64260e-01     1.43842e+03     4.24728e+02
    4.68355e-01     1.43049e+03     4.15936e+02
    4.72450e-01     1.42598e+03     4.07299e+02
    4.76540e-01     1.42302e+03     4.00030e+02
    4.80633e-01     1.41705e+03     3.92370e+02
    4.84718e-01     1.40570e+03     3.88381e+02
    4.88794e-01     1.40647e+03     3.85467e+02
    4.92888e-01     1.40007e+03     3.82668e+02
    4.96984e-01     1.38414e+03     3.72600e+02
    5.01073e-01     1.39372e+03     3.75260e+02
    5.05169e-01     1.37102e+03     3.62707e+02
    5.09268e-01     1.37646e+03     3.66202e+02
    5.13369e-01     1.36195e+03     3.54530e+02
    5.17441e-01     1.36393e+03     3.50341e+02
    5.21516e-01     1.35201e+03     3.48860e+02
    5.25611e-01     1.35109e+03     3.42696e+02
    5.29706e-01     1.34812e+03     3.37873e+02
    5.33801e-01     1.33403e+03     3.32664e+02
    5.37888e-01     1.33730e+03     3.29978e+02
    5.41985e-01     1.32854e+03     3.27904e+02
    5.46091e-01     1.31917e+03     3.17841e+02
    5.50174e-01     1.31945e+03     3.18348e+02
    5.54252e-01     1.32207e+03     3.17079e+02
    5.58346e-01     1.31769e+03     3.08916e+02
    5.62439e-01     1.31000e+03     3.04895e+02
    5.66527e-01     1.30629e+03     3.01349e+02
    5.70616e-01     1.30202e+03     3.00612e+02
    5.74707e-01     1.29402e+03     2.92960e+02
    5.78798e-01     1.28850e+03     2.94294e+02
    5.82883e-01     1.28640e+03     2.86369e+02
    5.86977e-01     1.28039e+03     2.85024e+02
    5.91070e-01     1.27882e+03     2.82846e+02
    5.95166e-01     1.27130e+03     2.81219e+02
    5.99260e-01     1.27306e+03     2.74609e+02
    6.03349e-01     1.26081e+03     2.68662e+02
    6.07445e-01     1.26266e+03     2.66938e+02
    6.11543e-01     1.25227e+03     2.64253e+02
    6.15623e-01     1.26139e+03     2.64584e+02
    6.19704e-01     1.24956e+03     2.58868e+02
    6.23792e-01     1.25002e+03     2.58382e+02
    6.27891e-01     1.24683e+03     2.57090e+02
    6.31991e-01     1.24220e+03     2.52656e+02
    6.36073e-01     1.23729e+03     2.48745e+02
    6.40158e-01     1.23332e+03     2.45786e+02
    6.44244e-01     1.22824e+03     2.44261e+02
    6.48338e-01     1.22609e+03     2.41574e+02
    6.52432e-01     1.22308e+03     2.38151e+02
    6.56514e-01     1.22466e+03     2.38536e+02
    6.60609e-01     1.21884e+03     2.33088e+02
    6.64712e-01     1.21308e+03     2.29930e+02
    6.68801e-01     1.20913e+03     2.29571e+02
    6.72890e-01     1.21038e+03     2.28099e+02
    6.76984e-01     1.20542e+03     2.23886e+02
    6.81074e-01     1.20211e+03     2.25154e+02
    6.85160e-01     1.19945e+03     2.19192e+02
    6.89246e-01     1.19989e+03     2.16364e+02
    6.93336e-01     1.18677e+03     2.16369e+02
    6.97434e-01     1.19432e+03     2.13617e+02
    7.01528e-01     1.19396e+03     2.13627e+02
    7.05618e-01     1.18497e+03     2.10874e+02
    7.09708e-01     1.18278e+03     2.08769e+02
    7.13796e-01     1.17800e+03     2.03633e+02
    7.17892e-01     1.17996e+03     2.02829e+02
    7.21982e-01     1.17511e+03     2.03117e+02
    7.26059e-01     1.17360e+03     2.00495e+02
    7.30145e-01     1.16796e+03     2.00116e+02
    7.34240e-01     1.16880e+03     1.96184e+02
    7.38340e-01     1.16305e+03     1.96102e+02
    7.42427e-01     1.16216e+03     1.95500e+02
    7.46511e-01     1.15936e+03     1.91994e+02
    7.50614e-01     1.15939e+03     1.91438e+02
    7.54706e-01     1.15159e+03     1.87356e+02
    7.58795e-01     1.15206e+03     1.88091e+02
    7.62888e-01     1.14926e+03     1.86716e+02
    7.66986e-01     1.14712e+03     1.79801e+02
    7.71073e-01     1.14518e+03     1.80732e+02
    7.75153e-01     1.14004e+03     1.80979e+02
    7.79241e-01     1.14149e+03     1.80075e+02
    7.83335e-01     1.13206e+03     1.75356e+02
    7.87426e-01     1.13333e+03     1.75393e+02
