# k, phh, phm/ 
5.4199e-01 1.2215e+03 7.1856e+02
5.4609e-01 1.2163e+03 7.1470e+02
5.5017e-01 1.2064e+03 7.0641e+02
5.5425e-01 1.2018e+03 7.0271e+02
5.5835e-01 1.1980e+03 6.9860e+02
5.6244e-01 1.1880e+03 6.9008e+02
5.6653e-01 1.1816e+03 6.8861e+02
5.7062e-01 1.1729e+03 6.7831e+02
5.7471e-01 1.1666e+03 6.7550e+02
5.7880e-01 1.1573e+03 6.6661e+02
5.8288e-01 1.1497e+03 6.6408e+02
5.8698e-01 1.1518e+03 6.5962e+02
5.9107e-01 1.1461e+03 6.5730e+02
5.9517e-01 1.1376e+03 6.5049e+02
5.9926e-01 1.1288e+03 6.4423e+02
6.0335e-01 1.1282e+03 6.4282e+02
6.0745e-01 1.1184e+03 6.3527e+02
6.1154e-01 1.1126e+03 6.2954e+02
6.1562e-01 1.1141e+03 6.2973e+02
6.1970e-01 1.1043e+03 6.2250e+02
6.2379e-01 1.0996e+03 6.1937e+02
6.2789e-01 1.0968e+03 6.1738e+02
6.3199e-01 1.0872e+03 6.0818e+02
6.3607e-01 1.0896e+03 6.0791e+02
6.4016e-01 1.0851e+03 6.0639e+02
6.4424e-01 1.0783e+03 5.9968e+02
6.4834e-01 1.0718e+03 5.9660e+02
6.5243e-01 1.0706e+03 5.9259e+02
6.5651e-01 1.0640e+03 5.8750e+02
6.6061e-01 1.0625e+03 5.8644e+02
6.6471e-01 1.0484e+03 5.7699e+02
6.6880e-01 1.0472e+03 5.7569e+02
6.7289e-01 1.0486e+03 5.7481e+02
6.7698e-01 1.0418e+03 5.7055e+02
6.8107e-01 1.0334e+03 5.6484e+02
6.8516e-01 1.0338e+03 5.6311e+02
6.8925e-01 1.0311e+03 5.6088e+02
6.9334e-01 1.0270e+03 5.5752e+02
6.9743e-01 1.0224e+03 5.5387e+02
7.0153e-01 1.0182e+03 5.5052e+02
7.0562e-01 1.0130e+03 5.4719e+02
7.0971e-01 1.0124e+03 5.4497e+02
7.1380e-01 1.0052e+03 5.4127e+02
