# Real space auto- and cross-spectra.
# z=3.000, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     3.09128e+05     1.61196e+04     1.84227e+03
    1.04717e-02     3.07558e+05     1.68094e+04     2.05511e+03
    1.42665e-02     3.37538e+05     1.96889e+04     2.51000e+03
    1.81228e-02     3.03768e+05     1.69690e+04     2.15987e+03
    2.24845e-02     3.15996e+05     1.84254e+04     2.25910e+03
    2.64508e-02     2.81743e+05     1.59261e+04     2.01838e+03
    3.04474e-02     3.02182e+05     1.49160e+04     2.00936e+03
    3.47320e-02     3.04131e+05     1.41920e+04     1.73212e+03
    3.88308e-02     2.62838e+05     1.20392e+04     1.60194e+03
    4.28140e-02     2.82657e+05     1.24264e+04     1.49398e+03
    4.68856e-02     2.51073e+05     1.00280e+04     1.25642e+03
    5.09858e-02     2.41620e+05     9.33685e+03     1.19234e+03
    5.51458e-02     2.55495e+05     9.67228e+03     1.22204e+03
    5.92243e-02     2.47968e+05     9.65731e+03     1.14811e+03
    6.32864e-02     2.42218e+05     8.45206e+03     1.06979e+03
    6.73674e-02     2.50942e+05     8.82648e+03     1.04005e+03
    7.14960e-02     2.35185e+05     7.61211e+03     9.67043e+02
    7.55894e-02     2.30914e+05     6.81098e+03     8.82602e+02
    7.96660e-02     2.28913e+05     6.96834e+03     8.59203e+02
    8.38183e-02     2.21556e+05     6.31487e+03     7.50662e+02
    8.78941e-02     2.17998e+05     5.61704e+03     7.10959e+02
    9.19238e-02     2.16424e+05     5.27924e+03     6.49908e+02
    9.60446e-02     2.13495e+05     5.01252e+03     6.11235e+02
    1.00128e-01     2.09379e+05     4.65649e+03     5.59931e+02
    1.04209e-01     2.10989e+05     4.33423e+03     5.06101e+02
    1.08333e-01     2.00067e+05     3.99756e+03     4.95122e+02
    1.12448e-01     2.03815e+05     3.92431e+03     4.85823e+02
    1.16521e-01     1.99700e+05     3.85326e+03     4.62397e+02
    1.20596e-01     1.97504e+05     3.65277e+03     4.45172e+02
    1.24665e-01     1.96152e+05     3.59681e+03     4.31484e+02
    1.28771e-01     1.97747e+05     3.66998e+03     4.30039e+02
    1.32874e-01     1.95649e+05     3.26309e+03     4.05003e+02
    1.36975e-01     1.98953e+05     3.25888e+03     3.93212e+02
    1.41075e-01     1.97099e+05     3.22711e+03     3.74820e+02
    1.45172e-01     1.92746e+05     2.94649e+03     3.43398e+02
