# Real space h-h auto- and h-m cross-spectra.
# z=2.000, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     4.79336e+04     1.34232e+04
    1.04717e-02     3.47375e+04     1.08492e+04
    1.42665e-02     4.12403e+04     1.26085e+04
    1.81228e-02     4.66205e+04     1.36688e+04
    2.24845e-02     4.52572e+04     1.35563e+04
    2.64508e-02     4.26453e+04     1.23604e+04
    3.04474e-02     4.44666e+04     1.29869e+04
    3.47320e-02     3.45880e+04     9.98885e+03
    3.88308e-02     2.98966e+04     8.49248e+03
    4.28140e-02     2.79885e+04     7.94449e+03
    4.68856e-02     2.55444e+04     7.16981e+03
    5.09858e-02     2.41644e+04     6.77476e+03
    5.51458e-02     2.44871e+04     6.72152e+03
    5.92243e-02     2.35425e+04     6.48535e+03
    6.32864e-02     2.19679e+04     6.03564e+03
    6.73674e-02     2.14647e+04     5.84103e+03
    7.14960e-02     1.92337e+04     5.19311e+03
    7.55894e-02     1.92941e+04     5.15969e+03
    7.96660e-02     1.77341e+04     4.64170e+03
    8.38183e-02     1.69974e+04     4.45873e+03
    8.78941e-02     1.52263e+04     3.88693e+03
    9.19238e-02     1.48332e+04     3.76733e+03
    9.60446e-02     1.35217e+04     3.35661e+03
    1.00128e-01     1.28461e+04     3.14290e+03
    1.04209e-01     1.25701e+04     3.05341e+03
    1.08333e-01     1.20311e+04     2.87269e+03
    1.12448e-01     1.17519e+04     2.76536e+03
    1.16521e-01     1.10975e+04     2.59780e+03
    1.20596e-01     1.10528e+04     2.58001e+03
    1.24665e-01     1.09414e+04     2.54670e+03
    1.28771e-01     1.07536e+04     2.43094e+03
    1.32874e-01     1.04722e+04     2.38862e+03
    1.36975e-01     1.02521e+04     2.30793e+03
    1.41075e-01     9.74347e+03     2.14292e+03
    1.45172e-01     9.52742e+03     2.06738e+03
    1.49268e-01     9.13988e+03     1.96750e+03
    1.53330e-01     8.70736e+03     1.83605e+03
    1.57416e-01     8.33387e+03     1.72040e+03
    1.61514e-01     8.11629e+03     1.65142e+03
    1.65592e-01     7.91381e+03     1.59311e+03
    1.69693e-01     7.66376e+03     1.51513e+03
