# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 12.50<lgM<13.00, z=0.500
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     1.56399e+04     2.24030e+03     1.16754e+04     1.77203e+03
    1.04717e-02     1.92919e+04     7.50593e+02     1.48600e+04     8.93370e+02
    1.42665e-02     2.26006e+04     6.99666e+02     1.74329e+04     4.73975e+02
    1.81228e-02     2.35996e+04     1.18881e+03     1.83160e+04     9.16910e+02
    2.24845e-02     2.18379e+04     4.06669e+02     1.68199e+04     3.72168e+02
    2.64508e-02     1.97494e+04     1.71569e+02     1.51735e+04     1.94004e+02
    3.04474e-02     1.88984e+04     5.05547e+02     1.42229e+04     3.63533e+02
    3.47320e-02     1.66161e+04     4.48646e+02     1.24539e+04     3.44456e+02
    3.88308e-02     1.48459e+04     3.09948e+02     1.10853e+04     2.21509e+02
    4.28140e-02     1.38352e+04     1.83120e+02     1.02106e+04     1.74992e+02
    4.68856e-02     1.28356e+04     2.49468e+02     9.37098e+03     1.75268e+02
    5.09858e-02     1.21789e+04     1.65676e+02     8.80926e+03     1.35845e+02
    5.51458e-02     1.15708e+04     1.48142e+02     8.28340e+03     1.14573e+02
    5.92243e-02     1.10432e+04     1.80572e+02     7.90192e+03     1.16484e+02
    6.32864e-02     1.05277e+04     9.11813e+01     7.49081e+03     4.28688e+01
    6.73674e-02     1.00672e+04     6.08061e+01     7.10757e+03     7.03218e+01
    7.14960e-02     9.50184e+03     1.22215e+02     6.67238e+03     7.42926e+01
    7.55894e-02     9.18709e+03     8.21990e+01     6.37236e+03     4.46338e+01
    7.96660e-02     8.53438e+03     7.15351e+01     5.86494e+03     6.07217e+01
    8.38183e-02     8.05095e+03     4.32760e+01     5.47097e+03     3.63263e+01
    8.78941e-02     7.44637e+03     5.34578e+01     4.97647e+03     4.44612e+01
    9.19238e-02     6.94903e+03     4.68909e+01     4.60158e+03     2.18086e+01
    9.60446e-02     6.55006e+03     4.03454e+01     4.26927e+03     3.88437e+01
    1.00128e-01     6.17140e+03     2.59562e+01     3.96582e+03     2.45115e+01
    1.04209e-01     5.87988e+03     4.13206e+01     3.72661e+03     3.58688e+01
    1.08333e-01     5.62423e+03     4.33223e+01     3.52323e+03     2.94831e+01
    1.12448e-01     5.51138e+03     5.87705e+01     3.42163e+03     3.05296e+01
    1.16521e-01     5.34227e+03     1.86424e+01     3.31213e+03     1.73463e+01
    1.20596e-01     5.18184e+03     3.50789e+01     3.16350e+03     2.65547e+01
    1.24665e-01     5.02948e+03     2.20375e+01     3.05302e+03     2.22769e+01
    1.28771e-01     4.94676e+03     3.66015e+01     2.98577e+03     2.01333e+01
    1.32874e-01     4.82547e+03     3.00401e+01     2.89193e+03     1.35178e+01
    1.36975e-01     4.65176e+03     2.96465e+01     2.74974e+03     1.73906e+01
    1.41075e-01     4.46262e+03     1.57529e+01     2.60671e+03     1.38424e+01
    1.45172e-01     4.27020e+03     2.38715e+01     2.45696e+03     1.54915e+01
    1.49268e-01     4.10516e+03     2.22926e+01     2.32645e+03     1.38151e+01
    1.53330e-01     3.99243e+03     1.01449e+01     2.23119e+03     5.25271e+00
    1.57416e-01     3.84088e+03     1.24196e+01     2.10695e+03     1.44189e+01
    1.61514e-01     3.69591e+03     1.44451e+01     2.00936e+03     8.35491e+00
    1.65592e-01     3.62795e+03     1.99895e+01     1.94221e+03     1.16383e+01
    1.69693e-01     3.49307e+03     1.03981e+01     1.84777e+03     4.26157e+00
    1.73803e-01     3.42004e+03     1.53932e+01     1.79116e+03     7.90744e+00
    1.77905e-01     3.35202e+03     8.75999e+00     1.74129e+03     1.84133e+00
    1.82001e-01     3.29589e+03     1.65633e+01     1.69371e+03     9.17569e+00
    1.86092e-01     3.22815e+03     1.14740e+01     1.64663e+03     5.66570e+00
    1.90161e-01     3.16789e+03     5.77695e+00     1.60123e+03     4.28157e+00
    1.94237e-01     3.12209e+03     1.21824e+01     1.55785e+03     6.46245e+00
    1.98334e-01     3.04727e+03     4.76053e+00     1.50269e+03     2.96662e+00
    2.02427e-01     2.97970e+03     1.03243e+01     1.45424e+03     5.06941e+00
    2.06523e-01     2.92512e+03     9.21090e+00     1.41127e+03     4.03342e+00
    2.10626e-01     2.86617e+03     7.96796e+00     1.36060e+03     3.75298e+00
    2.14724e-01     2.79749e+03     9.85784e+00     1.31121e+03     3.92898e+00
    2.18827e-01     2.73570e+03     7.15379e+00     1.26460e+03     2.79277e+00
    2.22903e-01     2.67660e+03     6.94382e+00     1.22259e+03     1.66752e+00
    2.26990e-01     2.64728e+03     6.93699e+00     1.19934e+03     2.89886e+00
    2.31084e-01     2.59072e+03     9.22809e+00     1.15811e+03     5.75636e+00
    2.35153e-01     2.55221e+03     6.66112e+00     1.12189e+03     3.63305e+00
    2.39244e-01     2.50915e+03     8.24804e+00     1.09469e+03     4.33668e+00
    2.43338e-01     2.48521e+03     6.44253e+00     1.07360e+03     2.50541e+00
    2.47445e-01     2.44865e+03     4.90655e+00     1.04388e+03     1.10136e+00
    2.51539e-01     2.41680e+03     3.28334e+00     1.02011e+03     2.69867e+00
    2.55609e-01     2.38019e+03     3.17524e+00     9.93855e+02     2.39237e+00
    2.59718e-01     2.34836e+03     4.63024e+00     9.70091e+02     1.59947e+00
    2.63814e-01     2.30866e+03     6.15863e+00     9.46243e+02     3.54172e+00
    2.67904e-01     2.27929e+03     3.80847e+00     9.19869e+02     2.21003e+00
    2.71993e-01     2.25425e+03     6.46238e+00     9.00451e+02     1.36879e+00
    2.76068e-01     2.22346e+03     2.31370e+00     8.76783e+02     3.42121e+00
    2.80171e-01     2.19451e+03     3.08060e+00     8.58559e+02     1.41678e+00
    2.84268e-01     2.15919e+03     4.81992e+00     8.31912e+02     3.47215e+00
    2.88346e-01     2.14615e+03     5.85476e+00     8.18269e+02     2.52886e+00
    2.92426e-01     2.10876e+03     5.43596e+00     7.94325e+02     2.26638e+00
    2.96514e-01     2.09356e+03     5.64206e+00     7.81674e+02     2.07962e+00
    3.00627e-01     2.06312e+03     3.07311e+00     7.60577e+02     6.64443e-01
    3.04729e-01     2.04469e+03     4.70667e+00     7.45576e+02     1.71809e+00
    3.08821e-01     2.02631e+03     1.79377e+00     7.32232e+02     2.83783e+00
    3.12919e-01     2.00256e+03     2.68534e+00     7.16338e+02     2.71698e+00
    3.16999e-01     1.98665e+03     2.90598e+00     7.03558e+02     7.12059e-01
    3.21078e-01     1.96610e+03     2.92820e+00     6.89781e+02     1.70080e+00
    3.25167e-01     1.94910e+03     3.74534e+00     6.74121e+02     1.01823e+00
    3.29247e-01     1.92742e+03     2.73728e+00     6.61118e+02     2.04656e+00
    3.33333e-01     1.90995e+03     2.74425e+00     6.45731e+02     2.07125e+00
    3.37443e-01     1.89887e+03     3.17447e+00     6.37667e+02     1.40323e+00
    3.41545e-01     1.87303e+03     1.81379e+00     6.20735e+02     2.04712e+00
    3.45625e-01     1.86253e+03     4.76044e+00     6.12272e+02     1.57379e+00
    3.49715e-01     1.84848e+03     2.93091e+00     6.01444e+02     8.23058e-01
    3.53817e-01     1.82808e+03     4.34610e+00     5.87123e+02     1.68241e+00
    3.57906e-01     1.81706e+03     3.23278e+00     5.79620e+02     8.37130e-01
    3.61975e-01     1.80175e+03     4.16793e+00     5.67406e+02     1.48631e+00
