# Real space auto- and cross-spectra.
# z=1.000, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.29355e+04     1.20384e+04     6.79595e+03
    1.04717e-02     2.37452e+04     1.30374e+04     7.58124e+03
    1.42665e-02     2.82495e+04     1.57962e+04     9.26700e+03
    1.81228e-02     2.27669e+04     1.30566e+04     7.95427e+03
    2.24845e-02     2.47751e+04     1.39488e+04     8.34835e+03
    2.64508e-02     2.38510e+04     1.28757e+04     7.41592e+03
    3.04474e-02     2.31932e+04     1.26449e+04     7.39784e+03
    3.47320e-02     1.99644e+04     1.08757e+04     6.37255e+03
    3.88308e-02     1.80557e+04     9.87652e+03     5.88431e+03
    4.28140e-02     1.75476e+04     9.40465e+03     5.49412e+03
    4.68856e-02     1.45546e+04     7.80279e+03     4.62191e+03
    5.09858e-02     1.40121e+04     7.43723e+03     4.37369e+03
    5.51458e-02     1.43674e+04     7.60163e+03     4.47242e+03
    5.92243e-02     1.33986e+04     7.11915e+03     4.22231e+03
    6.32864e-02     1.26933e+04     6.64996e+03     3.93060e+03
    6.73674e-02     1.22903e+04     6.45403e+03     3.80350e+03
    7.14960e-02     1.17872e+04     6.06424e+03     3.53158e+03
    7.55894e-02     1.07882e+04     5.53319e+03     3.25189e+03
    7.96660e-02     1.06705e+04     5.40875e+03     3.15128e+03
    8.38183e-02     9.48271e+03     4.73529e+03     2.76241e+03
    8.78941e-02     9.14926e+03     4.54050e+03     2.62791e+03
    9.19238e-02     8.29840e+03     4.09064e+03     2.39857e+03
    9.60446e-02     7.97690e+03     3.87235e+03     2.26290e+03
    1.00128e-01     7.58079e+03     3.60560e+03     2.09156e+03
    1.04209e-01     6.93960e+03     3.24366e+03     1.89389e+03
    1.08333e-01     6.74219e+03     3.15789e+03     1.83794e+03
    1.12448e-01     6.65820e+03     3.10555e+03     1.80455e+03
    1.16521e-01     6.40305e+03     2.97288e+03     1.73491e+03
    1.20596e-01     6.16699e+03     2.82921e+03     1.64490e+03
    1.24665e-01     6.12700e+03     2.78357e+03     1.60994e+03
    1.28771e-01     6.02823e+03     2.74964e+03     1.59851e+03
    1.32874e-01     5.75131e+03     2.59097e+03     1.50608e+03
    1.36975e-01     5.73262e+03     2.55083e+03     1.46987e+03
    1.41075e-01     5.43801e+03     2.39072e+03     1.38753e+03
    1.45172e-01     5.10110e+03     2.20540e+03     1.28655e+03
    1.49268e-01     4.88442e+03     2.09124e+03     1.21751e+03
    1.53330e-01     4.81038e+03     2.02895e+03     1.17371e+03
    1.57416e-01     4.55321e+03     1.87817e+03     1.09176e+03
    1.61514e-01     4.40059e+03     1.79311e+03     1.03839e+03
    1.65592e-01     4.30465e+03     1.75428e+03     1.02456e+03
    1.69693e-01     4.17866e+03     1.65947e+03     9.61355e+02
    1.73803e-01     4.08524e+03     1.62224e+03     9.46605e+02
    1.77905e-01     4.00308e+03     1.58087e+03     9.18547e+02
    1.82001e-01     3.89457e+03     1.51756e+03     8.85814e+02
    1.86092e-01     3.88167e+03     1.50343e+03     8.73946e+02
    1.90161e-01     3.80563e+03     1.44883e+03     8.36319e+02
    1.94237e-01     3.79168e+03     1.43256e+03     8.22183e+02
    1.98334e-01     3.61550e+03     1.35566e+03     7.90279e+02
    2.02427e-01     3.55610e+03     1.32663e+03     7.67639e+02
    2.06523e-01     3.50576e+03     1.28459e+03     7.45302e+02
    2.10626e-01     3.44243e+03     1.24248e+03     7.17142e+02
    2.14724e-01     3.30968e+03     1.18375e+03     6.88889e+02
    2.18827e-01     3.24903e+03     1.14502e+03     6.64430e+02
    2.22903e-01     3.20280e+03     1.12043e+03     6.48982e+02
    2.26990e-01     3.12918e+03     1.08047e+03     6.31811e+02
    2.31084e-01     3.06955e+03     1.05395e+03     6.15751e+02
    2.35153e-01     3.04332e+03     1.02955e+03     5.96403e+02
    2.39244e-01     2.99029e+03     9.88782e+02     5.71036e+02
    2.43338e-01     2.97054e+03     9.84139e+02     5.69879e+02
    2.47445e-01     2.93930e+03     9.66900e+02     5.55866e+02
    2.51539e-01     2.89372e+03     9.43119e+02     5.46128e+02
    2.55609e-01     2.82632e+03     9.02185e+02     5.22446e+02
    2.59718e-01     2.79763e+03     8.95649e+02     5.19421e+02
    2.63814e-01     2.75793e+03     8.67751e+02     5.04069e+02
    2.67904e-01     2.70175e+03     8.43443e+02     4.87490e+02
    2.71993e-01     2.68482e+03     8.26246e+02     4.79530e+02
    2.76068e-01     2.68549e+03     8.13896e+02     4.67168e+02
    2.80171e-01     2.60781e+03     7.87095e+02     4.56509e+02
    2.84268e-01     2.56125e+03     7.58285e+02     4.42513e+02
    2.88346e-01     2.52382e+03     7.47909e+02     4.36203e+02
    2.92426e-01     2.52728e+03     7.31861e+02     4.25618e+02
    2.96514e-01     2.49990e+03     7.20309e+02     4.15579e+02
    3.00627e-01     2.45985e+03     7.04480e+02     4.08630e+02
    3.04729e-01     2.41001e+03     6.81543e+02     3.96828e+02
    3.08821e-01     2.37877e+03     6.66009e+02     3.89134e+02
    3.12919e-01     2.38374e+03     6.63299e+02     3.83569e+02
    3.16999e-01     2.35379e+03     6.50338e+02     3.77439e+02
    3.21078e-01     2.33093e+03     6.34574e+02     3.66572e+02
    3.25167e-01     2.31570e+03     6.23337e+02     3.61297e+02
    3.29247e-01     2.30126e+03     6.16115e+02     3.58280e+02
    3.33333e-01     2.25601e+03     5.94986e+02     3.47353e+02
    3.37443e-01     2.26197e+03     5.91775e+02     3.40459e+02
    3.41545e-01     2.20896e+03     5.72077e+02     3.35843e+02
