# Real space auto- and cross-spectra.
# z=1.000, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.45345e+04     9.37080e+03     4.32204e+03
    1.04717e-02     4.16367e+04     1.62308e+04     7.17386e+03
    1.42665e-02     5.71069e+04     2.31359e+04     9.97191e+03
    1.81228e-02     5.05084e+04     2.04231e+04     8.87548e+03
    2.24845e-02     4.83699e+04     1.89155e+04     8.09387e+03
    2.64508e-02     4.89065e+04     1.89888e+04     7.99937e+03
    3.04474e-02     4.35168e+04     1.67954e+04     7.16862e+03
    3.47320e-02     4.10362e+04     1.55310e+04     6.52145e+03
    3.88308e-02     3.55567e+04     1.34856e+04     5.72216e+03
    4.28140e-02     3.29143e+04     1.22502e+04     5.17899e+03
    4.68856e-02     3.20963e+04     1.20075e+04     5.15444e+03
    5.09858e-02     2.96705e+04     1.10686e+04     4.78462e+03
    5.51458e-02     2.63942e+04     9.41444e+03     3.97984e+03
    5.92243e-02     2.89108e+04     1.03468e+04     4.32174e+03
    6.32864e-02     2.65146e+04     9.32219e+03     3.89153e+03
    6.73674e-02     2.52415e+04     8.83984e+03     3.70306e+03
    7.14960e-02     2.40525e+04     8.18039e+03     3.39773e+03
    7.55894e-02     2.29438e+04     7.92588e+03     3.31196e+03
    7.96660e-02     2.20743e+04     7.47305e+03     3.10412e+03
    8.38183e-02     2.05799e+04     6.84618e+03     2.83662e+03
    8.78941e-02     1.93681e+04     6.23187e+03     2.55449e+03
    9.19238e-02     1.79325e+04     5.85139e+03     2.46263e+03
    9.60446e-02     1.75137e+04     5.57574e+03     2.31386e+03
    1.00128e-01     1.62413e+04     5.00559e+03     2.06714e+03
    1.04209e-01     1.53717e+04     4.66262e+03     1.91666e+03
    1.08333e-01     1.44745e+04     4.32355e+03     1.79667e+03
    1.12448e-01     1.45349e+04     4.34983e+03     1.79313e+03
    1.16521e-01     1.39608e+04     4.07840e+03     1.70405e+03
    1.20596e-01     1.37620e+04     3.99558e+03     1.63563e+03
    1.24665e-01     1.34299e+04     3.83770e+03     1.58273e+03
    1.28771e-01     1.34579e+04     3.84734e+03     1.55774e+03
    1.32874e-01     1.32330e+04     3.72964e+03     1.50934e+03
    1.36975e-01     1.25832e+04     3.52680e+03     1.44873e+03
    1.41075e-01     1.23068e+04     3.32601e+03     1.34341e+03
    1.45172e-01     1.20587e+04     3.23963e+03     1.30778e+03
    1.49268e-01     1.14182e+04     3.01189e+03     1.21542e+03
    1.53330e-01     1.13637e+04     2.92300e+03     1.16665e+03
    1.57416e-01     1.10277e+04     2.78716e+03     1.12128e+03
    1.61514e-01     1.06916e+04     2.66126e+03     1.06273e+03
    1.65592e-01     1.05747e+04     2.53407e+03     1.00017e+03
    1.69693e-01     1.01722e+04     2.42607e+03     9.60028e+02
    1.73803e-01     9.84690e+03     2.33398e+03     9.35914e+02
    1.77905e-01     9.91442e+03     2.32086e+03     9.22505e+02
    1.82001e-01     9.72084e+03     2.26156e+03     8.97263e+02
    1.86092e-01     9.63604e+03     2.22042e+03     8.73968e+02
