# Halo auto- and cross-power spectra.
# Robust average of 8 spectra using sqrt(1+x^2).
# 13.00<lgM<13.50, z=2.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     7.87961e+04     8.03593e+03     1.25761e+04     1.62120e+03
    1.04717e-02     9.84296e+04     7.67167e+03     1.66379e+04     1.18367e+03
    1.42665e-02     1.08875e+05     4.07287e+03     1.96408e+04     7.34775e+02
    1.81228e-02     1.16842e+05     4.91101e+03     2.11768e+04     1.00666e+03
    2.24845e-02     1.05884e+05     2.86304e+03     1.90354e+04     4.88411e+02
    2.64508e-02     9.90036e+04     2.77556e+03     1.73913e+04     3.69353e+02
    3.04474e-02     9.08378e+04     1.29308e+03     1.57577e+04     3.41308e+02
    3.47320e-02     8.52221e+04     3.16207e+03     1.43471e+04     4.90434e+02
    3.88308e-02     7.79668e+04     1.49233e+03     1.26760e+04     1.92231e+02
    4.28140e-02     7.31333e+04     1.67494e+03     1.17426e+04     2.17980e+02
    4.68856e-02     6.84238e+04     1.38150e+03     1.07629e+04     2.13541e+02
    5.09858e-02     6.45160e+04     1.00342e+03     1.00766e+04     5.50989e+01
    5.51458e-02     6.19108e+04     5.67028e+02     9.33100e+03     1.32551e+02
    5.92243e-02     6.14370e+04     9.89244e+02     9.18875e+03     9.39646e+01
    6.32864e-02     5.92621e+04     2.89215e+02     8.74358e+03     4.15235e+01
    6.73674e-02     5.73126e+04     6.94746e+02     8.28170e+03     1.40457e+02
    7.14960e-02     5.49734e+04     7.27623e+02     7.75526e+03     6.35288e+01
    7.55894e-02     5.35616e+04     4.98800e+02     7.42296e+03     6.77261e+01
    7.96660e-02     5.10111e+04     4.77996e+02     6.86248e+03     7.02942e+01
    8.38183e-02     4.88548e+04     4.03112e+02     6.46153e+03     4.71177e+01
    8.78941e-02     4.63328e+04     4.32056e+02     5.85761e+03     4.82213e+01
    9.19238e-02     4.44723e+04     5.59755e+02     5.46120e+03     5.94775e+01
    9.60446e-02     4.24434e+04     3.12957e+02     5.02664e+03     5.43055e+01
    1.00128e-01     4.10553e+04     3.22970e+02     4.70193e+03     3.45745e+01
    1.04209e-01     3.95131e+04     1.81438e+02     4.43395e+03     3.72084e+01
    1.08333e-01     3.88286e+04     1.51393e+02     4.20875e+03     1.94896e+01
    1.12448e-01     3.79792e+04     4.46444e+02     4.03508e+03     1.35937e+01
    1.16521e-01     3.72177e+04     3.86047e+02     3.94356e+03     5.22618e+01
    1.20596e-01     3.66946e+04     2.10558e+02     3.80290e+03     2.34918e+01
    1.24665e-01     3.62777e+04     1.65170e+02     3.68375e+03     1.43111e+01
    1.28771e-01     3.59917e+04     1.25121e+02     3.62743e+03     2.20146e+01
    1.32874e-01     3.51896e+04     1.45695e+02     3.51637e+03     1.20960e+01
    1.36975e-01     3.43654e+04     4.05830e+02     3.33002e+03     4.38652e+01
    1.41075e-01     3.38724e+04     1.44519e+02     3.18819e+03     3.19971e+01
    1.45172e-01     3.31386e+04     1.29017e+02     3.04708e+03     2.08597e+01
    1.49268e-01     3.22581e+04     1.69302e+02     2.87357e+03     1.21094e+01
    1.53330e-01     3.16310e+04     1.03849e+02     2.72981e+03     1.35356e+01
    1.57416e-01     3.09772e+04     1.23426e+02     2.59803e+03     1.39535e+01
    1.61514e-01     3.06590e+04     1.39597e+02     2.49029e+03     1.74355e+01
    1.65592e-01     3.01259e+04     3.66498e+02     2.41777e+03     1.78269e+01
    1.69693e-01     2.95667e+04     9.19238e+01     2.30116e+03     1.64721e+01
    1.73803e-01     2.93620e+04     1.10564e+02     2.23040e+03     8.28905e+00
    1.77905e-01     2.88606e+04     9.55834e+01     2.18832e+03     1.14394e+01
    1.82001e-01     2.86285e+04     4.32714e+01     2.12193e+03     7.28080e+00
    1.86092e-01     2.82524e+04     6.33341e+01     2.07538e+03     5.43362e+00
    1.90161e-01     2.82724e+04     8.95159e+01     2.05048e+03     2.72601e+00
    1.94237e-01     2.77826e+04     9.44270e+01     1.97525e+03     1.90822e+01
    1.98334e-01     2.76106e+04     1.43831e+02     1.93291e+03     9.13031e+00
    2.02427e-01     2.73522e+04     4.93292e+01     1.87751e+03     9.10656e+00
    2.06523e-01     2.70400e+04     1.16277e+02     1.81875e+03     1.10298e+01
    2.10626e-01     2.67185e+04     1.33010e+02     1.75889e+03     1.04558e+01
    2.14724e-01     2.64201e+04     5.59027e+01     1.69522e+03     4.05343e+00
    2.18827e-01     2.61251e+04     1.24084e+02     1.64219e+03     1.07387e+01
    2.22903e-01     2.57630e+04     4.36167e+01     1.58412e+03     4.55325e+00
    2.26990e-01     2.57960e+04     6.99448e+01     1.55391e+03     2.43204e+00
    2.31084e-01     2.55366e+04     6.06156e+01     1.50793e+03     6.80332e+00
    2.35153e-01     2.51433e+04     8.63474e+01     1.45839e+03     7.41376e+00
    2.39244e-01     2.49987e+04     7.93536e+01     1.43587e+03     5.24997e+00
    2.43338e-01     2.48869e+04     8.46777e+01     1.40022e+03     3.72705e+00
    2.47445e-01     2.47376e+04     6.93828e+01     1.38417e+03     1.52527e+00
    2.51539e-01     2.46272e+04     3.70129e+01     1.35477e+03     2.00434e+00
    2.55609e-01     2.44181e+04     9.43081e+01     1.33079e+03     4.54684e+00
    2.59718e-01     2.41949e+04     7.15943e+01     1.29849e+03     2.62976e+00
    2.63814e-01     2.40917e+04     7.66812e+01     1.27192e+03     2.93197e+00
    2.67904e-01     2.38833e+04     5.18279e+01     1.24006e+03     5.99106e+00
    2.71993e-01     2.36753e+04     4.61726e+01     1.21667e+03     1.71771e+00
    2.76068e-01     2.35791e+04     3.69463e+01     1.18753e+03     4.12277e+00
    2.80171e-01     2.34835e+04     4.68640e+01     1.16252e+03     4.23047e+00
    2.84268e-01     2.32672e+04     7.29336e+01     1.12834e+03     3.96985e+00
    2.88346e-01     2.30562e+04     5.03649e+01     1.11154e+03     2.49322e+00
    2.92426e-01     2.30221e+04     5.19617e+01     1.09012e+03     2.71646e+00
    2.96514e-01     2.28841e+04     1.01331e+02     1.06738e+03     3.68913e+00
    3.00627e-01     2.28022e+04     5.36627e+01     1.04800e+03     5.10246e+00
    3.04729e-01     2.26347e+04     4.92268e+01     1.02613e+03     1.44993e+00
    3.08821e-01     2.24772e+04     5.27350e+01     1.01197e+03     3.30234e+00
    3.12919e-01     2.23906e+04     6.46585e+01     9.94946e+02     3.32048e+00
    3.16999e-01     2.22526e+04     5.38699e+01     9.76170e+02     3.90285e+00
    3.21078e-01     2.22077e+04     3.82648e+01     9.58742e+02     2.15094e+00
    3.25167e-01     2.20899e+04     4.06467e+01     9.43662e+02     2.92322e+00
