# Real space auto- and cross-spectra.
# z=0.000, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.53611e+04     2.03528e+04     1.86709e+04
    1.04717e-02     2.18667e+04     1.75253e+04     1.68762e+04
    1.42665e-02     3.16860e+04     2.52954e+04     2.26399e+04
    1.81228e-02     3.72194e+04     2.99111e+04     2.64705e+04
    2.24845e-02     3.14636e+04     2.50727e+04     2.29649e+04
    2.64508e-02     2.91585e+04     2.29602e+04     2.11816e+04
    3.04474e-02     2.86109e+04     2.24233e+04     2.01457e+04
    3.47320e-02     2.87699e+04     2.23066e+04     2.01303e+04
    3.88308e-02     2.30118e+04     1.73229e+04     1.56680e+04
    4.28140e-02     2.06410e+04     1.51718e+04     1.38313e+04
    4.68856e-02     1.92968e+04     1.40163e+04     1.27080e+04
    5.09858e-02     1.88278e+04     1.35090e+04     1.21623e+04
    5.51458e-02     1.81420e+04     1.27127e+04     1.13462e+04
    5.92243e-02     1.73566e+04     1.22816e+04     1.10431e+04
    6.32864e-02     1.58939e+04     1.12486e+04     1.04968e+04
    6.73674e-02     1.55325e+04     1.09152e+04     1.00953e+04
    7.14960e-02     1.46686e+04     1.00494e+04     9.24277e+03
    7.55894e-02     1.41459e+04     9.57910e+03     8.77484e+03
    7.96660e-02     1.36004e+04     9.07045e+03     8.25954e+03
    8.38183e-02     1.26451e+04     8.23236e+03     7.56500e+03
    8.78941e-02     1.17352e+04     7.60359e+03     7.07805e+03
    9.19238e-02     1.10610e+04     7.00231e+03     6.55345e+03
    9.60446e-02     1.02710e+04     6.32265e+03     5.91932e+03
    1.00128e-01     1.00007e+04     6.04466e+03     5.63777e+03
    1.04209e-01     9.48095e+03     5.67008e+03     5.35434e+03
    1.08333e-01     8.99663e+03     5.22938e+03     4.96671e+03
    1.12448e-01     8.89902e+03     5.20649e+03     4.91538e+03
    1.16521e-01     8.89580e+03     5.10004e+03     4.81175e+03
    1.20596e-01     8.39519e+03     4.75073e+03     4.50817e+03
    1.24665e-01     8.38758e+03     4.64213e+03     4.36970e+03
    1.28771e-01     8.12844e+03     4.47938e+03     4.25757e+03
    1.32874e-01     8.13010e+03     4.39852e+03     4.16666e+03
    1.36975e-01     7.80387e+03     4.17612e+03     3.97591e+03
    1.41075e-01     7.47890e+03     3.93312e+03     3.77278e+03
    1.45172e-01     7.29019e+03     3.74561e+03     3.61198e+03
    1.49268e-01     6.96261e+03     3.53809e+03     3.44229e+03
    1.53330e-01     6.86422e+03     3.34178e+03     3.23454e+03
    1.57416e-01     6.57066e+03     3.17133e+03     3.10891e+03
    1.61514e-01     6.39952e+03     3.01412e+03     2.98747e+03
    1.65592e-01     6.39786e+03     2.96904e+03     2.93693e+03
    1.69693e-01     6.14744e+03     2.84772e+03     2.81665e+03
    1.73803e-01     6.11555e+03     2.79484e+03     2.75174e+03
    1.77905e-01     5.95813e+03     2.65880e+03     2.64659e+03
    1.82001e-01     5.84858e+03     2.55197e+03     2.56460e+03
    1.86092e-01     5.74974e+03     2.47578e+03     2.50402e+03
    1.90161e-01     5.68377e+03     2.43365e+03     2.44001e+03
    1.94237e-01     5.61049e+03     2.36715e+03     2.36609e+03
    1.98334e-01     5.52077e+03     2.29598e+03     2.31888e+03
    2.02427e-01     5.41140e+03     2.26229e+03     2.29984e+03
    2.06523e-01     5.30450e+03     2.18474e+03     2.21563e+03
    2.10626e-01     5.29596e+03     2.07737e+03     2.14534e+03
    2.14724e-01     5.17051e+03     2.04283e+03     2.11674e+03
    2.18827e-01     5.12457e+03     1.97560e+03     2.02680e+03
    2.22903e-01     4.99280e+03     1.87943e+03     1.95968e+03
    2.26990e-01     4.96357e+03     1.84653e+03     1.92975e+03
    2.31084e-01     4.88823e+03     1.80455e+03     1.90446e+03
