# Real space auto- and cross-spectra.
# z=1.500, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     3.63449e+04     9.63627e+03     3.00786e+03
    1.04717e-02     8.95201e+04     2.42281e+04     7.28074e+03
    1.42665e-02     8.37156e+04     2.21304e+04     6.44197e+03
    1.81228e-02     7.99690e+04     2.14371e+04     6.33633e+03
    2.24845e-02     8.08320e+04     2.18839e+04     6.50389e+03
    2.64508e-02     5.65848e+04     1.54106e+04     4.81175e+03
    3.04474e-02     6.41496e+04     1.67878e+04     4.93444e+03
    3.47320e-02     5.28068e+04     1.35892e+04     4.06690e+03
    3.88308e-02     5.00287e+04     1.26926e+04     3.74995e+03
    4.28140e-02     5.05571e+04     1.24146e+04     3.61006e+03
    4.68856e-02     4.66059e+04     1.13482e+04     3.30281e+03
    5.09858e-02     4.23198e+04     1.05182e+04     3.12196e+03
    5.51458e-02     4.12540e+04     9.88735e+03     2.89346e+03
    5.92243e-02     3.84039e+04     8.92918e+03     2.61330e+03
    6.32864e-02     3.76324e+04     8.97425e+03     2.64025e+03
    6.73674e-02     3.75605e+04     8.68233e+03     2.51783e+03
    7.14960e-02     3.46652e+04     7.98107e+03     2.35934e+03
    7.55894e-02     3.28705e+04     7.51246e+03     2.21982e+03
    7.96660e-02     3.08999e+04     6.84315e+03     2.00476e+03
    8.38183e-02     2.99307e+04     6.46523e+03     1.87786e+03
    8.78941e-02     2.75256e+04     5.88214e+03     1.72685e+03
    9.19238e-02     2.75315e+04     5.71798e+03     1.63601e+03
    9.60446e-02     2.55764e+04     5.18209e+03     1.49207e+03
    1.00128e-01     2.42549e+04     4.78913e+03     1.37131e+03
    1.04209e-01     2.32675e+04     4.53958e+03     1.30666e+03
    1.08333e-01     2.22650e+04     4.29223e+03     1.23052e+03
    1.12448e-01     2.18682e+04     4.06025e+03     1.16499e+03
    1.16521e-01     2.12441e+04     4.00775e+03     1.14566e+03
    1.20596e-01     2.12732e+04     3.95499e+03     1.13196e+03
    1.24665e-01     2.08798e+04     3.75682e+03     1.06842e+03
    1.28771e-01     2.04180e+04     3.64796e+03     1.04345e+03
    1.32874e-01     2.05429e+04     3.64067e+03     1.02087e+03
    1.36975e-01     1.93961e+04     3.35911e+03     9.34594e+02
    1.41075e-01     1.91626e+04     3.27848e+03     9.17373e+02
    1.45172e-01     1.83585e+04     3.06250e+03     8.56437e+02
    1.49268e-01     1.79896e+04     2.93480e+03     8.14645e+02
    1.53330e-01     1.76322e+04     2.82012e+03     7.76608e+02
    1.57416e-01     1.71663e+04     2.65054e+03     7.20436e+02
    1.61514e-01     1.66622e+04     2.54729e+03     6.97344e+02
    1.65592e-01     1.68982e+04     2.52803e+03     6.72869e+02
    1.69693e-01     1.62133e+04     2.37671e+03     6.42906e+02
    1.73803e-01     1.58386e+04     2.28453e+03     6.16161e+02
    1.77905e-01     1.55958e+04     2.23943e+03     6.03279e+02
    1.82001e-01     1.52902e+04     2.16047e+03     5.79075e+02
    1.86092e-01     1.52246e+04     2.12993e+03     5.69913e+02
    1.90161e-01     1.52913e+04     2.10089e+03     5.54760e+02
    1.94237e-01     1.49539e+04     2.06211e+03     5.49038e+02
    1.98334e-01     1.46920e+04     1.96863e+03     5.22379e+02
    2.02427e-01     1.45448e+04     1.91392e+03     5.05753e+02
    2.06523e-01     1.44615e+04     1.87254e+03     4.90709e+02
    2.10626e-01     1.40413e+04     1.79987e+03     4.71996e+02
    2.14724e-01     1.38084e+04     1.72993e+03     4.52598e+02
    2.18827e-01     1.37181e+04     1.67919e+03     4.32906e+02
    2.22903e-01     1.34210e+04     1.60753e+03     4.15928e+02
    2.26990e-01     1.34446e+04     1.60247e+03     4.09748e+02
    2.31084e-01     1.30791e+04     1.52195e+03     3.91133e+02
    2.35153e-01     1.29416e+04     1.48638e+03     3.80631e+02
    2.39244e-01     1.29104e+04     1.47107e+03     3.76286e+02
    2.43338e-01     1.27110e+04     1.42130e+03     3.62292e+02
    2.47445e-01     1.26668e+04     1.39848e+03     3.54982e+02
    2.51539e-01     1.26428e+04     1.39656e+03     3.51967e+02
    2.55609e-01     1.25353e+04     1.36542e+03     3.42054e+02
    2.59718e-01     1.22310e+04     1.31847e+03     3.32400e+02
    2.63814e-01     1.21993e+04     1.28609e+03     3.22902e+02
    2.67904e-01     1.20675e+04     1.23967e+03     3.12714e+02
    2.71993e-01     1.20768e+04     1.25569e+03     3.13339e+02
    2.76068e-01     1.18824e+04     1.19322e+03     2.95939e+02
    2.80171e-01     1.17870e+04     1.17393e+03     2.90556e+02
    2.84268e-01     1.17406e+04     1.15234e+03     2.82058e+02
    2.88346e-01     1.16092e+04     1.12626e+03     2.75043e+02
    2.92426e-01     1.15111e+04     1.10754e+03     2.68921e+02
