# k | Phh | Phm
5.794040000000000301e-03 1.884760423114240621e+04 1.023571263420047035e+04
1.047170000000000045e-02 2.374540568766802971e+04 1.310641208053809169e+04
1.426649999999999967e-02 2.739726588105699921e+04 1.526748042158132739e+04
1.812280000000000141e-02 2.887196444132392935e+04 1.614854541278502620e+04
2.248450000000000101e-02 2.664880181204713881e+04 1.485526769858617081e+04
2.645080000000000001e-02 2.418491294149333044e+04 1.339939165454672548e+04
3.044739999999999946e-02 2.248467043847792957e+04 1.241259314616087613e+04
3.473199999999999898e-02 1.999491789154293656e+04 1.094236578818047383e+04
3.883079999999999865e-02 1.806520464524846102e+04 9.804322891491137852e+03
4.281399999999999789e-02 1.673427648794707420e+04 9.022480673975302125e+03
4.688559999999999950e-02 1.544913342132658909e+04 8.270917483201938012e+03
5.098579999999999779e-02 1.460680413097305609e+04 7.775735372696154627e+03
5.514580000000000176e-02 1.379474761424785902e+04 7.300165564689561506e+03
5.922430000000000055e-02 1.333740824053529832e+04 7.030143017093048911e+03
6.328640000000000654e-02 1.270936394536331682e+04 6.664372697402553968e+03
6.736739999999999395e-02 1.212991886714149223e+04 6.324614370764890737e+03
7.149600000000000399e-02 1.147487883868933750e+04 5.939076121401249111e+03
7.558940000000000103e-02 1.097698221522133827e+04 5.647564430148275278e+03
7.966600000000000070e-02 1.025498232883686433e+04 5.220220202503156543e+03
8.381829999999999836e-02 9.662800952838992089e+03 4.874440516230168214e+03
8.789410000000000278e-02 8.932690076121325546e+03 4.442040498867318092e+03
9.192379999999999995e-02 8.399594025684116787e+03 4.128268981850053024e+03
9.604459999999999387e-02 7.873102414967492223e+03 3.819733677734826415e+03
1.001279999999999948e-01 7.421320825078088092e+03 3.556693482299775042e+03
1.042089999999999961e-01 7.045332567640998604e+03 3.335081019636107612e+03
1.083329999999999987e-01 6.742589383181160883e+03 3.160760799671346376e+03
1.124480000000000063e-01 6.568427410042251722e+03 3.060052443486537413e+03
1.165209999999999996e-01 6.420175435545284927e+03 2.972269184943200798e+03
1.205959999999999949e-01 6.200214715857850024e+03 2.845374113712088274e+03
1.246649999999999980e-01 6.026096407101658770e+03 2.746008141854930727e+03
1.287709999999999966e-01 5.929849384004328385e+03 2.689894718648186426e+03
1.328739999999999921e-01 5.782314350769258454e+03 2.605996282143119515e+03
1.369750000000000134e-01 5.566311847665972891e+03 2.480574671524046607e+03
1.410750000000000060e-01 5.368993799052279428e+03 2.364436259303536644e+03
1.451719999999999955e-01 5.141097279717920173e+03 2.230567503285124531e+03
1.492680000000000118e-01 4.933123529461861835e+03 2.108595778378939940e+03
1.533299999999999941e-01 4.776178628810255759e+03 2.017954152992722584e+03
1.574160000000000004e-01 4.590312569010116931e+03 1.909681977628870072e+03
1.615139999999999909e-01 4.435748903124411299e+03 1.820017299712711065e+03
1.655919999999999892e-01 4.341291050735664612e+03 1.765367399720006915e+03
1.696930000000000105e-01 4.190187225665800725e+03 1.678628287522715937e+03
1.738030000000000130e-01 4.101786962229320125e+03 1.628384995104715927e+03
1.779050000000000076e-01 4.031476680918002330e+03 1.589650597442412391e+03
1.820009999999999961e-01 3.950718096457154843e+03 1.544675070523016757e+03
1.860920000000000074e-01 3.878926749167294929e+03 1.504728167210490028e+03
