# k, phh, phm/ 
0.0000e+00 0.0000e+00 0.0000e+00
5.7940e-03 1.4168e+04 7.4485e+03
1.0472e-02 3.5499e+04 1.8003e+04
1.4266e-02 3.5315e+04 1.7663e+04
1.8123e-02 4.0701e+04 2.0798e+04
2.2484e-02 3.3756e+04 1.7226e+04
2.6451e-02 3.0073e+04 1.5087e+04
3.0447e-02 2.6538e+04 1.3448e+04
3.4732e-02 2.7102e+04 1.3738e+04
3.8831e-02 2.1473e+04 1.0905e+04
4.2814e-02 2.1009e+04 1.0659e+04
4.6886e-02 1.9235e+04 9.6613e+03
5.0986e-02 1.6468e+04 8.1629e+03
5.5146e-02 1.6046e+04 7.9981e+03
5.9224e-02 1.5844e+04 7.8718e+03
6.3286e-02 1.5653e+04 7.7534e+03
6.7367e-02 1.4035e+04 6.8956e+03
7.1496e-02 1.3958e+04 6.8314e+03
7.5589e-02 1.2991e+04 6.4064e+03
7.9666e-02 1.1976e+04 5.8753e+03
8.3818e-02 1.1624e+04 5.6450e+03
8.7894e-02 1.0668e+04 5.1676e+03
9.1924e-02 9.7447e+03 4.6777e+03
9.6045e-02 9.2105e+03 4.4096e+03
1.0013e-01 8.5516e+03 4.0835e+03
1.0421e-01 8.3205e+03 3.9250e+03
1.0833e-01 7.8500e+03 3.6933e+03
1.1245e-01 7.3674e+03 3.4467e+03
1.1652e-01 7.1945e+03 3.3573e+03
1.2060e-01 7.0275e+03 3.2699e+03
1.2466e-01 6.8350e+03 3.1515e+03
1.2877e-01 6.6671e+03 3.0790e+03
1.3287e-01 6.5961e+03 3.0121e+03
1.3698e-01 6.2046e+03 2.8207e+03
1.4107e-01 5.9699e+03 2.6936e+03
1.4517e-01 5.6653e+03 2.5569e+03
1.4927e-01 5.4803e+03 2.4509e+03
1.5333e-01 5.2428e+03 2.3243e+03
1.5742e-01 5.0692e+03 2.2333e+03
1.6151e-01 4.7429e+03 2.0795e+03
1.6559e-01 4.6038e+03 2.0034e+03
1.6969e-01 4.4882e+03 1.9488e+03
1.7380e-01 4.3853e+03 1.8908e+03
1.7790e-01 4.3553e+03 1.8700e+03
1.8200e-01 4.1689e+03 1.7833e+03
1.8609e-01 4.1001e+03 1.7478e+03
1.9016e-01 4.0449e+03 1.7145e+03
1.9424e-01 3.9702e+03 1.6775e+03
1.9833e-01 3.9082e+03 1.6350e+03
2.0243e-01 3.7428e+03 1.5567e+03
2.0652e-01 3.6089e+03 1.4902e+03
2.1063e-01 3.5892e+03 1.4792e+03
2.1472e-01 3.4419e+03 1.4065e+03
2.1883e-01 3.3478e+03 1.3526e+03
2.2290e-01 3.2873e+03 1.3233e+03
2.2699e-01 3.2067e+03 1.2824e+03
2.3108e-01 3.1083e+03 1.2321e+03
2.3515e-01 3.0945e+03 1.2212e+03
2.3924e-01 3.0412e+03 1.1959e+03
2.4334e-01 2.9558e+03 1.1580e+03
2.4744e-01 2.9038e+03 1.1339e+03
2.5154e-01 2.8982e+03 1.1248e+03
2.5561e-01 2.8125e+03 1.0857e+03
2.5972e-01 2.8007e+03 1.0724e+03
2.6381e-01 2.7392e+03 1.0475e+03
2.6790e-01 2.6815e+03 1.0185e+03
2.7199e-01 2.6299e+03 9.9462e+02
2.7607e-01 2.5865e+03 9.7137e+02
2.8017e-01 2.5372e+03 9.4235e+02
2.8427e-01 2.5249e+03 9.3468e+02
2.8835e-01 2.4623e+03 9.0747e+02
2.9243e-01 2.4192e+03 8.8352e+02
2.9651e-01 2.3806e+03 8.6794e+02
3.0063e-01 2.3675e+03 8.5806e+02
3.0473e-01 2.3277e+03 8.4131e+02
3.0882e-01 2.3068e+03 8.2776e+02
3.1292e-01 2.2332e+03 7.9911e+02
3.1700e-01 2.2359e+03 7.9167e+02
3.2108e-01 2.2106e+03 7.7831e+02
3.2517e-01 2.1930e+03 7.6981e+02
3.2925e-01 2.1467e+03 7.5005e+02
3.3333e-01 2.1338e+03 7.3871e+02
3.3744e-01 2.1049e+03 7.2593e+02
3.4154e-01 2.0646e+03 7.0908e+02
3.4562e-01 2.0558e+03 7.0102e+02
3.4972e-01 2.0517e+03 6.9609e+02
3.5382e-01 1.9928e+03 6.7297e+02
3.5791e-01 1.9846e+03 6.6648e+02
3.6198e-01 1.9643e+03 6.5478e+02
3.6607e-01 1.9574e+03 6.5183e+02
3.7019e-01 1.9224e+03 6.3748e+02
3.7428e-01 1.9085e+03 6.2894e+02
3.7836e-01 1.9000e+03 6.2123e+02
3.8245e-01 1.8589e+03 6.0410e+02
3.8653e-01 1.8362e+03 5.9660e+02
3.9062e-01 1.8288e+03 5.9188e+02
3.9471e-01 1.8140e+03 5.8335e+02
3.9879e-01 1.7832e+03 5.7208e+02
4.0290e-01 1.7784e+03 5.6639e+02
4.0699e-01 1.7619e+03 5.5970e+02
4.1107e-01 1.7403e+03 5.4781e+02
4.1517e-01 1.7213e+03 5.4117e+02
4.1926e-01 1.7135e+03 5.3529e+02
4.2335e-01 1.6979e+03 5.2809e+02
4.2745e-01 1.6860e+03 5.2178e+02
4.3153e-01 1.6636e+03 5.1347e+02
4.3562e-01 1.6405e+03 5.0175e+02
4.3972e-01 1.6413e+03 5.0075e+02
4.4380e-01 1.6347e+03 4.9793e+02
4.4789e-01 1.6089e+03 4.8565e+02
4.5198e-01 1.6117e+03 4.8462e+02
4.5607e-01 1.5885e+03 4.7530e+02
4.6017e-01 1.5830e+03 4.7213e+02
4.6426e-01 1.5695e+03 4.6470e+02
4.6835e-01 1.5479e+03 4.5665e+02
4.7245e-01 1.5498e+03 4.5466e+02
4.7654e-01 1.5314e+03 4.4767e+02
4.8063e-01 1.5237e+03 4.4455e+02
4.8472e-01 1.5105e+03 4.3741e+02
4.8879e-01 1.4940e+03 4.3107e+02
4.9289e-01 1.4932e+03 4.3029e+02
4.9698e-01 1.4867e+03 4.2615e+02
5.0107e-01 1.4661e+03 4.1854e+02
5.0517e-01 1.4568e+03 4.1468e+02
5.0927e-01 1.4530e+03 4.1131e+02
5.1337e-01 1.4566e+03 4.1059e+02
5.1744e-01 1.4425e+03 4.0532e+02
5.2152e-01 1.4302e+03 3.9944e+02
5.2561e-01 1.4121e+03 3.9252e+02
5.2971e-01 1.4139e+03 3.9263e+02
5.3380e-01 1.3953e+03 3.8619e+02
5.3789e-01 1.3949e+03 3.8277e+02
5.4199e-01 1.3791e+03 3.7716e+02
5.4609e-01 1.3720e+03 3.7512e+02
5.5017e-01 1.3639e+03 3.6977e+02
5.5425e-01 1.3622e+03 3.6854e+02
5.5835e-01 1.3533e+03 3.6394e+02
5.6244e-01 1.3527e+03 3.6279e+02
5.6653e-01 1.3389e+03 3.5785e+02
5.7062e-01 1.3318e+03 3.5352e+02
5.7471e-01 1.3277e+03 3.5128e+02
5.7880e-01 1.3220e+03 3.4874e+02
5.8288e-01 1.3077e+03 3.4390e+02
5.8698e-01 1.3049e+03 3.4214e+02
5.9107e-01 1.2984e+03 3.3847e+02
5.9517e-01 1.2924e+03 3.3594e+02
5.9926e-01 1.2818e+03 3.3250e+02
6.0335e-01 1.2814e+03 3.3058e+02
6.0745e-01 1.2765e+03 3.2813e+02
6.1154e-01 1.2735e+03 3.2664e+02
6.1562e-01 1.2542e+03 3.2129e+02
6.1970e-01 1.2577e+03 3.1969e+02
6.2379e-01 1.2465e+03 3.1677e+02
6.2789e-01 1.2391e+03 3.1418e+02
6.3199e-01 1.2388e+03 3.1253e+02
6.3607e-01 1.2305e+03 3.0864e+02
6.4016e-01 1.2313e+03 3.0835e+02
6.4424e-01 1.2270e+03 3.0473e+02
6.4834e-01 1.2177e+03 3.0231e+02
6.5243e-01 1.2140e+03 2.9981e+02
6.5651e-01 1.2026e+03 2.9612e+02
6.6061e-01 1.2029e+03 2.9614e+02
6.6471e-01 1.1998e+03 2.9336e+02
6.6880e-01 1.1890e+03 2.9002e+02
6.7289e-01 1.1894e+03 2.8932e+02
6.7698e-01 1.1764e+03 2.8568e+02
6.8107e-01 1.1789e+03 2.8507e+02
6.8516e-01 1.1705e+03 2.8206e+02
6.8925e-01 1.1665e+03 2.7982e+02
6.9334e-01 1.1658e+03 2.7882e+02
6.9743e-01 1.1578e+03 2.7623e+02
7.0153e-01 1.1541e+03 2.7401e+02
7.0562e-01 1.1475e+03 2.7241e+02
7.0971e-01 1.1527e+03 2.7270e+02
7.1380e-01 1.1402e+03 2.6816e+02
7.1789e-01 1.1383e+03 2.6718e+02
7.2198e-01 1.1307e+03 2.6428e+02
7.2606e-01 1.1254e+03 2.6184e+02
7.3015e-01 1.1279e+03 2.6192e+02
7.3424e-01 1.1195e+03 2.5960e+02
7.3834e-01 1.1223e+03 2.5855e+02
7.4243e-01 1.1132e+03 2.5644e+02
7.4651e-01 1.1108e+03 2.5472e+02
7.5061e-01 1.1038e+03 2.5287e+02
7.5471e-01 1.0965e+03 2.5031e+02
7.5879e-01 1.1048e+03 2.5126e+02
7.6289e-01 1.0945e+03 2.4788e+02
7.6699e-01 1.0883e+03 2.4653e+02
7.7107e-01 1.0853e+03 2.4479e+02
7.7515e-01 1.0833e+03 2.4347e+02
7.7924e-01 1.0799e+03 2.4233e+02
7.8334e-01 1.0782e+03 2.4077e+02
7.8743e-01 1.0745e+03 2.3936e+02
7.9151e-01 1.0679e+03 2.3729e+02
7.9561e-01 1.0709e+03 2.3698e+02
7.9970e-01 1.0646e+03 2.3542e+02
8.0380e-01 1.0560e+03 2.3307e+02
8.0788e-01 1.0556e+03 2.3184e+02
8.1196e-01 1.0556e+03 2.3094e+02
8.1606e-01 1.0521e+03 2.2992e+02
8.2015e-01 1.0440e+03 2.2696e+02
8.2424e-01 1.0442e+03 2.2716e+02
