# Real space h-h auto- and h-m cross-spectra.
# z=3.000, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.59294e+05     1.40616e+04
    1.04717e-02     3.85010e+05     1.86778e+04
    1.42665e-02     3.55853e+05     1.88868e+04
    1.81228e-02     3.44328e+05     1.86555e+04
    2.24845e-02     3.23563e+05     1.93789e+04
    2.64508e-02     3.31003e+05     1.85881e+04
    3.04474e-02     3.12280e+05     1.81166e+04
    3.47320e-02     2.68169e+05     1.29044e+04
    3.88308e-02     2.90782e+05     1.29561e+04
    4.28140e-02     2.69338e+05     1.08710e+04
    4.68856e-02     2.55947e+05     9.96640e+03
    5.09858e-02     2.50792e+05     9.08310e+03
    5.51458e-02     2.53755e+05     9.21946e+03
    5.92243e-02     2.44554e+05     8.74983e+03
    6.32864e-02     2.49594e+05     8.61413e+03
    6.73674e-02     2.45382e+05     8.59992e+03
    7.14960e-02     2.25016e+05     7.20517e+03
    7.55894e-02     2.33801e+05     7.33644e+03
    7.96660e-02     2.23197e+05     6.28435e+03
    8.38183e-02     2.26104e+05     6.18298e+03
    8.78941e-02     2.28019e+05     5.66258e+03
    9.19238e-02     2.19916e+05     5.49504e+03
    9.60446e-02     2.11512e+05     4.52034e+03
    1.00128e-01     2.13305e+05     4.49096e+03
    1.04209e-01     2.11475e+05     4.29180e+03
    1.08333e-01     2.09565e+05     4.01064e+03
    1.12448e-01     2.08649e+05     3.95060e+03
    1.16521e-01     2.01649e+05     3.77993e+03
    1.20596e-01     2.05693e+05     3.75252e+03
    1.24665e-01     2.04213e+05     3.56106e+03
    1.28771e-01     1.99883e+05     3.41737e+03
    1.32874e-01     2.02164e+05     3.47195e+03
    1.36975e-01     1.99089e+05     3.46311e+03
    1.41075e-01     1.96349e+05     3.15652e+03
    1.45172e-01     1.97934e+05     3.08675e+03
    1.49268e-01     1.98564e+05     2.96649e+03
    1.53330e-01     1.93529e+05     2.60163e+03
    1.57416e-01     1.94114e+05     2.58282e+03
    1.61514e-01     1.93402e+05     2.43518e+03
    1.65592e-01     1.91884e+05     2.34995e+03
    1.69693e-01     1.92081e+05     2.19048e+03
    1.73803e-01     1.87016e+05     2.21455e+03
    1.77905e-01     1.85933e+05     2.10885e+03
    1.82001e-01     1.87325e+05     2.06001e+03
    1.86092e-01     1.87051e+05     2.03934e+03
    1.90161e-01     1.85279e+05     2.02769e+03
    1.94237e-01     1.85605e+05     1.95213e+03
    1.98334e-01     1.84594e+05     1.87393e+03
    2.02427e-01     1.84017e+05     1.79031e+03
    2.06523e-01     1.83415e+05     1.73791e+03
    2.10626e-01     1.86393e+05     1.72348e+03
    2.14724e-01     1.84015e+05     1.74520e+03
    2.18827e-01     1.81023e+05     1.64530e+03
    2.22903e-01     1.81713e+05     1.52511e+03
    2.26990e-01     1.81741e+05     1.51879e+03
    2.31084e-01     1.79340e+05     1.45975e+03
    2.35153e-01     1.80061e+05     1.44541e+03
    2.39244e-01     1.79605e+05     1.39563e+03
    2.43338e-01     1.79733e+05     1.37183e+03
    2.47445e-01     1.77597e+05     1.35616e+03
    2.51539e-01     1.78519e+05     1.30678e+03
    2.55609e-01     1.75186e+05     1.30846e+03
    2.59718e-01     1.76532e+05     1.24593e+03
    2.63814e-01     1.76093e+05     1.25627e+03
    2.67904e-01     1.74117e+05     1.22963e+03
    2.71993e-01     1.75012e+05     1.15199e+03
    2.76068e-01     1.74529e+05     1.14175e+03
    2.80171e-01     1.72970e+05     1.09407e+03
    2.84268e-01     1.75506e+05     1.08919e+03
    2.88346e-01     1.74987e+05     1.08069e+03
    2.92426e-01     1.73429e+05     1.06347e+03
    2.96514e-01     1.73979e+05     1.03860e+03
    3.00627e-01     1.73719e+05     1.02569e+03
    3.04729e-01     1.74540e+05     1.02702e+03
    3.08821e-01     1.71404e+05     9.84263e+02
    3.12919e-01     1.71141e+05     9.47075e+02
