# Real space h-h auto- and h-m cross-spectra.
# z=0.500, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     9.87314e+03     7.11800e+03
    1.04717e-02     2.29942e+04     1.78385e+04
    1.42665e-02     2.17446e+04     1.68963e+04
    1.81228e-02     2.60456e+04     2.05363e+04
    2.24845e-02     2.22051e+04     1.71761e+04
    2.64508e-02     1.96036e+04     1.49578e+04
    3.04474e-02     1.81023e+04     1.35269e+04
    3.47320e-02     1.82508e+04     1.37237e+04
    3.88308e-02     1.43179e+04     1.07402e+04
    4.28140e-02     1.42716e+04     1.06417e+04
    4.68856e-02     1.32036e+04     9.66120e+03
    5.09858e-02     1.14752e+04     8.15917e+03
    5.51458e-02     1.12550e+04     8.01046e+03
    5.92243e-02     1.07544e+04     7.75046e+03
    6.32864e-02     1.07417e+04     7.64486e+03
    6.73674e-02     9.63388e+03     6.73882e+03
    7.14960e-02     9.71793e+03     6.77610e+03
    7.55894e-02     9.10388e+03     6.34045e+03
    7.96660e-02     8.39393e+03     5.78928e+03
    8.38183e-02     8.05646e+03     5.50292e+03
    8.78941e-02     7.58711e+03     5.10281e+03
    9.19238e-02     6.95988e+03     4.58778e+03
    9.60446e-02     6.53724e+03     4.29426e+03
    1.00128e-01     6.13507e+03     3.97304e+03
    1.04209e-01     6.02554e+03     3.81892e+03
    1.08333e-01     5.62971e+03     3.57071e+03
    1.12448e-01     5.52812e+03     3.37837e+03
    1.16521e-01     5.29442e+03     3.26554e+03
    1.20596e-01     5.16346e+03     3.15997e+03
    1.24665e-01     5.01425e+03     3.04460e+03
    1.28771e-01     4.83574e+03     2.94123e+03
    1.32874e-01     4.83069e+03     2.89828e+03
    1.36975e-01     4.59080e+03     2.69661e+03
    1.41075e-01     4.41088e+03     2.56675e+03
    1.45172e-01     4.24461e+03     2.44245e+03
    1.49268e-01     4.11620e+03     2.32968e+03
    1.53330e-01     3.99934e+03     2.24416e+03
    1.57416e-01     3.86549e+03     2.13429e+03
    1.61514e-01     3.63637e+03     1.96914e+03
    1.65592e-01     3.62569e+03     1.92324e+03
    1.69693e-01     3.50868e+03     1.85574e+03
    1.73803e-01     3.47490e+03     1.80765e+03
    1.77905e-01     3.38378e+03     1.76600e+03
    1.82001e-01     3.30275e+03     1.69185e+03
    1.86092e-01     3.25026e+03     1.65559e+03
    1.90161e-01     3.16924e+03     1.60393e+03
    1.94237e-01     3.13110e+03     1.57236e+03
    1.98334e-01     3.06745e+03     1.52404e+03
    2.02427e-01     2.97900e+03     1.45139e+03
    2.06523e-01     2.89981e+03     1.38499e+03
    2.10626e-01     2.87150e+03     1.36944e+03
    2.14724e-01     2.79778e+03     1.30825e+03
    2.18827e-01     2.71896e+03     1.25601e+03
    2.22903e-01     2.67215e+03     1.22211e+03
    2.26990e-01     2.63710e+03     1.18993e+03
    2.31084e-01     2.57981e+03     1.14326e+03
    2.35153e-01     2.53449e+03     1.11481e+03
    2.39244e-01     2.50629e+03     1.09184e+03
    2.43338e-01     2.48063e+03     1.06407e+03
    2.47445e-01     2.43929e+03     1.03524e+03
    2.51539e-01     2.42498e+03     1.02966e+03
    2.55609e-01     2.37552e+03     9.87015e+02
    2.59718e-01     2.33228e+03     9.69106e+02
    2.63814e-01     2.30090e+03     9.46831e+02
    2.67904e-01     2.27484e+03     9.17449e+02
    2.71993e-01     2.24110e+03     8.93359e+02
    2.76068e-01     2.24089e+03     8.82467e+02
    2.80171e-01     2.18813e+03     8.52080e+02
    2.84268e-01     2.16530e+03     8.41464e+02
    2.88346e-01     2.12054e+03     8.08225e+02
    2.92426e-01     2.10878e+03     7.94014e+02
    2.96514e-01     2.08222e+03     7.74526e+02
    3.00627e-01     2.05310e+03     7.61364e+02
    3.04729e-01     2.04201e+03     7.47459e+02
    3.08821e-01     2.03526e+03     7.37853e+02
    3.12919e-01     1.98396e+03     7.08722e+02
    3.16999e-01     1.98823e+03     7.01038e+02
    3.21078e-01     1.96396e+03     6.93766e+02
    3.25167e-01     1.94693e+03     6.73848e+02
    3.29247e-01     1.91643e+03     6.57965e+02
    3.33333e-01     1.92337e+03     6.50539e+02
    3.37443e-01     1.90542e+03     6.36676e+02
    3.41545e-01     1.87013e+03     6.17360e+02
    3.45625e-01     1.85258e+03     6.11182e+02
    3.49715e-01     1.84137e+03     6.03445e+02
    3.53817e-01     1.81214e+03     5.82610e+02
    3.57906e-01     1.82346e+03     5.80780e+02
    3.61975e-01     1.80428e+03     5.65360e+02
    3.66071e-01     1.79863e+03     5.66011e+02
    3.70189e-01     1.76545e+03     5.48544e+02
    3.74277e-01     1.75291e+03     5.40115e+02
    3.78356e-01     1.75691e+03     5.32928e+02
    3.82448e-01     1.73462e+03     5.19300e+02
    3.86535e-01     1.71505e+03     5.05149e+02
    3.90624e-01     1.71064e+03     5.01666e+02
    3.94706e-01     1.70553e+03     4.97648e+02
    3.98794e-01     1.68433e+03     4.84044e+02
    4.02896e-01     1.66216e+03     4.77912e+02
    4.06986e-01     1.66503e+03     4.72807e+02
    4.11069e-01     1.66507e+03     4.65090e+02
    4.15170e-01     1.63467e+03     4.58157e+02
    4.19263e-01     1.63586e+03     4.49369e+02
    4.23353e-01     1.62037e+03     4.42757e+02
    4.27447e-01     1.62496e+03     4.39437e+02
    4.31534e-01     1.59984e+03     4.29249e+02
    4.35624e-01     1.59236e+03     4.17442e+02
    4.39718e-01     1.59360e+03     4.21562e+02
    4.43804e-01     1.57684e+03     4.11220e+02
    4.47892e-01     1.55857e+03     4.01259e+02
    4.51977e-01     1.57086e+03     4.03333e+02
    4.56067e-01     1.55563e+03     3.94908e+02
    4.60165e-01     1.54760e+03     3.85820e+02
