# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 12.00<lgM<12.50, z=0.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     1.12039e+04     1.34941e+03     1.30562e+04     1.77668e+03
    1.04717e-02     1.40923e+04     1.10907e+03     1.65204e+04     1.09366e+03
    1.42665e-02     1.65739e+04     5.74061e+02     1.95710e+04     7.26829e+02
    1.81228e-02     1.72434e+04     8.38223e+02     2.04909e+04     1.04052e+03
    2.24845e-02     1.57243e+04     2.09088e+02     1.87495e+04     3.27740e+02
    2.64508e-02     1.43074e+04     2.50017e+02     1.68751e+04     2.81057e+02
    3.04474e-02     1.34085e+04     3.18255e+02     1.57329e+04     3.61269e+02
    3.47320e-02     1.17507e+04     3.95399e+02     1.37196e+04     4.04321e+02
    3.88308e-02     1.06605e+04     2.17893e+02     1.23116e+04     2.19326e+02
    4.28140e-02     9.74956e+03     1.72831e+02     1.12438e+04     1.71510e+02
    4.68856e-02     8.96599e+03     1.43509e+02     1.02998e+04     2.01211e+02
    5.09858e-02     8.45405e+03     1.20366e+02     9.64573e+03     1.17619e+02
    5.51458e-02     7.94650e+03     1.18868e+02     9.02705e+03     1.34052e+02
    5.92243e-02     7.62812e+03     1.05008e+02     8.64752e+03     1.14272e+02
    6.32864e-02     7.28770e+03     5.63161e+01     8.19116e+03     5.51050e+01
    6.73674e-02     6.86831e+03     3.20141e+01     7.71953e+03     6.68794e+01
    7.14960e-02     6.48504e+03     2.12944e+01     7.24626e+03     4.60243e+01
    7.55894e-02     6.16160e+03     1.85862e+01     6.86299e+03     2.43547e+01
    7.96660e-02     5.72375e+03     5.41668e+01     6.32098e+03     7.18047e+01
    8.38183e-02     5.34649e+03     3.38990e+01     5.87660e+03     4.47945e+01
    8.78941e-02     4.93525e+03     4.19271e+01     5.35813e+03     4.60393e+01
    9.19238e-02     4.60102e+03     4.26452e+01     4.96192e+03     3.04461e+01
    9.60446e-02     4.31187e+03     3.64467e+01     4.59771e+03     4.07208e+01
    1.00128e-01     4.02766e+03     1.55791e+01     4.26107e+03     2.71019e+01
    1.04209e-01     3.81050e+03     2.38801e+01     3.99859e+03     2.56406e+01
    1.08333e-01     3.63922e+03     2.87543e+01     3.78922e+03     3.36150e+01
    1.12448e-01     3.53681e+03     3.36402e+01     3.66219e+03     3.43900e+01
    1.16521e-01     3.42364e+03     7.88962e+00     3.54302e+03     1.49488e+01
    1.20596e-01     3.26479e+03     2.53784e+01     3.34897e+03     2.44292e+01
    1.24665e-01     3.15952e+03     1.03667e+01     3.22888e+03     1.75541e+01
    1.28771e-01     3.09845e+03     1.79186e+01     3.14554e+03     1.29193e+01
    1.32874e-01     2.99876e+03     1.17760e+01     3.03728e+03     1.37400e+01
    1.36975e-01     2.87181e+03     1.77798e+01     2.87789e+03     2.02933e+01
    1.41075e-01     2.75349e+03     1.19079e+01     2.74370e+03     1.65036e+01
    1.45172e-01     2.62257e+03     1.56895e+01     2.58750e+03     1.22664e+01
    1.49268e-01     2.50191e+03     5.66437e+00     2.45050e+03     1.15642e+01
    1.53330e-01     2.41825e+03     1.14200e+01     2.34699e+03     5.36838e+00
    1.57416e-01     2.32192e+03     1.48672e+01     2.22613e+03     1.56202e+01
    1.61514e-01     2.23432e+03     5.58990e+00     2.12836e+03     6.87020e+00
    1.65592e-01     2.16314e+03     5.82513e+00     2.04895e+03     7.79369e+00
    1.69693e-01     2.09363e+03     1.37789e+01     1.95727e+03     1.09270e+01
    1.73803e-01     2.02326e+03     4.24538e+00     1.88493e+03     4.00468e+00
    1.77905e-01     1.98076e+03     4.41606e+00     1.83225e+03     5.42141e+00
    1.82001e-01     1.93487e+03     7.10585e+00     1.77545e+03     6.84666e+00
    1.86092e-01     1.88418e+03     4.67478e+00     1.72213e+03     6.33834e+00
    1.90161e-01     1.83966e+03     5.35626e+00     1.66770e+03     7.19177e+00
    1.94237e-01     1.79432e+03     4.47977e+00     1.61522e+03     6.49406e+00
    1.98334e-01     1.74956e+03     7.16646e+00     1.55923e+03     5.95525e+00
    2.02427e-01     1.70037e+03     3.55652e+00     1.50631e+03     4.44934e+00
    2.06523e-01     1.65906e+03     3.99968e+00     1.46197e+03     4.92905e+00
    2.10626e-01     1.62524e+03     5.87217e+00     1.41043e+03     4.82737e+00
    2.14724e-01     1.58056e+03     5.80071e+00     1.36326e+03     5.72401e+00
