# Real space auto- and cross-spectra.
# z=1.000, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.93746e+04     1.16876e+04     7.59728e+03
    1.04717e-02     3.25228e+04     1.72227e+04     9.62601e+03
    1.42665e-02     2.16958e+04     1.23182e+04     7.52581e+03
    1.81228e-02     3.15646e+04     1.78070e+04     1.05642e+04
    2.24845e-02     2.76304e+04     1.54192e+04     9.09616e+03
    2.64508e-02     2.43368e+04     1.35477e+04     8.01077e+03
    3.04474e-02     2.45563e+04     1.33573e+04     7.74539e+03
    3.47320e-02     1.95730e+04     1.06568e+04     6.26893e+03
    3.88308e-02     1.90505e+04     1.03487e+04     6.07355e+03
    4.28140e-02     1.57249e+04     8.47850e+03     5.00727e+03
    4.68856e-02     1.49841e+04     8.05635e+03     4.78582e+03
    5.09858e-02     1.57213e+04     8.31740e+03     4.83946e+03
    5.51458e-02     1.41288e+04     7.46911e+03     4.39420e+03
    5.92243e-02     1.30458e+04     6.92361e+03     4.09715e+03
    6.32864e-02     1.21983e+04     6.39469e+03     3.79514e+03
    6.73674e-02     1.19679e+04     6.18930e+03     3.64989e+03
    7.14960e-02     1.14484e+04     5.93172e+03     3.48399e+03
    7.55894e-02     1.12999e+04     5.82348e+03     3.40773e+03
    7.96660e-02     1.00866e+04     5.09185e+03     2.98413e+03
    8.38183e-02     9.35213e+03     4.72519e+03     2.78442e+03
    8.78941e-02     8.78721e+03     4.32851e+03     2.53768e+03
    9.19238e-02     8.37983e+03     4.12009e+03     2.41941e+03
    9.60446e-02     7.95477e+03     3.85853e+03     2.25776e+03
    1.00128e-01     7.35049e+03     3.47491e+03     2.02904e+03
    1.04209e-01     6.87322e+03     3.26742e+03     1.92220e+03
    1.08333e-01     6.86090e+03     3.24432e+03     1.90246e+03
    1.12448e-01     6.64035e+03     3.09009e+03     1.80276e+03
    1.16521e-01     6.41356e+03     2.97386e+03     1.73963e+03
    1.20596e-01     6.12707e+03     2.81166e+03     1.65306e+03
    1.24665e-01     6.00484e+03     2.73334e+03     1.59487e+03
    1.28771e-01     5.94224e+03     2.66722e+03     1.55200e+03
    1.32874e-01     5.65802e+03     2.51505e+03     1.46495e+03
    1.36975e-01     5.59374e+03     2.50062e+03     1.46420e+03
    1.41075e-01     5.42177e+03     2.38035e+03     1.38462e+03
    1.45172e-01     5.11974e+03     2.20373e+03     1.28293e+03
    1.49268e-01     4.99129e+03     2.12599e+03     1.23283e+03
    1.53330e-01     4.75751e+03     2.01696e+03     1.17210e+03
    1.57416e-01     4.51053e+03     1.88024e+03     1.10125e+03
    1.61514e-01     4.35772e+03     1.78607e+03     1.04370e+03
    1.65592e-01     4.25380e+03     1.72824e+03     1.01003e+03
    1.69693e-01     4.18955e+03     1.67150e+03     9.70111e+02
    1.73803e-01     4.08623e+03     1.61638e+03     9.39750e+02
    1.77905e-01     3.99017e+03     1.57781e+03     9.18409e+02
    1.82001e-01     3.93643e+03     1.54084e+03     9.02032e+02
    1.86092e-01     3.87007e+03     1.50149e+03     8.72592e+02
    1.90161e-01     3.75926e+03     1.45075e+03     8.46663e+02
    1.94237e-01     3.71450e+03     1.40888e+03     8.21443e+02
    1.98334e-01     3.61879e+03     1.37171e+03     7.95045e+02
    2.02427e-01     3.59546e+03     1.33634e+03     7.70410e+02
    2.06523e-01     3.47320e+03     1.27049e+03     7.39802e+02
    2.10626e-01     3.38044e+03     1.22039e+03     7.10700e+02
    2.14724e-01     3.36700e+03     1.20532e+03     6.94111e+02
    2.18827e-01     3.29809e+03     1.15653e+03     6.68105e+02
    2.22903e-01     3.20621e+03     1.11142e+03     6.41867e+02
    2.26990e-01     3.13734e+03     1.09148e+03     6.31237e+02
    2.31084e-01     3.07048e+03     1.04346e+03     6.05120e+02
    2.35153e-01     3.02566e+03     1.01969e+03     5.93157e+02
    2.39244e-01     2.98841e+03     9.98612e+02     5.81370e+02
    2.43338e-01     2.98831e+03     9.84622e+02     5.69881e+02
