# Real space auto- and cross-spectra.
# z=2.000, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     6.92515e+04     9.81412e+03     2.04738e+03
    1.04717e-02     8.46599e+04     1.51490e+04     3.39968e+03
    1.42665e-02     1.21862e+05     2.21200e+04     4.72495e+03
    1.81228e-02     1.03716e+05     1.90415e+04     4.20233e+03
    2.24845e-02     9.68682e+04     1.76015e+04     3.83785e+03
    2.64508e-02     1.01374e+05     1.76827e+04     3.79423e+03
    3.04474e-02     9.13046e+04     1.57185e+04     3.39946e+03
    3.47320e-02     8.14046e+04     1.39547e+04     3.09703e+03
    3.88308e-02     7.63539e+04     1.25935e+04     2.71749e+03
    4.28140e-02     7.04188e+04     1.14142e+04     2.45904e+03
    4.68856e-02     7.19498e+04     1.14753e+04     2.45189e+03
    5.09858e-02     6.91349e+04     1.06720e+04     2.27146e+03
    5.51458e-02     5.85099e+04     8.64498e+03     1.89149e+03
    5.92243e-02     6.30326e+04     9.60454e+03     2.06044e+03
    6.32864e-02     5.94665e+04     8.78283e+03     1.85764e+03
    6.73674e-02     5.63093e+04     8.23102e+03     1.76570e+03
    7.14960e-02     5.44887e+04     7.63248e+03     1.61958e+03
    7.55894e-02     5.56908e+04     7.56128e+03     1.58059e+03
    7.96660e-02     5.15630e+04     6.95476e+03     1.47501e+03
    8.38183e-02     4.84099e+04     6.31871e+03     1.34423e+03
    8.78941e-02     4.53119e+04     5.70841e+03     1.21362e+03
    9.19238e-02     4.42130e+04     5.50529e+03     1.17263e+03
    9.60446e-02     4.27349e+04     5.15093e+03     1.08862e+03
    1.00128e-01     4.08352e+04     4.67081e+03     9.79904e+02
    1.04209e-01     3.94109e+04     4.36343e+03     9.00989e+02
    1.08333e-01     3.85402e+04     4.12573e+03     8.47121e+02
    1.12448e-01     3.88069e+04     4.14763e+03     8.45755e+02
    1.16521e-01     3.67829e+04     3.87235e+03     8.02087e+02
    1.20596e-01     3.69783e+04     3.80395e+03     7.74847e+02
    1.24665e-01     3.62946e+04     3.66894e+03     7.46534e+02
    1.28771e-01     3.58863e+04     3.59269e+03     7.35013e+02
    1.32874e-01     3.50419e+04     3.49521e+03     7.13254e+02
    1.36975e-01     3.45767e+04     3.34939e+03     6.84041e+02
    1.41075e-01     3.36035e+04     3.12082e+03     6.32361e+02
    1.45172e-01     3.32373e+04     3.06996e+03     6.13200e+02
    1.49268e-01     3.28552e+04     2.89352e+03     5.67074e+02
    1.53330e-01     3.16838e+04     2.70928e+03     5.44502e+02
    1.57416e-01     3.13185e+04     2.63928e+03     5.22010e+02
    1.61514e-01     3.04163e+04     2.48343e+03     4.89653e+02
    1.65592e-01     2.94283e+04     2.31518e+03     4.61763e+02
    1.69693e-01     2.90836e+04     2.26770e+03     4.40185e+02
    1.73803e-01     2.92185e+04     2.20136e+03     4.30805e+02
    1.77905e-01     2.86947e+04     2.20199e+03     4.23282e+02
    1.82001e-01     2.83816e+04     2.10934e+03     4.12518e+02
    1.86092e-01     2.82837e+04     2.08282e+03     4.00631e+02
    1.90161e-01     2.82530e+04     2.03552e+03     3.86876e+02
