# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 13.00<lgM<13.50, z=0.500
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     2.70218e+04     5.22272e+03     1.50576e+04     2.55818e+03
    1.04717e-02     3.49005e+04     2.47161e+03     1.96612e+04     1.41249e+03
    1.42665e-02     4.15633e+04     1.18043e+03     2.35259e+04     7.58622e+02
    1.81228e-02     4.27392e+04     1.95916e+03     2.44954e+04     1.25597e+03
    2.24845e-02     3.92672e+04     1.03456e+03     2.23851e+04     5.06103e+02
    2.64508e-02     3.55956e+04     5.80108e+02     2.00846e+04     2.63684e+02
    3.04474e-02     3.35181e+04     7.22642e+02     1.87525e+04     4.67254e+02
    3.47320e-02     2.97836e+04     9.94808e+02     1.64544e+04     5.34000e+02
    3.88308e-02     2.71822e+04     5.47641e+02     1.47995e+04     2.76275e+02
    4.28140e-02     2.50263e+04     2.86524e+02     1.35410e+04     1.23496e+02
    4.68856e-02     2.37435e+04     3.87382e+02     1.25547e+04     2.46606e+02
    5.09858e-02     2.23181e+04     2.98369e+02     1.17827e+04     1.01332e+02
    5.51458e-02     2.11500e+04     1.67563e+02     1.10324e+04     1.09411e+02
    5.92243e-02     2.05174e+04     2.19488e+02     1.06148e+04     1.43496e+02
    6.32864e-02     1.96209e+04     2.10889e+02     1.01006e+04     4.72464e+01
    6.73674e-02     1.87745e+04     1.00009e+02     9.52917e+03     9.53622e+01
    7.14960e-02     1.79111e+04     1.22367e+02     8.98207e+03     7.26517e+01
    7.55894e-02     1.70472e+04     1.35824e+02     8.50759e+03     4.57289e+01
    7.96660e-02     1.61060e+04     1.36720e+02     7.87921e+03     7.74934e+01
    8.38183e-02     1.51699e+04     1.25245e+02     7.34290e+03     6.60507e+01
    8.78941e-02     1.41776e+04     8.89378e+01     6.70254e+03     4.85912e+01
    9.19238e-02     1.33366e+04     6.66972e+01     6.20585e+03     2.70378e+01
    9.60446e-02     1.25870e+04     9.23420e+01     5.75220e+03     4.63468e+01
    1.00128e-01     1.20179e+04     1.25060e+02     5.38393e+03     5.47630e+01
    1.04209e-01     1.14433e+04     7.20150e+01     5.03983e+03     4.73280e+01
    1.08333e-01     1.10545e+04     9.40028e+01     4.78556e+03     4.15605e+01
    1.12448e-01     1.07971e+04     8.32605e+01     4.64559e+03     3.82239e+01
    1.16521e-01     1.05808e+04     7.81972e+01     4.51691e+03     3.06153e+01
    1.20596e-01     1.01593e+04     7.27995e+01     4.28361e+03     3.12742e+01
    1.24665e-01     1.00299e+04     5.40451e+01     4.15501e+03     3.38363e+01
    1.28771e-01     9.90327e+03     2.29189e+01     4.08485e+03     1.64888e+01
    1.32874e-01     9.65931e+03     3.27968e+01     3.94476e+03     1.42961e+01
    1.36975e-01     9.30869e+03     7.61424e+01     3.74812e+03     3.57422e+01
    1.41075e-01     9.07580e+03     4.13502e+01     3.58799e+03     2.24536e+01
    1.45172e-01     8.70516e+03     3.80128e+01     3.37888e+03     1.86790e+01
    1.49268e-01     8.40777e+03     3.29946e+01     3.19915e+03     1.65479e+01
    1.53330e-01     8.21253e+03     3.22066e+01     3.07470e+03     1.28493e+01
    1.57416e-01     7.94056e+03     2.44927e+01     2.91420e+03     8.61300e+00
