# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 12.50<lgM<13.00, z=1.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     1.83499e+04     2.48768e+03     1.01687e+04     1.62119e+03
    1.04717e-02     2.38215e+04     1.81543e+03     1.32010e+04     9.92197e+02
    1.42665e-02     2.78479e+04     5.21081e+02     1.54483e+04     3.95437e+02
    1.81228e-02     2.89079e+04     1.36043e+03     1.61794e+04     8.17647e+02
    2.24845e-02     2.65516e+04     7.11243e+02     1.48350e+04     3.85400e+02
    2.64508e-02     2.41293e+04     3.88698e+02     1.33839e+04     1.91572e+02
    3.04474e-02     2.27618e+04     6.25664e+02     1.24845e+04     3.31638e+02
    3.47320e-02     2.01743e+04     6.24299e+02     1.10077e+04     3.16386e+02
    3.88308e-02     1.80200e+04     4.17875e+02     9.79447e+03     2.01585e+02
    4.28140e-02     1.67766e+04     1.97072e+02     9.04087e+03     1.31156e+02
    4.68856e-02     1.55067e+04     2.61636e+02     8.29651e+03     1.78777e+02
    5.09858e-02     1.46723e+04     1.57520e+02     7.80255e+03     1.10737e+02
    5.51458e-02     1.38671e+04     1.72373e+02     7.31728e+03     8.81447e+01
    5.92243e-02     1.32810e+04     1.29287e+02     7.01635e+03     8.28501e+01
    6.32864e-02     1.27631e+04     1.17755e+02     6.67800e+03     5.03682e+01
    6.73674e-02     1.21329e+04     1.05882e+02     6.31948e+03     8.23484e+01
    7.14960e-02     1.15518e+04     1.32459e+02     5.96451e+03     5.91059e+01
    7.55894e-02     1.10329e+04     5.19550e+01     5.66639e+03     2.76420e+01
    7.96660e-02     1.03363e+04     1.13901e+02     5.23809e+03     6.00801e+01
    8.38183e-02     9.70180e+03     9.96875e+01     4.87846e+03     4.48255e+01
    8.78941e-02     8.96687e+03     8.78994e+01     4.45136e+03     4.39061e+01
    9.19238e-02     8.37477e+03     6.35644e+01     4.11773e+03     3.20223e+01
    9.60446e-02     7.89657e+03     4.58786e+01     3.82164e+03     2.65074e+01
    1.00128e-01     7.43776e+03     5.04852e+01     3.55775e+03     2.17628e+01
    1.04209e-01     7.05664e+03     5.48506e+01     3.33656e+03     3.25162e+01
    1.08333e-01     6.70293e+03     6.97440e+01     3.14741e+03     2.82131e+01
    1.12448e-01     6.54778e+03     5.51676e+01     3.05363e+03     2.80122e+01
    1.16521e-01     6.40491e+03     3.66996e+01     2.96466e+03     1.91011e+01
    1.20596e-01     6.19058e+03     4.28801e+01     2.84081e+03     2.02020e+01
    1.24665e-01     6.04199e+03     2.62506e+01     2.74927e+03     1.59281e+01
    1.28771e-01     5.96252e+03     1.87088e+01     2.69125e+03     1.07188e+01
    1.32874e-01     5.80772e+03     1.76671e+01     2.60884e+03     8.51235e+00
    1.36975e-01     5.57524e+03     3.47962e+01     2.47962e+03     1.93866e+01
    1.41075e-01     5.38889e+03     1.82894e+01     2.36786e+03     1.16666e+01
    1.45172e-01     5.13166e+03     2.15029e+01     2.22574e+03     1.34170e+01
    1.49268e-01     4.92397e+03     2.93859e+01     2.10252e+03     1.39880e+01
    1.53330e-01     4.77666e+03     1.60329e+01     2.01385e+03     5.71363e+00
    1.57416e-01     4.57446e+03     2.15451e+01     1.89888e+03     8.38685e+00
    1.61514e-01     4.40141e+03     2.49066e+01     1.80810e+03     9.62401e+00
    1.65592e-01     4.30063e+03     1.21431e+01     1.74879e+03     5.10474e+00
    1.69693e-01     4.17480e+03     8.99395e+00     1.66840e+03     3.32267e+00
    1.73803e-01     4.08776e+03     3.91832e+00     1.61720e+03     4.38861e+00
    1.77905e-01     4.00928e+03     8.39565e+00     1.58045e+03     2.49853e+00
    1.82001e-01     3.93674e+03     2.46656e+01     1.53707e+03     8.45473e+00
    1.86092e-01     3.86683e+03     8.95128e+00     1.49526e+03     3.61563e+00
    1.90161e-01     3.79967e+03     5.80878e+00     1.45672e+03     2.95958e+00
    1.94237e-01     3.73487e+03     1.51050e+01     1.41513e+03     9.74862e+00
    1.98334e-01     3.65322e+03     1.77886e+01     1.37232e+03     5.46972e+00
    2.02427e-01     3.56858e+03     1.48019e+01     1.32925e+03     5.47334e+00
    2.06523e-01     3.50233e+03     1.00720e+01     1.28731e+03     5.17686e+00
    2.10626e-01     3.42780e+03     8.64091e+00     1.24295e+03     2.84548e+00
    2.14724e-01     3.33855e+03     1.08139e+01     1.19469e+03     4.19397e+00
    2.18827e-01     3.26637e+03     1.05301e+01     1.15426e+03     3.53135e+00
    2.22903e-01     3.19095e+03     6.35421e+00     1.11254e+03     7.52590e-01
    2.26990e-01     3.14238e+03     7.67719e+00     1.08790e+03     3.63719e+00
    2.31084e-01     3.08087e+03     1.14082e+01     1.05229e+03     5.67844e+00
    2.35153e-01     3.03057e+03     7.63601e+00     1.02036e+03     2.50870e+00
    2.39244e-01     2.99621e+03     6.82278e+00     1.00183e+03     3.11524e+00
    2.43338e-01     2.96143e+03     7.55514e+00     9.79143e+02     2.88203e+00
    2.47445e-01     2.92150e+03     6.01002e+00     9.53770e+02     1.28169e+00
    2.51539e-01     2.86986e+03     5.43856e+00     9.32479e+02     1.24713e+00
    2.55609e-01     2.84785e+03     1.09478e+01     9.14130e+02     3.95534e+00
    2.59718e-01     2.80803e+03     4.22236e+00     8.93950e+02     9.89294e-01
    2.63814e-01     2.75780e+03     8.70698e+00     8.68794e+02     2.74489e+00
    2.67904e-01     2.72133e+03     5.25205e+00     8.48340e+02     2.68268e+00
    2.71993e-01     2.69401e+03     5.20793e+00     8.30322e+02     2.36797e+00
    2.76068e-01     2.64398e+03     5.10930e+00     8.05374e+02     2.04755e+00
    2.80171e-01     2.61062e+03     2.67133e+00     7.86541e+02     1.90158e+00
    2.84268e-01     2.56916e+03     6.09606e+00     7.64719e+02     4.00524e+00
    2.88346e-01     2.54835e+03     7.38060e+00     7.51546e+02     2.64001e+00
    2.92426e-01     2.52155e+03     6.74955e+00     7.32369e+02     1.19390e+00
    2.96514e-01     2.48666e+03     5.41726e+00     7.16803e+02     1.54653e+00
    3.00627e-01     2.45809e+03     5.30854e+00     7.03712e+02     9.42348e-01
    3.04729e-01     2.41931e+03     5.21589e+00     6.85758e+02     2.69280e+00
    3.08821e-01     2.40417e+03     8.52882e+00     6.74935e+02     2.54418e+00
    3.12919e-01     2.38583e+03     7.50999e+00     6.62162e+02     2.92078e+00
    3.16999e-01     2.35784e+03     4.46762e+00     6.49730e+02     1.43115e+00
    3.21078e-01     2.34178e+03     8.39990e+00     6.36926e+02     2.53318e+00
    3.25167e-01     2.31843e+03     4.12346e+00     6.24832e+02     1.34570e+00
    3.29247e-01     2.28798e+03     6.25287e+00     6.09221e+02     1.26337e+00
    3.33333e-01     2.26967e+03     4.70213e+00     5.98784e+02     1.34070e+00
    3.37443e-01     2.25433e+03     3.43569e+00     5.90191e+02     6.84183e-01
    3.41545e-01     2.22404e+03     6.44967e+00     5.77044e+02     2.09375e+00
    3.45625e-01     2.21031e+03     4.17914e+00     5.66987e+02     1.34263e+00
    3.49715e-01     2.19488e+03     3.24229e+00     5.58198e+02     9.94240e-01
    3.53817e-01     2.16810e+03     4.81296e+00     5.44285e+02     1.58940e+00
    3.57906e-01     2.15281e+03     3.73978e+00     5.36520e+02     1.35747e+00
    3.61975e-01     2.13063e+03     2.61301e+00     5.26661e+02     1.14072e+00
    3.66071e-01     2.12147e+03     3.54743e+00     5.19277e+02     1.54199e+00
    3.70189e-01     2.10505e+03     2.42659e+00     5.10218e+02     8.70475e-01
    3.74277e-01     2.09112e+03     5.71899e+00     5.01569e+02     8.98488e-01
    3.78356e-01     2.06966e+03     3.25375e+00     4.92175e+02     1.01297e+00
    3.82448e-01     2.05593e+03     4.23849e+00     4.85041e+02     1.37238e+00
    3.86535e-01     2.03762e+03     8.11509e+00     4.74644e+02     1.09261e+00
    3.90624e-01     2.02641e+03     3.96699e+00     4.69242e+02     1.13951e+00
    3.94706e-01     2.01298e+03     2.15894e+00     4.61786e+02     5.97792e-01
    3.98794e-01     1.99955e+03     4.25284e+00     4.55727e+02     1.09094e+00
    4.02896e-01     1.98506e+03     3.65182e+00     4.47646e+02     1.24721e+00
    4.06986e-01     1.97262e+03     2.97973e+00     4.40901e+02     9.08234e-01
    4.11069e-01     1.95947e+03     2.69239e+00     4.33373e+02     1.19079e+00
    4.15170e-01     1.95017e+03     1.95046e+00     4.27092e+02     6.95150e-01
    4.19263e-01     1.93512e+03     1.70646e+00     4.21239e+02     8.32875e-01
    4.23353e-01     1.92205e+03     2.70169e+00     4.14316e+02     3.37570e-01
    4.27447e-01     1.91116e+03     1.71186e+00     4.08819e+02     1.12645e+00
    4.31534e-01     1.89683e+03     2.29824e+00     4.02331e+02     7.29207e-01
    4.35624e-01     1.88995e+03     4.38267e+00     3.96142e+02     1.35484e+00
    4.39718e-01     1.88072e+03     1.86892e+00     3.91824e+02     6.48237e-01
    4.43804e-01     1.87321e+03     2.67813e+00     3.87816e+02     3.22749e-01
    4.47892e-01     1.85840e+03     2.79491e+00     3.81212e+02     8.14723e-01
    4.51977e-01     1.84583e+03     3.45890e+00     3.75330e+02     8.61415e-01
    4.56067e-01     1.83605e+03     1.92835e+00     3.70608e+02     2.81225e-01
    4.60165e-01     1.82023e+03     2.76444e+00     3.64734e+02     6.64350e-01
    4.64260e-01     1.81784e+03     1.87960e+00     3.61388e+02     5.15250e-01
    4.68355e-01     1.80838e+03     2.97858e+00     3.55363e+02     6.71742e-01
    4.72450e-01     1.80045e+03     3.15646e+00     3.51270e+02     7.58960e-01
    4.76540e-01     1.78504e+03     2.68613e+00     3.45903e+02     7.46178e-01
    4.80633e-01     1.78023e+03     3.13124e+00     3.41522e+02     7.00691e-01
    4.84718e-01     1.77139e+03     3.66292e+00     3.38176e+02     8.65167e-01
    4.88794e-01     1.76412e+03     2.30004e+00     3.33641e+02     9.86364e-01
    4.92888e-01     1.75607e+03     2.61566e+00     3.29965e+02     4.60171e-01
    4.96984e-01     1.74922e+03     2.12938e+00     3.26865e+02     5.16880e-01
    5.01073e-01     1.73736e+03     1.69133e+00     3.21589e+02     4.72249e-01
    5.05169e-01     1.73379e+03     1.91523e+00     3.18346e+02     5.42547e-01
    5.09268e-01     1.72451e+03     2.71405e+00     3.14253e+02     2.65203e-01
    5.13369e-01     1.71736e+03     2.80848e+00     3.09768e+02     4.06794e-01
    5.17441e-01     1.71034e+03     2.84827e+00     3.07261e+02     3.88395e-01
    5.21516e-01     1.70575e+03     2.52082e+00     3.04292e+02     9.41763e-01
    5.25611e-01     1.69761e+03     1.11998e+00     2.99601e+02     4.14054e-01
    5.29706e-01     1.69096e+03     1.24343e+00     2.97416e+02     3.09353e-01
    5.33801e-01     1.68206e+03     1.86834e+00     2.93009e+02     1.98961e-01
    5.37888e-01     1.67320e+03     2.04758e+00     2.90911e+02     5.93953e-01
    5.41985e-01     1.67244e+03     1.72615e+00     2.87558e+02     3.36140e-01
    5.46091e-01     1.66207e+03     2.46661e+00     2.83628e+02     5.65570e-01
    5.50174e-01     1.65615e+03     1.63022e+00     2.80426e+02     5.41887e-01
    5.54252e-01     1.65105e+03     2.51828e+00     2.78313e+02     5.16433e-01
    5.58346e-01     1.64414e+03     2.13802e+00     2.74194e+02     3.08091e-01
    5.62439e-01     1.64072e+03     3.46153e+00     2.72525e+02     6.58066e-01
    5.66527e-01     1.63075e+03     8.01353e-01     2.68869e+02     1.73092e-01
    5.70616e-01     1.62905e+03     1.60043e+00     2.66584e+02     1.06406e+00
    5.74707e-01     1.62302e+03     8.85182e-01     2.64169e+02     4.76148e-01
    5.78798e-01     1.61378e+03     9.22775e-01     2.60770e+02     5.48726e-01
    5.82883e-01     1.60757e+03     2.19827e+00     2.57949e+02     2.89527e-01
