# Real space auto- and cross-spectra.
# z=1.500, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.83150e+04     1.10555e+04     4.54204e+03
    1.04717e-02     2.93435e+04     1.19283e+04     5.06698e+03
    1.42665e-02     3.66704e+04     1.47084e+04     6.19194e+03
    1.81228e-02     2.96100e+04     1.22268e+04     5.32008e+03
    2.24845e-02     3.21177e+04     1.30465e+04     5.57667e+03
    2.64508e-02     2.98997e+04     1.18591e+04     4.96498e+03
    3.04474e-02     2.89144e+04     1.16456e+04     4.94929e+03
    3.47320e-02     2.53925e+04     1.00486e+04     4.26472e+03
    3.88308e-02     2.39160e+04     9.38684e+03     3.94054e+03
    4.28140e-02     2.21665e+04     8.68991e+03     3.67785e+03
    4.68856e-02     1.92613e+04     7.39378e+03     3.09344e+03
    5.09858e-02     1.81490e+04     6.97117e+03     2.93067e+03
    5.51458e-02     1.85139e+04     7.13471e+03     2.99983e+03
    5.92243e-02     1.77018e+04     6.74402e+03     2.82705e+03
    6.32864e-02     1.63214e+04     6.23199e+03     2.63240e+03
    6.73674e-02     1.59325e+04     6.04203e+03     2.55198e+03
    7.14960e-02     1.49536e+04     5.64221e+03     2.37091e+03
    7.55894e-02     1.39437e+04     5.18943e+03     2.17572e+03
    7.96660e-02     1.37132e+04     5.06684e+03     2.11254e+03
    8.38183e-02     1.22081e+04     4.43335e+03     1.84890e+03
    8.78941e-02     1.18984e+04     4.25279e+03     1.75574e+03
    9.19238e-02     1.07801e+04     3.83840e+03     1.60330e+03
    9.60446e-02     1.02652e+04     3.61773e+03     1.51105e+03
    1.00128e-01     9.65561e+03     3.36076e+03     1.39155e+03
    1.04209e-01     8.82345e+03     3.02778e+03     1.25858e+03
    1.08333e-01     8.68966e+03     2.95507e+03     1.22519e+03
    1.12448e-01     8.71974e+03     2.93394e+03     1.20283e+03
    1.16521e-01     8.34740e+03     2.80055e+03     1.15177e+03
    1.20596e-01     8.04348e+03     2.66389e+03     1.09818e+03
    1.24665e-01     7.92305e+03     2.61966e+03     1.07121e+03
    1.28771e-01     7.78263e+03     2.57101e+03     1.06533e+03
    1.32874e-01     7.49365e+03     2.43989e+03     1.00351e+03
    1.36975e-01     7.37447e+03     2.38011e+03     9.77708e+02
    1.41075e-01     7.06716e+03     2.25355e+03     9.26588e+02
    1.45172e-01     6.63276e+03     2.08361e+03     8.54273e+02
    1.49268e-01     6.36067e+03     1.96215e+03     8.06205e+02
    1.53330e-01     6.27338e+03     1.91339e+03     7.75638e+02
    1.57416e-01     5.91395e+03     1.76876e+03     7.21620e+02
    1.61514e-01     5.72023e+03     1.68745e+03     6.84213e+02
    1.65592e-01     5.58718e+03     1.64650e+03     6.71975e+02
    1.69693e-01     5.39234e+03     1.55265e+03     6.30204e+02
    1.73803e-01     5.35834e+03     1.53508e+03     6.21484e+02
    1.77905e-01     5.23802e+03     1.48862e+03     6.01270e+02
    1.82001e-01     5.12348e+03     1.43340e+03     5.79704e+02
    1.86092e-01     5.12792e+03     1.43116e+03     5.73841e+02
    1.90161e-01     5.02220e+03     1.37929e+03     5.49481e+02
    1.94237e-01     4.94428e+03     1.34881e+03     5.39940e+02
    1.98334e-01     4.78596e+03     1.29916e+03     5.18866e+02
    2.02427e-01     4.68995e+03     1.25368e+03     5.01793e+02
    2.06523e-01     4.61943e+03     1.22377e+03     4.87306e+02
    2.10626e-01     4.51785e+03     1.17823e+03     4.67557e+02
    2.14724e-01     4.37727e+03     1.12734e+03     4.48152e+02
    2.18827e-01     4.25958e+03     1.08460e+03     4.31108e+02
    2.22903e-01     4.19274e+03     1.05701e+03     4.19900e+02
    2.26990e-01     4.13259e+03     1.02945e+03     4.07659e+02
    2.31084e-01     4.07442e+03     1.00590e+03     3.97555e+02
    2.35153e-01     3.99113e+03     9.70995e+02     3.83442e+02
    2.39244e-01     3.94933e+03     9.40632e+02     3.68429e+02
    2.43338e-01     3.89924e+03     9.30493e+02     3.65807e+02
    2.47445e-01     3.86439e+03     9.13809e+02     3.57634e+02
    2.51539e-01     3.81996e+03     8.94856e+02     3.49579e+02
    2.55609e-01     3.72260e+03     8.59132e+02     3.35804e+02
    2.59718e-01     3.72628e+03     8.58435e+02     3.34161e+02
    2.63814e-01     3.64163e+03     8.28546e+02     3.23481e+02
    2.67904e-01     3.57163e+03     8.04790e+02     3.13651e+02
