# Real space auto- and cross-spectra.
# z=1.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     7.66056e+03     5.66932e+03     4.50378e+03
    1.04717e-02     1.95357e+04     1.43393e+04     1.09008e+04
    1.42665e-02     1.72495e+04     1.26464e+04     9.63404e+03
    1.81228e-02     1.68004e+04     1.23393e+04     9.47265e+03
    2.24845e-02     1.74670e+04     1.27668e+04     9.72990e+03
    2.64508e-02     1.31395e+04     9.47031e+03     7.19578e+03
    3.04474e-02     1.34984e+04     9.74211e+03     7.38717e+03
    3.47320e-02     1.09202e+04     7.90223e+03     6.07563e+03
    3.88308e-02     1.01726e+04     7.32689e+03     5.60263e+03
    4.28140e-02     9.81034e+03     7.03212e+03     5.40175e+03
    4.68856e-02     9.08188e+03     6.45934e+03     4.93934e+03
    5.09858e-02     8.81363e+03     6.17883e+03     4.65623e+03
    5.51458e-02     8.04899e+03     5.65528e+03     4.32323e+03
    5.92243e-02     7.24850e+03     5.08477e+03     3.90303e+03
    6.32864e-02     7.45125e+03     5.17737e+03     3.93029e+03
    6.73674e-02     7.02026e+03     4.89252e+03     3.75585e+03
    7.14960e-02     6.72018e+03     4.63855e+03     3.52474e+03
    7.55894e-02     6.26970e+03     4.33048e+03     3.31487e+03
    7.96660e-02     5.77825e+03     3.94129e+03     2.99748e+03
    8.38183e-02     5.39636e+03     3.66528e+03     2.80375e+03
    8.78941e-02     5.06185e+03     3.38836e+03     2.57800e+03
    9.19238e-02     4.72579e+03     3.17776e+03     2.44494e+03
    9.60446e-02     4.32955e+03     2.89068e+03     2.23369e+03
    1.00128e-01     4.06698e+03     2.68186e+03     2.05551e+03
    1.04209e-01     3.92518e+03     2.56519e+03     1.95797e+03
    1.08333e-01     3.70690e+03     2.41774e+03     1.84835e+03
    1.12448e-01     3.55156e+03     2.28466e+03     1.75197e+03
    1.16521e-01     3.48704e+03     2.24215e+03     1.72025e+03
    1.20596e-01     3.46171e+03     2.22003e+03     1.69791e+03
    1.24665e-01     3.27088e+03     2.07963e+03     1.60328e+03
    1.28771e-01     3.24439e+03     2.04320e+03     1.56169e+03
    1.32874e-01     3.15984e+03     1.99629e+03     1.53351e+03
    1.36975e-01     2.92603e+03     1.82037e+03     1.40060e+03
    1.41075e-01     2.91957e+03     1.80526e+03     1.38039e+03
    1.45172e-01     2.73739e+03     1.67668e+03     1.28849e+03
    1.49268e-01     2.62674e+03     1.59868e+03     1.23184e+03
    1.53330e-01     2.51892e+03     1.52429e+03     1.17524e+03
    1.57416e-01     2.37056e+03     1.41073e+03     1.08915e+03
    1.61514e-01     2.31332e+03     1.37101e+03     1.05991e+03
    1.65592e-01     2.22692e+03     1.31701e+03     1.02506e+03
    1.69693e-01     2.16961e+03     1.26379e+03     9.79442e+02
    1.73803e-01     2.08281e+03     1.20653e+03     9.40115e+02
    1.77905e-01     2.02613e+03     1.17265e+03     9.17582e+02
    1.82001e-01     1.99480e+03     1.13785e+03     8.84165e+02
    1.86092e-01     1.95014e+03     1.11409e+03     8.69820e+02
    1.90161e-01     1.93048e+03     1.08652e+03     8.44995e+02
    1.94237e-01     1.91692e+03     1.07962e+03     8.36481e+02
    1.98334e-01     1.83253e+03     1.02117e+03     7.96082e+02
    2.02427e-01     1.78747e+03     9.85528e+02     7.70643e+02
    2.06523e-01     1.74313e+03     9.54564e+02     7.51414e+02
    2.10626e-01     1.71250e+03     9.27274e+02     7.24697e+02
    2.14724e-01     1.64515e+03     8.86098e+02     6.96200e+02
    2.18827e-01     1.59423e+03     8.48418e+02     6.68066e+02
    2.22903e-01     1.56929e+03     8.23443e+02     6.44416e+02
    2.26990e-01     1.54098e+03     8.09910e+02     6.35697e+02
    2.31084e-01     1.50041e+03     7.71510e+02     6.06940e+02
    2.35153e-01     1.45879e+03     7.48666e+02     5.89834e+02
    2.39244e-01     1.45556e+03     7.43078e+02     5.85301e+02
    2.43338e-01     1.40731e+03     7.11674e+02     5.61828e+02
    2.47445e-01     1.39190e+03     6.96126e+02     5.51906e+02
    2.51539e-01     1.38424e+03     6.95039e+02     5.48559e+02
    2.55609e-01     1.35694e+03     6.71868e+02     5.31819e+02
    2.59718e-01     1.31826e+03     6.48511e+02     5.17009e+02
    2.63814e-01     1.30562e+03     6.34744e+02     5.03943e+02
    2.67904e-01     1.28329e+03     6.15027e+02     4.88299e+02
    2.71993e-01     1.26502e+03     6.13497e+02     4.88823e+02
    2.76068e-01     1.22906e+03     5.81144e+02     4.64537e+02
    2.80171e-01     1.22262e+03     5.74473e+02     4.57167e+02
    2.84268e-01     1.20132e+03     5.57561e+02     4.44589e+02
    2.88346e-01     1.17415e+03     5.42180e+02     4.34374e+02
    2.92426e-01     1.15381e+03     5.26604e+02     4.24393e+02
    2.96514e-01     1.13421e+03     5.17162e+02     4.16002e+02
    3.00627e-01     1.12361e+03     5.06266e+02     4.06791e+02
    3.04729e-01     1.11116e+03     4.93291e+02     3.94616e+02
    3.08821e-01     1.09646e+03     4.88158e+02     3.94527e+02
    3.12919e-01     1.07348e+03     4.71829e+02     3.81760e+02
    3.16999e-01     1.06741e+03     4.66175e+02     3.76289e+02
    3.21078e-01     1.04806e+03     4.56028e+02     3.69542e+02
