# Real space auto- and cross-spectra.
# z=0.500, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     3.74809e+04     2.03938e+04     1.21031e+04
    1.04717e-02     3.02775e+04     1.77436e+04     1.17091e+04
    1.42665e-02     4.28993e+04     2.36875e+04     1.41410e+04
    1.81228e-02     3.22459e+04     1.89880e+04     1.23198e+04
    2.24845e-02     3.97188e+04     2.23116e+04     1.36594e+04
    2.64508e-02     3.47618e+04     1.98524e+04     1.25683e+04
    3.04474e-02     3.37420e+04     1.90521e+04     1.19189e+04
    3.47320e-02     2.73820e+04     1.52516e+04     9.79339e+03
    3.88308e-02     2.78246e+04     1.53067e+04     9.68155e+03
    4.28140e-02     2.54371e+04     1.36319e+04     8.53449e+03
    4.68856e-02     2.34269e+04     1.24850e+04     7.79374e+03
    5.09858e-02     2.22133e+04     1.17240e+04     7.28881e+03
    5.51458e-02     2.15301e+04     1.11250e+04     6.84688e+03
    5.92243e-02     2.08847e+04     1.08239e+04     6.71159e+03
    6.32864e-02     2.01743e+04     1.02037e+04     6.24931e+03
    6.73674e-02     1.85158e+04     9.37068e+03     5.80116e+03
    7.14960e-02     1.75532e+04     8.77574e+03     5.44539e+03
    7.55894e-02     1.71349e+04     8.56239e+03     5.33306e+03
    7.96660e-02     1.64911e+04     8.12420e+03     5.04230e+03
    8.38183e-02     1.53273e+04     7.41781e+03     4.60492e+03
    8.78941e-02     1.39678e+04     6.64209e+03     4.16394e+03
    9.19238e-02     1.32350e+04     6.03241e+03     3.70851e+03
    9.60446e-02     1.23489e+04     5.64038e+03     3.52519e+03
    1.00128e-01     1.22289e+04     5.50259e+03     3.37487e+03
    1.04209e-01     1.13262e+04     4.92252e+03     3.07351e+03
    1.08333e-01     1.10366e+04     4.80919e+03     2.99943e+03
    1.12448e-01     1.07074e+04     4.60454e+03     2.84351e+03
    1.16521e-01     1.08023e+04     4.62256e+03     2.84058e+03
    1.20596e-01     9.92900e+03     4.17739e+03     2.61129e+03
    1.24665e-01     9.82669e+03     4.05969e+03     2.53462e+03
    1.28771e-01     9.90142e+03     4.10573e+03     2.52898e+03
    1.32874e-01     9.86829e+03     4.03982e+03     2.49583e+03
    1.36975e-01     9.34702e+03     3.70734e+03     2.28185e+03
    1.41075e-01     9.16396e+03     3.64532e+03     2.25995e+03
    1.45172e-01     8.56998e+03     3.30061e+03     2.05347e+03
    1.49268e-01     8.54374e+03     3.23321e+03     1.98599e+03
    1.53330e-01     8.17184e+03     3.04674e+03     1.89467e+03
    1.57416e-01     7.86527e+03     2.91602e+03     1.81260e+03
    1.61514e-01     7.74273e+03     2.78167e+03     1.71851e+03
    1.65592e-01     7.72298e+03     2.73951e+03     1.67990e+03
