# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 12.50<lgM<13.00, z=2.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    3.12919e-01     4.65444e+03     7.63109e+00     6.11940e+02     2.59170e+00
    3.16999e-01     4.62842e+03     8.85118e+00     6.02008e+02     1.31957e+00
    3.21078e-01     4.59556e+03     1.01682e+01     5.91152e+02     2.43517e+00
    3.25167e-01     4.55830e+03     1.00572e+01     5.80385e+02     9.82955e-01
    3.29247e-01     4.50412e+03     5.91672e+00     5.67922e+02     9.86812e-01
    3.33333e-01     4.46857e+03     1.07692e+01     5.58265e+02     1.09316e+00
    3.37443e-01     4.41841e+03     1.77942e+01     5.45794e+02     1.53120e+00
    3.41545e-01     4.39861e+03     7.87409e+00     5.38912e+02     1.56886e+00
    3.45625e-01     4.35968e+03     7.77950e+00     5.27009e+02     1.42404e+00
    3.49715e-01     4.33423e+03     8.45115e+00     5.19580e+02     4.89497e-01
    3.53817e-01     4.29511e+03     1.05952e+01     5.07962e+02     1.35600e+00
    3.57906e-01     4.25315e+03     6.61241e+00     4.98275e+02     1.26290e+00
    3.61975e-01     4.23616e+03     5.27253e+00     4.91529e+02     9.55496e-01
    3.66071e-01     4.19644e+03     6.01939e+00     4.82502e+02     9.63597e-01
    3.70189e-01     4.16702e+03     5.37907e+00     4.73926e+02     8.28018e-01
    3.74277e-01     4.14538e+03     5.93394e+00     4.67210e+02     9.74532e-01
    3.78356e-01     4.11466e+03     7.19420e+00     4.58909e+02     9.37074e-01
    3.82448e-01     4.09014e+03     3.73524e+00     4.53131e+02     8.50648e-01
    3.86535e-01     4.05850e+03     8.02190e+00     4.44920e+02     1.08716e+00
    3.90624e-01     4.04553e+03     3.95339e+00     4.39618e+02     9.21723e-01
    3.94706e-01     4.00662e+03     6.59809e+00     4.31410e+02     9.23071e-01
    3.98794e-01     3.98665e+03     9.42508e+00     4.25448e+02     1.29846e+00
    4.02896e-01     3.95568e+03     7.56628e+00     4.17939e+02     6.50389e-01
    4.06986e-01     3.93338e+03     6.83525e+00     4.11998e+02     6.42347e-01
    4.11069e-01     3.91508e+03     4.84167e+00     4.06153e+02     9.17258e-01
    4.15170e-01     3.88629e+03     3.76724e+00     3.99806e+02     4.51265e-01
    4.19263e-01     3.86213e+03     9.55687e+00     3.92819e+02     4.43712e-01
    4.23353e-01     3.84341e+03     2.87920e+00     3.88329e+02     5.82758e-01
    4.27447e-01     3.82005e+03     7.19064e+00     3.82728e+02     9.04128e-01
    4.31534e-01     3.80586e+03     4.19066e+00     3.78183e+02     6.04877e-01
    4.35624e-01     3.78344e+03     5.52608e+00     3.72334e+02     9.89832e-01
    4.39718e-01     3.76154e+03     2.60021e+00     3.67573e+02     4.55489e-01
    4.43804e-01     3.74194e+03     6.66213e+00     3.63368e+02     8.06224e-01
    4.47892e-01     3.72448e+03     6.36491e+00     3.57293e+02     8.98891e-01
    4.51977e-01     3.70717e+03     3.32765e+00     3.53226e+02     3.20933e-01
    4.56067e-01     3.68403e+03     5.53190e+00     3.48057e+02     3.01908e-01
    4.60165e-01     3.67161e+03     1.13194e+01     3.44519e+02     7.67589e-01
    4.64260e-01     3.64784e+03     5.04064e+00     3.39400e+02     7.64949e-01
    4.68355e-01     3.64179e+03     2.66029e+00     3.35911e+02     2.98231e-01
