# Real space auto- and cross-spectra.
# z=1.500, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.52141e+04     8.23640e+03     4.61557e+03
    1.04717e-02     1.23193e+04     6.99860e+03     4.16711e+03
    1.42665e-02     1.66452e+04     9.50788e+03     5.61952e+03
    1.81228e-02     2.02117e+04     1.13314e+04     6.56593e+03
    2.24845e-02     1.74812e+04     9.84045e+03     5.72945e+03
    2.64508e-02     1.59945e+04     8.98196e+03     5.24588e+03
    3.04474e-02     1.60390e+04     8.82014e+03     5.04129e+03
    3.47320e-02     1.56829e+04     8.73503e+03     5.04574e+03
    3.88308e-02     1.26361e+04     6.89290e+03     3.93077e+03
    4.28140e-02     1.08484e+04     5.94926e+03     3.45085e+03
    4.68856e-02     9.96611e+03     5.45943e+03     3.17746e+03
    5.09858e-02     9.56865e+03     5.23353e+03     3.04898e+03
    5.51458e-02     9.21879e+03     4.95601e+03     2.84214e+03
    5.92243e-02     8.76380e+03     4.76152e+03     2.77198e+03
    6.32864e-02     8.35403e+03     4.55554e+03     2.65371e+03
    6.73674e-02     8.02322e+03     4.37937e+03     2.56412e+03
    7.14960e-02     7.50422e+03     4.01922e+03     2.32673e+03
    7.55894e-02     7.22533e+03     3.84574e+03     2.22143e+03
    7.96660e-02     6.67128e+03     3.55446e+03     2.06931e+03
    8.38183e-02     6.33290e+03     3.32242e+03     1.91271e+03
    8.78941e-02     5.81887e+03     3.04589e+03     1.75936e+03
    9.19238e-02     5.52605e+03     2.85941e+03     1.64337e+03
    9.60446e-02     4.97645e+03     2.54186e+03     1.45819e+03
    1.00128e-01     4.74412e+03     2.42085e+03     1.39682e+03
    1.04209e-01     4.47248e+03     2.27552e+03     1.31789e+03
    1.08333e-01     4.19810e+03     2.11129e+03     1.21773e+03
    1.12448e-01     4.10013e+03     2.04945e+03     1.18047e+03
    1.16521e-01     4.06224e+03     2.02666e+03     1.16454e+03
    1.20596e-01     3.91363e+03     1.93303e+03     1.10763e+03
    1.24665e-01     3.74473e+03     1.85484e+03     1.07057e+03
    1.28771e-01     3.69583e+03     1.81796e+03     1.04105e+03
    1.32874e-01     3.63424e+03     1.78057e+03     1.01737e+03
    1.36975e-01     3.51168e+03     1.70163e+03     9.70383e+02
    1.41075e-01     3.32272e+03     1.59907e+03     9.14648e+02
    1.45172e-01     3.16120e+03     1.51100e+03     8.65689e+02
    1.49268e-01     2.98937e+03     1.40928e+03     8.05226e+02
    1.53330e-01     2.85560e+03     1.33496e+03     7.63366e+02
    1.57416e-01     2.72450e+03     1.26619e+03     7.25353e+02
    1.61514e-01     2.60432e+03     1.19325e+03     6.82240e+02
    1.65592e-01     2.58639e+03     1.18471e+03     6.79301e+02
    1.69693e-01     2.47495e+03     1.11550e+03     6.34852e+02
    1.73803e-01     2.42586e+03     1.09254e+03     6.22805e+02
    1.77905e-01     2.36313e+03     1.05532e+03     6.02348e+02
    1.82001e-01     2.30622e+03     1.02465e+03     5.84650e+02
    1.86092e-01     2.23478e+03     9.81716e+02     5.61322e+02
    1.90161e-01     2.17448e+03     9.60600e+02     5.53035e+02
    1.94237e-01     2.16763e+03     9.44802e+02     5.37731e+02
    1.98334e-01     2.12502e+03     9.20708e+02     5.24572e+02
    2.02427e-01     2.09236e+03     8.96407e+02     5.08491e+02
    2.06523e-01     2.01566e+03     8.61150e+02     4.89888e+02
    2.10626e-01     1.96751e+03     8.33632e+02     4.73887e+02
    2.14724e-01     1.91639e+03     8.01596e+02     4.55301e+02
    2.18827e-01     1.85001e+03     7.68880e+02     4.37788e+02
    2.22903e-01     1.80016e+03     7.35701e+02     4.18963e+02
    2.26990e-01     1.72862e+03     7.05234e+02     4.04309e+02
    2.31084e-01     1.73500e+03     6.96385e+02     3.94367e+02
    2.35153e-01     1.68249e+03     6.72379e+02     3.81484e+02
    2.39244e-01     1.63936e+03     6.48056e+02     3.68397e+02
    2.43338e-01     1.62651e+03     6.44923e+02     3.67753e+02
    2.47445e-01     1.61109e+03     6.29513e+02     3.56229e+02
    2.51539e-01     1.59117e+03     6.15946e+02     3.47503e+02
    2.55609e-01     1.55931e+03     5.99433e+02     3.40175e+02
    2.59718e-01     1.51903e+03     5.82314e+02     3.31955e+02
