# k, phh, phm/ 
0.0000e+00 0.0000e+00 0.0000e+00
5.7940e-03 3.0894e+04 1.5190e+04
1.0472e-02 2.8109e+04 1.4169e+04
1.4266e-02 3.4358e+04 1.7317e+04
1.8123e-02 2.9526e+04 1.4939e+04
2.2484e-02 3.3397e+04 1.6727e+04
2.6451e-02 3.0749e+04 1.5390e+04
3.0447e-02 2.9993e+04 1.4781e+04
3.4732e-02 2.4228e+04 1.2040e+04
3.8831e-02 2.4211e+04 1.1949e+04
4.2814e-02 2.1942e+04 1.0671e+04
4.6886e-02 2.0204e+04 9.7935e+03
5.0986e-02 1.8546e+04 9.0417e+03
5.5146e-02 1.7720e+04 8.5651e+03
5.9224e-02 1.7488e+04 8.4196e+03
6.3286e-02 1.6412e+04 7.8713e+03
6.7367e-02 1.5263e+04 7.3014e+03
7.1496e-02 1.4491e+04 6.8856e+03
7.5589e-02 1.3997e+04 6.6949e+03
7.9666e-02 1.3397e+04 6.3570e+03
8.3818e-02 1.2368e+04 5.8252e+03
8.7894e-02 1.1118e+04 5.2297e+03
9.1924e-02 1.0045e+04 4.6765e+03
9.6045e-02 9.6342e+03 4.4534e+03
1.0013e-01 9.2308e+03 4.2500e+03
1.0421e-01 8.5322e+03 3.8759e+03
1.0833e-01 8.1786e+03 3.7494e+03
1.1245e-01 7.8658e+03 3.5782e+03
1.1652e-01 8.0002e+03 3.6096e+03
1.2060e-01 7.3459e+03 3.2998e+03
1.2466e-01 7.1449e+03 3.2085e+03
1.2877e-01 7.2330e+03 3.2244e+03
1.3287e-01 7.1313e+03 3.1732e+03
1.3698e-01 6.5695e+03 2.9010e+03
1.4107e-01 6.4358e+03 2.8574e+03
1.4517e-01 6.0017e+03 2.6074e+03
1.4927e-01 5.8129e+03 2.5234e+03
1.5333e-01 5.5905e+03 2.4029e+03
1.5742e-01 5.3419e+03 2.2886e+03
1.6151e-01 5.1437e+03 2.1793e+03
1.6559e-01 4.9988e+03 2.1160e+03
1.6969e-01 4.7771e+03 2.0037e+03
1.7380e-01 4.6694e+03 1.9415e+03
1.7790e-01 4.5908e+03 1.9084e+03
1.8200e-01 4.5034e+03 1.8651e+03
1.8609e-01 4.3760e+03 1.8019e+03
1.9016e-01 4.3122e+03 1.7670e+03
1.9424e-01 4.1817e+03 1.7077e+03
1.9833e-01 4.1264e+03 1.6689e+03
2.0243e-01 3.9392e+03 1.5855e+03
2.0652e-01 3.9714e+03 1.5940e+03
2.1063e-01 3.8445e+03 1.5307e+03
2.1472e-01 3.6900e+03 1.4576e+03
2.1883e-01 3.6109e+03 1.4188e+03
2.2290e-01 3.5069e+03 1.3671e+03
2.2699e-01 3.4812e+03 1.3511e+03
2.3108e-01 3.3699e+03 1.2960e+03
2.3515e-01 3.2730e+03 1.2486e+03
2.3924e-01 3.2423e+03 1.2334e+03
2.4334e-01 3.1845e+03 1.2055e+03
2.4744e-01 3.1554e+03 1.1881e+03
2.5154e-01 3.1052e+03 1.1648e+03
2.5561e-01 3.0563e+03 1.1396e+03
2.5972e-01 3.0107e+03 1.1141e+03
2.6381e-01 2.9564e+03 1.0870e+03
2.6790e-01 2.8892e+03 1.0592e+03
2.7199e-01 2.8429e+03 1.0390e+03
2.7607e-01 2.7818e+03 1.0087e+03
2.8017e-01 2.7568e+03 9.9416e+02
2.8427e-01 2.7209e+03 9.7293e+02
2.8835e-01 2.6678e+03 9.5061e+02
2.9243e-01 2.6309e+03 9.3093e+02
2.9651e-01 2.5913e+03 9.1317e+02
3.0063e-01 2.5547e+03 8.9226e+02
3.0473e-01 2.5193e+03 8.7570e+02
3.0882e-01 2.4711e+03 8.5966e+02
3.1292e-01 2.4166e+03 8.3179e+02
3.1700e-01 2.4199e+03 8.2847e+02
3.2108e-01 2.4000e+03 8.1875e+02
3.2517e-01 2.3624e+03 8.0126e+02
3.2925e-01 2.3214e+03 7.8090e+02
3.3333e-01 2.3063e+03 7.7461e+02
3.3744e-01 2.2658e+03 7.5692e+02
3.4154e-01 2.2596e+03 7.5206e+02
3.4562e-01 2.2211e+03 7.3470e+02
3.4972e-01 2.2002e+03 7.2307e+02
3.5382e-01 2.1559e+03 7.0703e+02
3.5791e-01 2.1473e+03 7.0113e+02
3.6198e-01 2.1195e+03 6.8600e+02
3.6607e-01 2.0984e+03 6.7399e+02
3.7019e-01 2.0751e+03 6.6509e+02
3.7428e-01 2.0448e+03 6.5131e+02
3.7836e-01 2.0266e+03 6.4331e+02
3.8245e-01 2.0215e+03 6.3955e+02
3.8653e-01 1.9864e+03 6.2154e+02
3.9062e-01 1.9823e+03 6.1927e+02
3.9471e-01 1.9534e+03 6.0548e+02
3.9879e-01 1.9372e+03 6.0021e+02
4.0290e-01 1.9258e+03 5.9176e+02
4.0699e-01 1.9101e+03 5.8502e+02
4.1107e-01 1.8727e+03 5.7215e+02
4.1517e-01 1.8643e+03 5.6459e+02
4.1926e-01 1.8554e+03 5.6196e+02
4.2335e-01 1.8360e+03 5.5251e+02
4.2745e-01 1.8217e+03 5.4519e+02
4.3153e-01 1.7962e+03 5.3603e+02
4.3562e-01 1.7917e+03 5.3310e+02
4.3972e-01 1.7795e+03 5.2456e+02
4.4380e-01 1.7705e+03 5.2087e+02
4.4789e-01 1.7520e+03 5.1113e+02
4.5198e-01 1.7409e+03 5.0720e+02
4.5607e-01 1.7182e+03 4.9743e+02
