# Real space auto- and cross-spectra.
# z=0.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.33298e+04     1.54005e+04     1.86709e+04
    1.04717e-02     1.13011e+04     1.32170e+04     1.68762e+04
    1.42665e-02     1.49920e+04     1.79826e+04     2.26399e+04
    1.81228e-02     1.72993e+04     2.08047e+04     2.64705e+04
    2.24845e-02     1.52958e+04     1.82240e+04     2.29649e+04
    2.64508e-02     1.46662e+04     1.70245e+04     2.11816e+04
    3.04474e-02     1.41547e+04     1.64302e+04     2.01457e+04
    3.47320e-02     1.34617e+04     1.59303e+04     2.01303e+04
    3.88308e-02     1.07161e+04     1.24219e+04     1.56680e+04
    4.28140e-02     9.80566e+03     1.11115e+04     1.38313e+04
    4.68856e-02     8.80220e+03     1.00759e+04     1.27080e+04
    5.09858e-02     8.41025e+03     9.60065e+03     1.21623e+04
    5.51458e-02     7.89083e+03     8.94875e+03     1.13462e+04
    5.92243e-02     7.69717e+03     8.72365e+03     1.10431e+04
    6.32864e-02     7.23431e+03     8.19431e+03     1.04968e+04
    6.73674e-02     6.92411e+03     7.85572e+03     1.00953e+04
    7.14960e-02     6.48472e+03     7.23210e+03     9.24277e+03
    7.55894e-02     6.17142e+03     6.82409e+03     8.77484e+03
    7.96660e-02     5.86261e+03     6.44282e+03     8.25954e+03
    8.38183e-02     5.34494e+03     5.85739e+03     7.56500e+03
    8.78941e-02     5.00949e+03     5.43379e+03     7.07805e+03
    9.19238e-02     4.73758e+03     5.06970e+03     6.55345e+03
    9.60446e-02     4.24334e+03     4.51585e+03     5.91932e+03
    1.00128e-01     3.99485e+03     4.24797e+03     5.63777e+03
    1.04209e-01     3.82915e+03     4.03442e+03     5.35434e+03
    1.08333e-01     3.57839e+03     3.72763e+03     4.96671e+03
    1.12448e-01     3.57326e+03     3.69675e+03     4.91538e+03
    1.16521e-01     3.44323e+03     3.57275e+03     4.81175e+03
    1.20596e-01     3.23036e+03     3.33379e+03     4.50817e+03
    1.24665e-01     3.19602e+03     3.25304e+03     4.36970e+03
    1.28771e-01     3.05463e+03     3.11875e+03     4.25757e+03
    1.32874e-01     3.02453e+03     3.06310e+03     4.16666e+03
    1.36975e-01     2.92089e+03     2.91529e+03     3.97591e+03
    1.41075e-01     2.76818e+03     2.75152e+03     3.77278e+03
    1.45172e-01     2.68232e+03     2.63754e+03     3.61198e+03
    1.49268e-01     2.49085e+03     2.44682e+03     3.44229e+03
    1.53330e-01     2.37577e+03     2.30329e+03     3.23454e+03
    1.57416e-01     2.29893e+03     2.20105e+03     3.10891e+03
    1.61514e-01     2.23949e+03     2.11944e+03     2.98747e+03
    1.65592e-01     2.17328e+03     2.05278e+03     2.93693e+03
    1.69693e-01     2.10747e+03     1.96600e+03     2.81665e+03
    1.73803e-01     2.02712e+03     1.89050e+03     2.75174e+03
    1.77905e-01     1.98876e+03     1.83268e+03     2.64659e+03
    1.82001e-01     1.92018e+03     1.75846e+03     2.56460e+03
    1.86092e-01     1.87190e+03     1.71234e+03     2.50402e+03
    1.90161e-01     1.82748e+03     1.65266e+03     2.44001e+03
    1.94237e-01     1.79469e+03     1.60425e+03     2.36609e+03
    1.98334e-01     1.75416e+03     1.56730e+03     2.31888e+03
    2.02427e-01     1.74119e+03     1.54725e+03     2.29984e+03
    2.06523e-01     1.65970e+03     1.46049e+03     2.21563e+03
    2.10626e-01     1.61942e+03     1.40909e+03     2.14534e+03
    2.14724e-01     1.58837e+03     1.38206e+03     2.11674e+03
    2.18827e-01     1.53777e+03     1.31789e+03     2.02680e+03
    2.22903e-01     1.51224e+03     1.27192e+03     1.95968e+03
    2.26990e-01     1.47505e+03     1.23940e+03     1.92975e+03
    2.31084e-01     1.43828e+03     1.20898e+03     1.90446e+03
    2.35153e-01     1.41630e+03     1.16967e+03     1.82663e+03
    2.39244e-01     1.37145e+03     1.13099e+03     1.79357e+03
    2.43338e-01     1.36505e+03     1.11653e+03     1.77577e+03
    2.47445e-01     1.31755e+03     1.06989e+03     1.71719e+03
    2.51539e-01     1.31705e+03     1.04887e+03     1.68269e+03
    2.55609e-01     1.28132e+03     1.01701e+03     1.65875e+03
    2.59718e-01     1.27034e+03     1.00098e+03     1.62635e+03
    2.63814e-01     1.23645e+03     9.68178e+02     1.59418e+03
    2.67904e-01     1.21548e+03     9.37707e+02     1.54447e+03
    2.71993e-01     1.19878e+03     9.17008e+02     1.52779e+03
    2.76068e-01     1.17142e+03     9.01313e+02     1.50546e+03
    2.80171e-01     1.17128e+03     8.90081e+02     1.48817e+03
    2.84268e-01     1.14197e+03     8.56919e+02     1.45486e+03
    2.88346e-01     1.13074e+03     8.43443e+02     1.42513e+03
    2.92426e-01     1.09965e+03     8.10101e+02     1.39546e+03
    2.96514e-01     1.08648e+03     7.93349e+02     1.36505e+03
    3.00627e-01     1.06903e+03     7.80746e+02     1.35241e+03
    3.04729e-01     1.05577e+03     7.55281e+02     1.32709e+03
    3.08821e-01     1.05086e+03     7.52640e+02     1.31669e+03
    3.12919e-01     1.02976e+03     7.32878e+02     1.29854e+03
    3.16999e-01     1.01202e+03     7.10836e+02     1.27613e+03
    3.21078e-01     1.00583e+03     7.00129e+02     1.24680e+03
    3.25167e-01     9.81419e+02     6.75670e+02     1.22766e+03
    3.29247e-01     9.82890e+02     6.73603e+02     1.20955e+03
    3.33333e-01     9.59725e+02     6.48216e+02     1.18285e+03
    3.37443e-01     9.60794e+02     6.48884e+02     1.17778e+03
    3.41545e-01     9.33379e+02     6.21752e+02     1.14565e+03
    3.45625e-01     9.39679e+02     6.26592e+02     1.15384e+03
    3.49715e-01     9.21786e+02     6.06619e+02     1.12474e+03
    3.53817e-01     9.08388e+02     5.90254e+02     1.11474e+03
    3.57906e-01     9.10102e+02     5.93206e+02     1.10743e+03
    3.61975e-01     8.91672e+02     5.72367e+02     1.08524e+03
    3.66071e-01     8.89673e+02     5.69845e+02     1.08062e+03
    3.70189e-01     8.79694e+02     5.49270e+02     1.05011e+03
    3.74277e-01     8.71625e+02     5.50110e+02     1.05240e+03
    3.78356e-01     8.62709e+02     5.35377e+02     1.03439e+03
    3.82448e-01     8.46734e+02     5.17015e+02     1.01537e+03
    3.86535e-01     8.42490e+02     5.16760e+02     1.00962e+03
    3.90624e-01     8.35704e+02     5.07396e+02     9.97517e+02
    3.94706e-01     8.21579e+02     4.93019e+02     9.81306e+02
    3.98794e-01     8.18732e+02     4.91531e+02     9.77067e+02
    4.02896e-01     8.08902e+02     4.76291e+02     9.60725e+02
    4.06986e-01     8.08552e+02     4.74405e+02     9.54552e+02
    4.11069e-01     7.96627e+02     4.64649e+02     9.43475e+02
    4.15170e-01     7.92774e+02     4.54415e+02     9.27390e+02
    4.19263e-01     7.85141e+02     4.49074e+02     9.22281e+02
    4.23353e-01     7.75130e+02     4.40333e+02     9.07436e+02
    4.27447e-01     7.74841e+02     4.34842e+02     9.01967e+02
    4.31534e-01     7.64077e+02     4.26407e+02     8.88231e+02
    4.35624e-01     7.60051e+02     4.20860e+02     8.81213e+02
    4.39718e-01     7.50603e+02     4.11042e+02     8.71736e+02
    4.43804e-01     7.50069e+02     4.05807e+02     8.61926e+02
    4.47892e-01     7.44678e+02     3.99914e+02     8.52892e+02
    4.51977e-01     7.31469e+02     3.94088e+02     8.46268e+02
    4.56067e-01     7.30830e+02     3.89778e+02     8.38881e+02
    4.60165e-01     7.29225e+02     3.85281e+02     8.28711e+02
    4.64260e-01     7.24875e+02     3.79402e+02     8.21140e+02
    4.68355e-01     7.11785e+02     3.69259e+02     8.15580e+02
    4.72450e-01     7.09740e+02     3.66811e+02     8.05198e+02
    4.76540e-01     7.08615e+02     3.62278e+02     8.00493e+02
    4.80633e-01     7.01924e+02     3.57107e+02     7.92756e+02
    4.84718e-01     7.02580e+02     3.51183e+02     7.83791e+02
    4.88794e-01     6.94768e+02     3.47683e+02     7.82936e+02
    4.92888e-01     6.86325e+02     3.41657e+02     7.71045e+02
    4.96984e-01     6.82097e+02     3.34902e+02     7.64055e+02
    5.01073e-01     6.76283e+02     3.28670e+02     7.55932e+02
    5.05169e-01     6.75675e+02     3.24091e+02     7.49197e+02
    5.09268e-01     6.71535e+02     3.25056e+02     7.45032e+02
    5.13369e-01     6.64313e+02     3.17594e+02     7.39639e+02
    5.17441e-01     6.65606e+02     3.14582e+02     7.32621e+02
    5.21516e-01     6.57720e+02     3.08270e+02     7.24557e+02
    5.25611e-01     6.56627e+02     3.05962e+02     7.21876e+02
    5.29706e-01     6.56423e+02     3.01258e+02     7.11565e+02
    5.33801e-01     6.51715e+02     2.97621e+02     7.09869e+02
    5.37888e-01     6.46458e+02     2.91331e+02     7.01670e+02
    5.41985e-01     6.43831e+02     2.89091e+02     6.91918e+02
    5.46091e-01     6.38103e+02     2.85293e+02     6.89713e+02
    5.50174e-01     6.35341e+02     2.81374e+02     6.86579e+02
    5.54252e-01     6.32415e+02     2.77658e+02     6.77114e+02
    5.58346e-01     6.26965e+02     2.74765e+02     6.79650e+02
    5.62439e-01     6.24397e+02     2.70106e+02     6.68443e+02
    5.66527e-01     6.23076e+02     2.67570e+02     6.64601e+02
    5.70616e-01     6.21289e+02     2.65508e+02     6.60416e+02
    5.74707e-01     6.18973e+02     2.63289e+02     6.55731e+02
    5.78798e-01     6.15479e+02     2.58810e+02     6.50346e+02
    5.82883e-01     6.12018e+02     2.55537e+02     6.47694e+02
    5.86977e-01     6.07277e+02     2.51721e+02     6.42030e+02
    5.91070e-01     6.05167e+02     2.48669e+02     6.35212e+02
    5.95166e-01     6.01190e+02     2.45682e+02     6.32634e+02
    5.99260e-01     5.98458e+02     2.42437e+02     6.27480e+02
    6.03349e-01     5.99648e+02     2.42300e+02     6.26754e+02
    6.07445e-01     5.94839e+02     2.38998e+02     6.18630e+02
    6.11543e-01     5.93433e+02     2.34705e+02     6.17589e+02
    6.15623e-01     5.91661e+02     2.31753e+02     6.07002e+02
    6.19704e-01     5.86397e+02     2.29878e+02     6.08554e+02
    6.23792e-01     5.84035e+02     2.24342e+02     5.99141e+02
    6.27891e-01     5.80724e+02     2.21377e+02     5.96815e+02
    6.31991e-01     5.81683e+02     2.23054e+02     5.94592e+02
    6.36073e-01     5.79674e+02     2.19038e+02     5.86761e+02
    6.40158e-01     5.76161e+02     2.16445e+02     5.85867e+02
    6.44244e-01     5.73432e+02     2.13816e+02     5.81379e+02
    6.48338e-01     5.70412e+02     2.07936e+02     5.75822e+02
    6.52432e-01     5.68169e+02     2.07768e+02     5.73163e+02
    6.56514e-01     5.62542e+02     2.06170e+02     5.70386e+02
    6.60609e-01     5.64502e+02     2.05651e+02     5.69080e+02
    6.64712e-01     5.62526e+02     2.01056e+02     5.64416e+02
    6.68801e-01     5.59776e+02     2.00845e+02     5.62187e+02
    6.72890e-01     5.58551e+02     1.96337e+02     5.53415e+02
    6.76984e-01     5.55476e+02     1.94986e+02     5.51057e+02
    6.81074e-01     5.52451e+02     1.93249e+02     5.48406e+02
    6.85160e-01     5.51446e+02     1.90022e+02     5.46386e+02
    6.89246e-01     5.49888e+02     1.89815e+02     5.40384e+02
    6.93336e-01     5.47341e+02     1.87572e+02     5.37021e+02
    6.97434e-01     5.46248e+02     1.83885e+02     5.32625e+02
    7.01528e-01     5.45083e+02     1.85886e+02     5.31428e+02
    7.05618e-01     5.42310e+02     1.82153e+02     5.28047e+02
    7.09708e-01     5.43275e+02     1.80683e+02     5.24851e+02
    7.13796e-01     5.37690e+02     1.75923e+02     5.22900e+02
    7.17892e-01     5.36172e+02     1.76649e+02     5.19027e+02
    7.21982e-01     5.35293e+02     1.74412e+02     5.15958e+02
    7.26059e-01     5.31671e+02     1.71244e+02     5.12604e+02
    7.30145e-01     5.30001e+02     1.69249e+02     5.11414e+02
    7.34240e-01     5.29018e+02     1.68095e+02     5.08390e+02
    7.38340e-01     5.28485e+02     1.66806e+02     5.03404e+02
    7.42427e-01     5.27388e+02     1.66662e+02     4.98810e+02
    7.46511e-01     5.24650e+02     1.64296e+02     4.99491e+02
    7.50614e-01     5.24372e+02     1.62811e+02     4.94221e+02
    7.54706e-01     5.20977e+02     1.59177e+02     4.91970e+02
    7.58795e-01     5.18011e+02     1.58689e+02     4.89774e+02
    7.62888e-01     5.18853e+02     1.57182e+02     4.86213e+02
    7.66986e-01     5.16484e+02     1.55442e+02     4.81467e+02
    7.71073e-01     5.14252e+02     1.54956e+02     4.80985e+02
    7.75153e-01     5.13578e+02     1.53906e+02     4.78181e+02
    7.79241e-01     5.10960e+02     1.49479e+02     4.73572e+02
    7.83335e-01     5.11640e+02     1.49599e+02     4.71998e+02
    7.87426e-01     5.08794e+02     1.48084e+02     4.69203e+02
    7.91513e-01     5.07264e+02     1.45683e+02     4.65935e+02
    7.95606e-01     5.05363e+02     1.45373e+02     4.63433e+02
    7.99702e-01     5.03870e+02     1.43165e+02     4.62127e+02
    8.03798e-01     5.04672e+02     1.41951e+02     4.59364e+02
    8.07879e-01     4.99212e+02     1.39661e+02     4.55225e+02
    8.11963e-01     5.01545e+02     1.40793e+02     4.54146e+02
    8.16059e-01     5.00490e+02     1.38617e+02     4.51730e+02
    8.20152e-01     4.98666e+02     1.37873e+02     4.48618e+02
    8.24242e-01     4.99674e+02     1.36305e+02     4.48258e+02
    8.28331e-01     4.96418e+02     1.35581e+02     4.42845e+02
    8.32425e-01     4.94140e+02     1.33389e+02     4.42194e+02
    8.36516e-01     4.91657e+02     1.31715e+02     4.38801e+02
    8.40610e-01     4.91156e+02     1.30520e+02     4.36141e+02
    8.44704e-01     4.90077e+02     1.30781e+02     4.37268e+02
    8.48790e-01     4.88930e+02     1.29717e+02     4.33562e+02
    8.52876e-01     4.88761e+02     1.28865e+02     4.31029e+02
    8.56967e-01     4.86489e+02     1.25980e+02     4.28024e+02
    8.61059e-01     4.85337e+02     1.25967e+02     4.26242e+02
    8.65147e-01     4.82754e+02     1.24095e+02     4.23718e+02
    8.69235e-01     4.82116e+02     1.22173e+02     4.21737e+02
    8.73334e-01     4.82484e+02     1.22562e+02     4.18273e+02
    8.77429e-01     4.80515e+02     1.20419e+02     4.16892e+02
    8.81512e-01     4.78624e+02     1.19146e+02     4.13705e+02
    8.85601e-01     4.76986e+02     1.18362e+02     4.11120e+02
    8.89691e-01     4.76419e+02     1.18818e+02     4.08741e+02
    8.93784e-01     4.77508e+02     1.16582e+02     4.07615e+02
    8.97875e-01     4.75179e+02     1.15777e+02     4.05327e+02
    9.01960e-01     4.73329e+02     1.14875e+02     4.03603e+02
    9.06054e-01     4.72780e+02     1.13902e+02     4.02169e+02
    9.10146e-01     4.70866e+02     1.12764e+02     3.98655e+02
    9.14237e-01     4.70407e+02     1.11030e+02     3.95771e+02
    9.18331e-01     4.69249e+02     1.10441e+02     3.95775e+02
    9.22421e-01     4.69111e+02     1.10613e+02     3.92899e+02
    9.26509e-01     4.67566e+02     1.08419e+02     3.90701e+02
    9.30598e-01     4.63929e+02     1.07590e+02     3.88546e+02
    9.34692e-01     4.64663e+02     1.06604e+02     3.86314e+02
    9.38787e-01     4.62690e+02     1.05258e+02     3.83664e+02
    9.42873e-01     4.61663e+02     1.05367e+02     3.84000e+02
