# Real space h-h auto- and h-m cross-spectra.
# z=3.000, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.39678e+05     1.42664e+04
    1.04717e-02     4.07084e+05     2.38481e+04
    1.42665e-02     3.08477e+05     1.77425e+04
    1.81228e-02     3.27825e+05     1.99369e+04
    2.24845e-02     3.33014e+05     2.06621e+04
    2.64508e-02     3.01326e+05     1.58222e+04
    3.04474e-02     3.05202e+05     1.56218e+04
    3.47320e-02     2.90668e+05     1.40831e+04
    3.88308e-02     2.60393e+05     1.20003e+04
    4.28140e-02     2.59839e+05     1.15306e+04
    4.68856e-02     2.60646e+05     1.04639e+04
    5.09858e-02     2.59735e+05     1.00512e+04
    5.51458e-02     2.49553e+05     9.86361e+03
    5.92243e-02     2.45260e+05     8.06413e+03
    6.32864e-02     2.32943e+05     7.92763e+03
    6.73674e-02     2.39494e+05     8.09948e+03
    7.14960e-02     2.36925e+05     7.69526e+03
    7.55894e-02     2.33136e+05     7.23239e+03
    7.96660e-02     2.29388e+05     6.48042e+03
    8.38183e-02     2.20837e+05     6.20722e+03
    8.78941e-02     2.09957e+05     5.30627e+03
    9.19238e-02     2.16479e+05     5.45235e+03
    9.60446e-02     2.10760e+05     4.94913e+03
    1.00128e-01     2.14098e+05     4.53862e+03
    1.04209e-01     2.10590e+05     4.38826e+03
    1.08333e-01     2.09282e+05     4.27204e+03
    1.12448e-01     2.08278e+05     4.00979e+03
    1.16521e-01     2.02176e+05     3.86036e+03
    1.20596e-01     1.98774e+05     3.84512e+03
    1.24665e-01     2.00586e+05     3.59491e+03
    1.28771e-01     1.96690e+05     3.50541e+03
    1.32874e-01     2.03246e+05     3.62997e+03
    1.36975e-01     1.98277e+05     3.27515e+03
    1.41075e-01     1.94944e+05     3.07701e+03
    1.45172e-01     1.96458e+05     3.05443e+03
    1.49268e-01     1.95564e+05     2.81036e+03
    1.53330e-01     1.91739e+05     2.66522e+03
    1.57416e-01     1.87943e+05     2.45366e+03
    1.61514e-01     1.88876e+05     2.41208e+03
    1.65592e-01     1.89695e+05     2.33716e+03
    1.69693e-01     1.88790e+05     2.27889e+03
