# Real space h-h auto- and h-m cross-spectra.
# z=0.500, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.39775e+04     9.18432e+03
    1.04717e-02     1.79142e+04     1.26168e+04
    1.42665e-02     2.23690e+04     1.70880e+04
    1.81228e-02     2.78315e+04     2.12840e+04
    2.24845e-02     2.23063e+04     1.73641e+04
    2.64508e-02     2.43387e+04     1.84054e+04
    3.04474e-02     1.70033e+04     1.27511e+04
    3.47320e-02     1.68297e+04     1.27120e+04
    3.88308e-02     1.41071e+04     1.05043e+04
    4.28140e-02     1.41236e+04     1.04360e+04
    4.68856e-02     1.30113e+04     9.42913e+03
    5.09858e-02     1.23032e+04     8.90482e+03
    5.51458e-02     1.12489e+04     8.09466e+03
    5.92243e-02     1.09044e+04     7.71890e+03
    6.32864e-02     1.04404e+04     7.42624e+03
    6.73674e-02     1.03427e+04     7.34009e+03
    7.14960e-02     9.82564e+03     6.89715e+03
    7.55894e-02     9.38864e+03     6.46108e+03
    7.96660e-02     8.68599e+03     5.96138e+03
    8.38183e-02     8.23896e+03     5.62254e+03
    8.78941e-02     7.52355e+03     5.01490e+03
    9.19238e-02     7.03976e+03     4.64835e+03
    9.60446e-02     6.56140e+03     4.27704e+03
    1.00128e-01     6.21369e+03     3.97907e+03
    1.04209e-01     5.88348e+03     3.74713e+03
    1.08333e-01     5.60628e+03     3.49844e+03
    1.12448e-01     5.61794e+03     3.49744e+03
    1.16521e-01     5.34403e+03     3.33630e+03
    1.20596e-01     5.29431e+03     3.20839e+03
    1.24665e-01     5.16683e+03     3.15871e+03
    1.28771e-01     5.01634e+03     3.02663e+03
    1.32874e-01     4.81615e+03     2.87342e+03
    1.36975e-01     4.70080e+03     2.74358e+03
    1.41075e-01     4.46465e+03     2.58664e+03
    1.45172e-01     4.30950e+03     2.49298e+03
    1.49268e-01     4.06176e+03     2.27682e+03
    1.53330e-01     3.96662e+03     2.22462e+03
    1.57416e-01     3.86088e+03     2.14208e+03
    1.61514e-01     3.69057e+03     2.01708e+03
    1.65592e-01     3.65719e+03     1.96495e+03
    1.69693e-01     3.50288e+03     1.85729e+03
    1.73803e-01     3.36786e+03     1.76951e+03
    1.77905e-01     3.33150e+03     1.74112e+03
    1.82001e-01     3.32522e+03     1.70448e+03
    1.86092e-01     3.20586e+03     1.63616e+03
    1.90161e-01     3.16860e+03     1.61268e+03
    1.94237e-01     3.06579e+03     1.52082e+03
    1.98334e-01     3.08635e+03     1.53547e+03
    2.02427e-01     3.00545e+03     1.47037e+03
    2.06523e-01     2.92783e+03     1.40851e+03
    2.10626e-01     2.85177e+03     1.35881e+03
    2.14724e-01     2.76556e+03     1.30143e+03
    2.18827e-01     2.76460e+03     1.28144e+03
    2.22903e-01     2.70778e+03     1.25016e+03
    2.26990e-01     2.65833e+03     1.20353e+03
    2.31084e-01     2.60596e+03     1.17445e+03
    2.35153e-01     2.54336e+03     1.11707e+03
    2.39244e-01     2.51426e+03     1.10492e+03
    2.43338e-01     2.49267e+03     1.07394e+03
    2.47445e-01     2.43981e+03     1.04393e+03
    2.51539e-01     2.42707e+03     1.01820e+03
    2.55609e-01     2.39643e+03     1.00316e+03
    2.59718e-01     2.34632e+03     9.66408e+02
    2.63814e-01     2.30386e+03     9.40256e+02
    2.67904e-01     2.27607e+03     9.21892e+02
    2.71993e-01     2.27548e+03     9.03540e+02
    2.76068e-01     2.21820e+03     8.77986e+02
    2.80171e-01     2.21111e+03     8.64433e+02
    2.84268e-01     2.13757e+03     8.25070e+02
    2.88346e-01     2.13846e+03     8.16028e+02
    2.92426e-01     2.09466e+03     7.90871e+02
    2.96514e-01     2.10560e+03     7.82074e+02
    3.00627e-01     2.07569e+03     7.68209e+02
    3.04729e-01     2.03277e+03     7.38366e+02
    3.08821e-01     2.02397e+03     7.32420e+02
    3.12919e-01     2.02056e+03     7.23569e+02
    3.16999e-01     1.98933e+03     7.09586e+02
    3.21078e-01     1.96682e+03     6.88923e+02
    3.25167e-01     1.96244e+03     6.81537e+02
    3.29247e-01     1.92550e+03     6.60459e+02
    3.33333e-01     1.91205e+03     6.50189e+02
    3.37443e-01     1.90097e+03     6.37522e+02
    3.41545e-01     1.87835e+03     6.28856e+02
    3.45625e-01     1.84966e+03     6.12013e+02
    3.49715e-01     1.85454e+03     6.03077e+02
    3.53817e-01     1.82104e+03     5.85259e+02
    3.57906e-01     1.81689e+03     5.71561e+02
    3.61975e-01     1.79350e+03     5.59611e+02
    3.66071e-01     1.79020e+03     5.61402e+02
    3.70189e-01     1.77991e+03     5.50259e+02
