# Real space auto- and cross-spectra.
# z=1.500, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.49664e+04     8.01440e+03     4.54204e+03
    1.04717e-02     1.51246e+04     8.58376e+03     5.06698e+03
    1.42665e-02     1.83806e+04     1.05252e+04     6.19194e+03
    1.81228e-02     1.57864e+04     9.00729e+03     5.32008e+03
    2.24845e-02     1.74808e+04     9.68492e+03     5.57667e+03
    2.64508e-02     1.55403e+04     8.61425e+03     4.96498e+03
    3.04474e-02     1.58924e+04     8.70084e+03     4.94929e+03
    3.47320e-02     1.33435e+04     7.37447e+03     4.26472e+03
    3.88308e-02     1.23276e+04     6.78938e+03     3.94054e+03
    4.28140e-02     1.16352e+04     6.37534e+03     3.67785e+03
    4.68856e-02     9.86264e+03     5.36094e+03     3.09344e+03
    5.09858e-02     9.16827e+03     5.02520e+03     2.93067e+03
    5.51458e-02     9.54974e+03     5.19603e+03     2.99983e+03
    5.92243e-02     9.03702e+03     4.89410e+03     2.82705e+03
    6.32864e-02     8.48531e+03     4.55922e+03     2.63240e+03
    6.73674e-02     8.10629e+03     4.39070e+03     2.55198e+03
    7.14960e-02     7.71545e+03     4.11991e+03     2.37091e+03
    7.55894e-02     7.10571e+03     3.77475e+03     2.17572e+03
    7.96660e-02     6.92495e+03     3.67296e+03     2.11254e+03
    8.38183e-02     6.06383e+03     3.19155e+03     1.84890e+03
    8.78941e-02     5.86257e+03     3.06015e+03     1.75574e+03
    9.19238e-02     5.44512e+03     2.79760e+03     1.60330e+03
    9.60446e-02     5.11295e+03     2.62835e+03     1.51105e+03
    1.00128e-01     4.78990e+03     2.43217e+03     1.39155e+03
    1.04209e-01     4.36981e+03     2.19257e+03     1.25858e+03
    1.08333e-01     4.22014e+03     2.12653e+03     1.22519e+03
    1.12448e-01     4.12979e+03     2.08100e+03     1.20283e+03
    1.16521e-01     4.03216e+03     2.00719e+03     1.15177e+03
    1.20596e-01     3.83367e+03     1.90701e+03     1.09818e+03
    1.24665e-01     3.81547e+03     1.87435e+03     1.07121e+03
    1.28771e-01     3.80676e+03     1.86915e+03     1.06533e+03
    1.32874e-01     3.58779e+03     1.75335e+03     1.00351e+03
    1.36975e-01     3.52972e+03     1.71159e+03     9.77708e+02
    1.41075e-01     3.35066e+03     1.61775e+03     9.26588e+02
    1.45172e-01     3.11483e+03     1.49150e+03     8.54273e+02
    1.49268e-01     2.97139e+03     1.40400e+03     8.06205e+02
    1.53330e-01     2.89088e+03     1.35630e+03     7.75638e+02
