# Real space auto- and cross-spectra.
# z=3.000, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.28036e+05     1.05429e+04     1.17144e+03
    1.04717e-02     2.53464e+05     1.47185e+04     1.94550e+03
    1.42665e-02     4.23042e+05     2.55511e+04     2.70352e+03
    1.81228e-02     3.31717e+05     1.85317e+04     2.40341e+03
    2.24845e-02     3.10644e+05     1.77513e+04     2.19653e+03
    2.64508e-02     3.04886e+05     1.69560e+04     2.17179e+03
    3.04474e-02     2.78150e+05     1.54328e+04     1.94547e+03
    3.47320e-02     2.75375e+05     1.38357e+04     1.77356e+03
    3.88308e-02     2.62725e+05     1.18490e+04     1.55620e+03
    4.28140e-02     2.69502e+05     1.14452e+04     1.40796e+03
    4.68856e-02     2.53487e+05     1.04008e+04     1.40522e+03
    5.09858e-02     2.59382e+05     1.09147e+04     1.30023e+03
    5.51458e-02     2.38676e+05     8.30040e+03     1.08350e+03
    5.92243e-02     2.50385e+05     9.53666e+03     1.18186e+03
    6.32864e-02     2.45290e+05     8.24087e+03     1.06636e+03
    6.73674e-02     2.34276e+05     7.79977e+03     1.01294e+03
    7.14960e-02     2.35071e+05     7.54734e+03     9.28932e+02
    7.55894e-02     2.35680e+05     7.43633e+03     9.07027e+02
    7.96660e-02     2.28978e+05     6.59101e+03     8.44686e+02
    8.38183e-02     2.25985e+05     6.22082e+03     7.68669e+02
    8.78941e-02     2.14853e+05     5.34178e+03     6.94923e+02
    9.19238e-02     2.14939e+05     5.39533e+03     6.72229e+02
    9.60446e-02     2.20036e+05     5.18064e+03     6.20444e+02
    1.00128e-01     2.07011e+05     4.46630e+03     5.60676e+02
    1.04209e-01     2.10933e+05     4.26528e+03     5.13576e+02
    1.08333e-01     2.05502e+05     3.94122e+03     4.83766e+02
    1.12448e-01     2.05462e+05     3.94454e+03     4.82689e+02
    1.16521e-01     2.05199e+05     3.80362e+03     4.57465e+02
    1.20596e-01     2.01843e+05     3.65567e+03     4.43422e+02
    1.24665e-01     2.02022e+05     3.52258e+03     4.26307e+02
    1.28771e-01     1.96785e+05     3.40593e+03     4.19717e+02
    1.32874e-01     2.01428e+05     3.46427e+03     4.07404e+02
    1.36975e-01     1.98092e+05     3.27413e+03     3.90491e+02
    1.41075e-01     1.97508e+05     3.06883e+03     3.60536e+02
    1.45172e-01     1.92882e+05     2.97295e+03     3.48922e+02
    1.49268e-01     1.93495e+05     2.86460e+03     3.22129e+02
    1.53330e-01     1.88739e+05     2.60770e+03     3.09393e+02
    1.57416e-01     1.88069e+05     2.41750e+03     2.96037e+02
    1.61514e-01     1.90137e+05     2.37589e+03     2.76625e+02
    1.65592e-01     1.90292e+05     2.30824e+03     2.61158e+02
    1.69693e-01     1.87760e+05     2.21681e+03     2.48181e+02
    1.73803e-01     1.84693e+05     2.17326e+03     2.43268e+02
    1.77905e-01     1.84188e+05     2.16302e+03     2.38493e+02
    1.82001e-01     1.83750e+05     2.04483e+03     2.32788e+02
    1.86092e-01     1.87169e+05     2.05085e+03     2.25639e+02
    1.90161e-01     1.83769e+05     1.91299e+03     2.18729e+02
    1.94237e-01     1.84390e+05     1.95301e+03     2.17173e+02
    1.98334e-01     1.84352e+05     1.85227e+03     2.06341e+02
    2.02427e-01     1.84654e+05     1.81284e+03     1.99520e+02
    2.06523e-01     1.82178e+05     1.75992e+03     1.93512e+02
    2.10626e-01     1.80691e+05     1.72513e+03     1.82002e+02
    2.14724e-01     1.80332e+05     1.68043e+03     1.75915e+02
    2.18827e-01     1.78289e+05     1.55578e+03     1.69454e+02
    2.22903e-01     1.81032e+05     1.54944e+03     1.60830e+02
    2.26990e-01     1.79174e+05     1.52605e+03     1.58272e+02
    2.31084e-01     1.78271e+05     1.44212e+03     1.51943e+02
    2.35153e-01     1.79167e+05     1.43471e+03     1.48120e+02
    2.39244e-01     1.76697e+05     1.40302e+03     1.44415e+02
    2.43338e-01     1.78459e+05     1.36456e+03     1.40197e+02
    2.47445e-01     1.75151e+05     1.34186e+03     1.36381e+02
    2.51539e-01     1.77391e+05     1.30523e+03     1.34439e+02
    2.55609e-01     1.76670e+05     1.30827e+03     1.29992e+02
    2.59718e-01     1.76417e+05     1.26748e+03     1.26020e+02
    2.63814e-01     1.75063e+05     1.19696e+03     1.22534e+02
    2.67904e-01     1.76005e+05     1.22250e+03     1.20041e+02
    2.71993e-01     1.75170e+05     1.18941e+03     1.17880e+02
    2.76068e-01     1.73961e+05     1.15342e+03     1.13168e+02
    2.80171e-01     1.73458e+05     1.16428e+03     1.08791e+02
    2.84268e-01     1.71397e+05     1.08337e+03     1.05616e+02
    2.88346e-01     1.72702e+05     1.07191e+03     1.03919e+02
    2.92426e-01     1.74011e+05     1.07814e+03     1.01133e+02
    2.96514e-01     1.71107e+05     1.02182e+03     9.84231e+01
    3.00627e-01     1.69620e+05     9.92304e+02     9.58504e+01
    3.04729e-01     1.71577e+05     1.01300e+03     9.38561e+01
    3.08821e-01     1.71700e+05     9.88441e+02     9.13033e+01
    3.12919e-01     1.72191e+05     9.82383e+02     9.03571e+01
    3.16999e-01     1.69174e+05     9.27949e+02     8.82764e+01
    3.21078e-01     1.69235e+05     9.45387e+02     8.61565e+01
    3.25167e-01     1.69381e+05     9.02142e+02     8.35028e+01
    3.29247e-01     1.70017e+05     9.12041e+02     8.19892e+01
    3.33333e-01     1.67403e+05     8.76883e+02     8.05280e+01
    3.37443e-01     1.68144e+05     8.56114e+02     7.81314e+01
    3.41545e-01     1.67454e+05     8.35050e+02     7.61846e+01
    3.45625e-01     1.67928e+05     8.53332e+02     7.48963e+01
    3.49715e-01     1.66583e+05     8.12722e+02     7.28625e+01
    3.53817e-01     1.67779e+05     8.05637e+02     7.14273e+01
    3.57906e-01     1.66745e+05     8.23231e+02     6.98535e+01
    3.61975e-01     1.65739e+05     7.74000e+02     6.87273e+01
    3.66071e-01     1.67150e+05     7.75749e+02     6.67889e+01
    3.70189e-01     1.66886e+05     7.72429e+02     6.58837e+01
    3.74277e-01     1.64219e+05     7.49102e+02     6.42511e+01
    3.78356e-01     1.65153e+05     7.38916e+02     6.30292e+01
    3.82448e-01     1.65494e+05     7.20606e+02     6.20047e+01
    3.86535e-01     1.64603e+05     7.35788e+02     6.08526e+01
    3.90624e-01     1.65181e+05     7.03668e+02     5.98328e+01
    3.94706e-01     1.63608e+05     7.07123e+02     5.83856e+01
    3.98794e-01     1.63922e+05     6.89974e+02     5.75722e+01
    4.02896e-01     1.65768e+05     6.86928e+02     5.61132e+01
    4.06986e-01     1.65081e+05     6.74177e+02     5.51386e+01
    4.11069e-01     1.63897e+05     6.64597e+02     5.38230e+01
    4.15170e-01     1.63578e+05     6.49322e+02     5.30355e+01
    4.19263e-01     1.63863e+05     6.35536e+02     5.20573e+01
    4.23353e-01     1.63529e+05     6.33296e+02     5.14339e+01
    4.27447e-01     1.62899e+05     6.33920e+02     5.05436e+01
    4.31534e-01     1.63924e+05     6.13374e+02     4.91366e+01
    4.35624e-01     1.62042e+05     6.01225e+02     4.88403e+01
    4.39718e-01     1.62736e+05     6.17623e+02     4.77958e+01
    4.43804e-01     1.60692e+05     6.08547e+02     4.65252e+01
    4.47892e-01     1.62364e+05     6.11631e+02     4.62193e+01
    4.51977e-01     1.61117e+05     5.86764e+02     4.54599e+01
    4.56067e-01     1.61736e+05     5.79724e+02     4.46790e+01
    4.60165e-01     1.60981e+05     5.84825e+02     4.40267e+01
    4.64260e-01     1.61181e+05     5.64534e+02     4.31122e+01
    4.68355e-01     1.61022e+05     5.66324e+02     4.25463e+01
    4.72450e-01     1.60059e+05     5.52915e+02     4.18307e+01
    4.76540e-01     1.59698e+05     5.58642e+02     4.11594e+01
    4.80633e-01     1.61202e+05     5.53521e+02     4.03326e+01
    4.84718e-01     1.60344e+05     5.40398e+02     3.99418e+01
    4.88794e-01     1.60392e+05     5.35063e+02     3.92846e+01
    4.92888e-01     1.60636e+05     5.30945e+02     3.86601e+01
    4.96984e-01     1.59504e+05     5.20806e+02     3.78048e+01
    5.01073e-01     1.58791e+05     5.20071e+02     3.74816e+01
    5.05169e-01     1.58931e+05     5.06587e+02     3.67480e+01
    5.09268e-01     1.58900e+05     5.03161e+02     3.62944e+01
    5.13369e-01     1.58080e+05     5.08826e+02     3.56448e+01
    5.17441e-01     1.57983e+05     5.05120e+02     3.53111e+01
    5.21516e-01     1.58220e+05     4.96713e+02     3.49177e+01
    5.25611e-01     1.58646e+05     4.82322e+02     3.40677e+01
    5.29706e-01     1.57259e+05     4.78873e+02     3.36832e+01
    5.33801e-01     1.58202e+05     4.86756e+02     3.32070e+01
    5.37888e-01     1.57360e+05     4.69712e+02     3.28839e+01
    5.41985e-01     1.57241e+05     4.61527e+02     3.22639e+01
    5.46091e-01     1.57060e+05     4.67490e+02     3.18300e+01
    5.50174e-01     1.56915e+05     4.64638e+02     3.14989e+01
    5.54252e-01     1.56991e+05     4.63495e+02     3.09227e+01
    5.58346e-01     1.57381e+05     4.56117e+02     3.06549e+01
    5.62439e-01     1.56177e+05     4.53824e+02     3.01889e+01
    5.66527e-01     1.56128e+05     4.45117e+02     2.97579e+01
    5.70616e-01     1.55661e+05     4.42338e+02     2.94138e+01
    5.74707e-01     1.56008e+05     4.50059e+02     2.91265e+01
    5.78798e-01     1.55822e+05     4.38994e+02     2.86099e+01
    5.82883e-01     1.55250e+05     4.28607e+02     2.81457e+01
    5.86977e-01     1.55103e+05     4.25247e+02     2.78534e+01
    5.91070e-01     1.55813e+05     4.16910e+02     2.75122e+01
    5.95166e-01     1.54628e+05     4.22374e+02     2.72210e+01
    5.99260e-01     1.55139e+05     4.21054e+02     2.67493e+01
    6.03349e-01     1.54363e+05     4.13791e+02     2.64172e+01
    6.07445e-01     1.54755e+05     4.06702e+02     2.59795e+01
    6.11543e-01     1.53693e+05     3.97392e+02     2.56891e+01
    6.15623e-01     1.54800e+05     4.00610e+02     2.54354e+01
