# k, phh, phm/ 
0.0000e+00 0.0000e+00 0.0000e+00
5.7940e-03 1.4396e+04 1.2123e+04
1.0472e-02 3.3937e+04 2.8710e+04
1.4266e-02 3.3530e+04 2.8089e+04
1.8123e-02 3.9658e+04 3.3468e+04
2.2484e-02 3.2793e+04 2.7726e+04
2.6451e-02 2.9108e+04 2.4194e+04
3.0447e-02 2.6433e+04 2.1832e+04
3.4732e-02 2.6538e+04 2.2090e+04
3.8831e-02 2.1046e+04 1.7511e+04
4.2814e-02 2.0995e+04 1.7335e+04
4.6886e-02 1.9024e+04 1.5639e+04
5.0986e-02 1.6252e+04 1.3189e+04
5.5146e-02 1.5836e+04 1.2878e+04
5.9224e-02 1.5396e+04 1.2592e+04
6.3286e-02 1.4990e+04 1.2301e+04
6.7367e-02 1.3327e+04 1.0823e+04
7.1496e-02 1.3297e+04 1.0810e+04
7.5589e-02 1.2590e+04 1.0209e+04
7.9666e-02 1.1451e+04 9.3061e+03
8.3818e-02 1.0986e+04 8.8401e+03
8.7894e-02 1.0303e+04 8.2511e+03
9.1924e-02 9.2567e+03 7.3848e+03
9.6045e-02 8.8303e+03 7.0450e+03
1.0013e-01 8.2726e+03 6.5694e+03
1.0421e-01 7.8833e+03 6.2194e+03
1.0833e-01 7.4737e+03 5.9017e+03
1.1245e-01 7.0594e+03 5.5247e+03
1.1652e-01 6.8356e+03 5.3599e+03
1.2060e-01 6.6181e+03 5.1726e+03
1.2466e-01 6.4989e+03 5.0439e+03
1.2877e-01 6.1772e+03 4.8294e+03
1.3287e-01 6.1342e+03 4.7652e+03
1.3698e-01 5.7242e+03 4.4272e+03
1.4107e-01 5.5020e+03 4.2395e+03
1.4517e-01 5.2637e+03 4.0495e+03
1.4927e-01 5.0623e+03 3.8908e+03
1.5333e-01 4.9408e+03 3.7688e+03
1.5742e-01 4.6945e+03 3.5825e+03
1.6151e-01 4.4874e+03 3.3885e+03
1.6559e-01 4.3545e+03 3.2679e+03
1.6969e-01 4.2316e+03 3.1768e+03
1.7380e-01 4.1103e+03 3.0860e+03
1.7790e-01 4.0464e+03 3.0258e+03
1.8200e-01 3.8715e+03 2.8901e+03
1.8609e-01 3.7836e+03 2.8164e+03
1.9016e-01 3.7254e+03 2.7612e+03
1.9424e-01 3.6752e+03 2.7131e+03
1.9833e-01 3.5741e+03 2.6353e+03
2.0243e-01 3.4450e+03 2.5262e+03
2.0652e-01 3.3241e+03 2.4333e+03
2.1063e-01 3.2840e+03 2.3893e+03
2.1472e-01 3.2022e+03 2.3217e+03
2.1883e-01 3.1000e+03 2.2430e+03
2.2290e-01 3.0040e+03 2.1687e+03
2.2699e-01 2.9663e+03 2.1333e+03
2.3108e-01 2.8750e+03 2.0582e+03
2.3515e-01 2.8410e+03 2.0365e+03
2.3924e-01 2.7719e+03 1.9732e+03
2.4334e-01 2.7049e+03 1.9219e+03
2.4744e-01 2.6678e+03 1.8861e+03
2.5154e-01 2.6473e+03 1.8789e+03
2.5561e-01 2.5681e+03 1.8080e+03
2.5972e-01 2.5490e+03 1.7912e+03
2.6381e-01 2.4673e+03 1.7327e+03
2.6790e-01 2.4155e+03 1.6870e+03
2.7199e-01 2.3872e+03 1.6699e+03
2.7607e-01 2.3509e+03 1.6312e+03
2.8017e-01 2.3058e+03 1.5983e+03
2.8427e-01 2.2970e+03 1.5877e+03
2.8835e-01 2.2287e+03 1.5323e+03
2.9243e-01 2.2040e+03 1.5128e+03
2.9651e-01 2.1537e+03 1.4735e+03
3.0063e-01 2.1339e+03 1.4587e+03
3.0473e-01 2.1173e+03 1.4450e+03
3.0882e-01 2.0944e+03 1.4257e+03
3.1292e-01 2.0396e+03 1.3768e+03
3.1700e-01 2.0181e+03 1.3587e+03
3.2108e-01 2.0105e+03 1.3544e+03
3.2517e-01 1.9722e+03 1.3244e+03
3.2925e-01 1.9383e+03 1.2958e+03
3.3333e-01 1.9070e+03 1.2671e+03
3.3744e-01 1.8962e+03 1.2601e+03
3.4154e-01 1.8604e+03 1.2350e+03
3.4562e-01 1.8465e+03 1.2192e+03
3.4972e-01 1.8240e+03 1.2011e+03
3.5382e-01 1.7937e+03 1.1798e+03
3.5791e-01 1.7824e+03 1.1723e+03
3.6198e-01 1.7583e+03 1.1526e+03
3.6607e-01 1.7567e+03 1.1430e+03
3.7019e-01 1.7240e+03 1.1203e+03
3.7428e-01 1.7023e+03 1.1058e+03
3.7836e-01 1.6882e+03 1.0955e+03
3.8245e-01 1.6706e+03 1.0765e+03
3.8653e-01 1.6441e+03 1.0579e+03
3.9062e-01 1.6332e+03 1.0488e+03
3.9471e-01 1.6205e+03 1.0380e+03
3.9879e-01 1.5997e+03 1.0233e+03
4.0290e-01 1.5887e+03 1.0151e+03
4.0699e-01 1.5767e+03 1.0008e+03
4.1107e-01 1.5586e+03 9.8856e+02
4.1517e-01 1.5442e+03 9.7836e+02
4.1926e-01 1.5180e+03 9.5816e+02
4.2335e-01 1.5038e+03 9.4619e+02
4.2745e-01 1.5089e+03 9.4470e+02
4.3153e-01 1.4909e+03 9.3095e+02
4.3562e-01 1.4761e+03 9.2245e+02
4.3972e-01 1.4602e+03 9.0773e+02
4.4380e-01 1.4486e+03 9.0239e+02
4.4789e-01 1.4201e+03 8.8073e+02
4.5198e-01 1.4348e+03 8.8916e+02
4.5607e-01 1.4201e+03 8.7365e+02
4.6017e-01 1.4054e+03 8.6307e+02
4.6426e-01 1.3907e+03 8.5220e+02
4.6835e-01 1.3808e+03 8.4378e+02
4.7245e-01 1.3732e+03 8.3583e+02
4.7654e-01 1.3657e+03 8.3058e+02
4.8063e-01 1.3518e+03 8.2068e+02
4.8472e-01 1.3388e+03 8.0782e+02
4.8879e-01 1.3321e+03 8.0793e+02
4.9289e-01 1.3367e+03 8.0705e+02
4.9698e-01 1.3203e+03 7.9371e+02
5.0107e-01 1.3067e+03 7.8358e+02
5.0517e-01 1.3061e+03 7.8175e+02
5.0927e-01 1.2858e+03 7.6929e+02
5.1337e-01 1.2853e+03 7.6789e+02
5.1744e-01 1.2779e+03 7.5962e+02
5.2152e-01 1.2739e+03 7.5714e+02
5.2561e-01 1.2539e+03 7.4128e+02
5.2971e-01 1.2511e+03 7.3981e+02
5.3380e-01 1.2410e+03 7.3010e+02
5.3789e-01 1.2397e+03 7.2752e+02
5.4199e-01 1.2346e+03 7.2159e+02
5.4609e-01 1.2227e+03 7.1424e+02
5.5017e-01 1.2174e+03 7.1004e+02
5.5425e-01 1.2062e+03 7.0287e+02
5.5835e-01 1.2011e+03 6.9795e+02
5.6244e-01 1.1915e+03 6.9210e+02
5.6653e-01 1.1882e+03 6.8737e+02
5.7062e-01 1.1850e+03 6.8170e+02
5.7471e-01 1.1753e+03 6.7732e+02
5.7880e-01 1.1705e+03 6.7310e+02
5.8288e-01 1.1619e+03 6.6495e+02
5.8698e-01 1.1619e+03 6.6547e+02
5.9107e-01 1.1486e+03 6.5556e+02
5.9517e-01 1.1446e+03 6.5256e+02
5.9926e-01 1.1354e+03 6.4447e+02
6.0335e-01 1.1378e+03 6.4534e+02
6.0745e-01 1.1285e+03 6.3902e+02
6.1154e-01 1.1300e+03 6.3870e+02
6.1562e-01 1.1125e+03 6.2619e+02
6.1970e-01 1.1185e+03 6.2840e+02
6.2379e-01 1.1082e+03 6.2156e+02
6.2789e-01 1.1033e+03 6.1910e+02
6.3199e-01 1.0988e+03 6.1548e+02
6.3607e-01 1.0896e+03 6.0800e+02
6.4016e-01 1.0882e+03 6.0450e+02
6.4424e-01 1.0823e+03 5.9947e+02
6.4834e-01 1.0781e+03 5.9849e+02
6.5243e-01 1.0777e+03 5.9728e+02
6.5651e-01 1.0684e+03 5.9021e+02
6.6061e-01 1.0665e+03 5.8726e+02
6.6471e-01 1.0596e+03 5.8205e+02
6.6880e-01 1.0577e+03 5.7904e+02
6.7289e-01 1.0524e+03 5.7487e+02
6.7698e-01 1.0461e+03 5.7101e+02
6.8107e-01 1.0426e+03 5.6696e+02
6.8516e-01 1.0441e+03 5.6762e+02
6.8925e-01 1.0395e+03 5.6407e+02
6.9334e-01 1.0294e+03 5.5701e+02
6.9743e-01 1.0274e+03 5.5417e+02
7.0153e-01 1.0229e+03 5.5157e+02
7.0562e-01 1.0215e+03 5.4997e+02
7.0971e-01 1.0138e+03 5.4393e+02
7.1380e-01 1.0167e+03 5.4360e+02
7.1789e-01 1.0095e+03 5.3965e+02
7.2198e-01 1.0062e+03 5.3718e+02
7.2606e-01 9.9917e+02 5.3221e+02
7.3015e-01 9.9723e+02 5.2933e+02
7.3424e-01 9.9498e+02 5.2702e+02
7.3834e-01 9.9239e+02 5.2419e+02
7.4243e-01 9.8743e+02 5.2126e+02
