# Real space auto- and cross-spectra.
# z=0.500, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     3.25552e+04     1.88738e+04     1.21711e+04
    1.04717e-02     4.58186e+04     2.56074e+04     1.54258e+04
    1.42665e-02     3.35295e+04     1.89251e+04     1.20361e+04
    1.81228e-02     4.54505e+04     2.66727e+04     1.69303e+04
    2.24845e-02     3.75467e+04     2.22686e+04     1.45639e+04
    2.64508e-02     3.66304e+04     2.05118e+04     1.28147e+04
    3.04474e-02     3.63900e+04     2.01131e+04     1.23963e+04
    3.47320e-02     2.92777e+04     1.60529e+04     1.00018e+04
    3.88308e-02     2.93138e+04     1.58593e+04     9.70107e+03
    4.28140e-02     2.38825e+04     1.27341e+04     8.00070e+03
    4.68856e-02     2.30529e+04     1.21904e+04     7.65092e+03
    5.09858e-02     2.35274e+04     1.24357e+04     7.72176e+03
    5.51458e-02     2.12412e+04     1.12344e+04     7.02664e+03
    5.92243e-02     2.04536e+04     1.04580e+04     6.51469e+03
    6.32864e-02     1.87226e+04     9.60419e+03     6.02745e+03
    6.73674e-02     1.85006e+04     9.32112e+03     5.81986e+03
    7.14960e-02     1.80443e+04     8.99169e+03     5.56558e+03
    7.55894e-02     1.80222e+04     8.90144e+03     5.42730e+03
    7.96660e-02     1.59559e+04     7.74050e+03     4.76038e+03
    8.38183e-02     1.48146e+04     7.09346e+03     4.44309e+03
    8.78941e-02     1.42237e+04     6.63956e+03     4.07692e+03
    9.19238e-02     1.31952e+04     6.16931e+03     3.87604e+03
    9.60446e-02     1.26765e+04     5.81608e+03     3.61423e+03
    1.00128e-01     1.18949e+04     5.25382e+03     3.26430e+03
    1.04209e-01     1.13985e+04     4.97378e+03     3.09854e+03
    1.08333e-01     1.13035e+04     4.94158e+03     3.07136e+03
    1.12448e-01     1.09150e+04     4.69629e+03     2.89966e+03
    1.16521e-01     1.08120e+04     4.55495e+03     2.80461e+03
    1.20596e-01     1.01235e+04     4.24400e+03     2.64745e+03
    1.24665e-01     1.01365e+04     4.15340e+03     2.56443e+03
    1.28771e-01     9.85841e+03     4.04055e+03     2.50487e+03
    1.32874e-01     9.50393e+03     3.83800e+03     2.35945e+03
    1.36975e-01     9.35269e+03     3.78104e+03     2.35919e+03
    1.41075e-01     9.17936e+03     3.62662e+03     2.23160e+03
    1.45172e-01     8.66588e+03     3.35218e+03     2.08229e+03
    1.49268e-01     8.36411e+03     3.20643e+03     2.00314e+03
    1.53330e-01     8.26264e+03     3.09042e+03     1.90937e+03
    1.57416e-01     8.01924e+03     2.91972e+03     1.80528e+03
    1.61514e-01     7.61249e+03     2.73469e+03     1.71375e+03
    1.65592e-01     7.56677e+03     2.66669e+03     1.65740e+03
    1.69693e-01     7.35690e+03     2.57267e+03     1.60022e+03
    1.73803e-01     7.17758e+03     2.47418e+03     1.55293e+03
    1.77905e-01     7.20572e+03     2.44526e+03     1.51443e+03
    1.82001e-01     7.01341e+03     2.38934e+03     1.49320e+03
    1.86092e-01     6.95275e+03     2.32128e+03     1.44128e+03
    1.90161e-01     6.75740e+03     2.23052e+03     1.39798e+03
    1.94237e-01     6.81714e+03     2.20238e+03     1.35730e+03
    1.98334e-01     6.60595e+03     2.11242e+03     1.31061e+03
    2.02427e-01     6.49994e+03     2.04486e+03     1.27290e+03
    2.06523e-01     6.36777e+03     1.97630e+03     1.22968e+03
    2.10626e-01     6.28154e+03     1.90076e+03     1.18148e+03
    2.14724e-01     6.21569e+03     1.87040e+03     1.16110e+03
    2.18827e-01     6.13748e+03     1.81132e+03     1.11961e+03
    2.22903e-01     5.98099e+03     1.74404e+03     1.08398e+03
    2.26990e-01     5.97485e+03     1.72558e+03     1.06338e+03
    2.31084e-01     5.82966e+03     1.64963e+03     1.02653e+03
    2.35153e-01     5.80127e+03     1.63238e+03     1.01142e+03
    2.39244e-01     5.73262e+03     1.58643e+03     9.84014e+02
    2.43338e-01     5.65655e+03     1.55520e+03     9.64872e+02
    2.47445e-01     5.57137e+03     1.50597e+03     9.37387e+02
    2.51539e-01     5.49830e+03     1.46781e+03     9.17857e+02
    2.55609e-01     5.44696e+03     1.44223e+03     8.98298e+02
    2.59718e-01     5.41439e+03     1.40380e+03     8.81487e+02
    2.63814e-01     5.39396e+03     1.38020e+03     8.60893e+02
    2.67904e-01     5.33127e+03     1.36087e+03     8.47196e+02
    2.71993e-01     5.24645e+03     1.32857e+03     8.29212e+02
    2.76068e-01     5.18385e+03     1.26332e+03     7.87004e+02
    2.80171e-01     5.14431e+03     1.25928e+03     7.81333e+02
    2.84268e-01     5.10108e+03     1.22365e+03     7.65408e+02
    2.88346e-01     5.07533e+03     1.21092e+03     7.54161e+02
    2.92426e-01     5.03680e+03     1.17753e+03     7.37264e+02
    2.96514e-01     4.99049e+03     1.16091e+03     7.20546e+02
    3.00627e-01     4.93027e+03     1.13713e+03     7.10875e+02
    3.04729e-01     4.84096e+03     1.10053e+03     6.96630e+02
    3.08821e-01     4.86801e+03     1.08707e+03     6.83084e+02
    3.12919e-01     4.82292e+03     1.07230e+03     6.69196e+02
    3.16999e-01     4.75976e+03     1.04799e+03     6.58869e+02
    3.21078e-01     4.75447e+03     1.04143e+03     6.51574e+02
    3.25167e-01     4.69099e+03     1.01088e+03     6.36560e+02
    3.29247e-01     4.68547e+03     9.97247e+02     6.22058e+02
    3.33333e-01     4.64269e+03     9.72146e+02     6.10710e+02
    3.37443e-01     4.60200e+03     9.70453e+02     6.07444e+02
    3.41545e-01     4.55270e+03     9.33333e+02     5.89037e+02
    3.45625e-01     4.52174e+03     9.24596e+02     5.83978e+02
    3.49715e-01     4.52827e+03     9.15563e+02     5.73402e+02
    3.53817e-01     4.52718e+03     9.02235e+02     5.67257e+02
    3.57906e-01     4.45183e+03     8.81540e+02     5.57957e+02
    3.61975e-01     4.45561e+03     8.75010e+02     5.48377e+02
    3.66071e-01     4.43641e+03     8.63059e+02     5.41349e+02
    3.70189e-01     4.39803e+03     8.50041e+02     5.34417e+02
    3.74277e-01     4.35401e+03     8.30729e+02     5.25505e+02
    3.78356e-01     4.37002e+03     8.17247e+02     5.16991e+02
    3.82448e-01     4.33799e+03     8.09813e+02     5.06875e+02
    3.86535e-01     4.32022e+03     7.94058e+02     5.02687e+02
    3.90624e-01     4.29554e+03     7.85734e+02     4.96954e+02
    3.94706e-01     4.27836e+03     7.74212e+02     4.87484e+02
    3.98794e-01     4.24745e+03     7.67310e+02     4.84891e+02
    4.02896e-01     4.24540e+03     7.50155e+02     4.74167e+02
    4.06986e-01     4.19173e+03     7.30910e+02     4.66271e+02
    4.11069e-01     4.20574e+03     7.32935e+02     4.63544e+02
    4.15170e-01     4.15623e+03     7.26752e+02     4.57125e+02
    4.19263e-01     4.14844e+03     7.08637e+02     4.52060e+02
    4.23353e-01     4.14214e+03     7.02930e+02     4.42936e+02
    4.27447e-01     4.11013e+03     6.93815e+02     4.37348e+02
    4.31534e-01     4.11420e+03     6.85170e+02     4.33460e+02
    4.35624e-01     4.05916e+03     6.71637e+02     4.26375e+02
    4.39718e-01     4.06069e+03     6.61489e+02     4.19070e+02
    4.43804e-01     4.04869e+03     6.57411e+02     4.19874e+02
    4.47892e-01     4.06666e+03     6.56515e+02     4.14597e+02
    4.51977e-01     3.99373e+03     6.30591e+02     4.03656e+02
    4.56067e-01     3.99158e+03     6.36091e+02     4.04469e+02
    4.60165e-01     3.98193e+03     6.26052e+02     4.00583e+02
    4.64260e-01     3.95512e+03     6.20541e+02     3.96513e+02
    4.68355e-01     3.97054e+03     6.18760e+02     3.94083e+02
    4.72450e-01     3.96328e+03     6.08077e+02     3.86535e+02
    4.76540e-01     3.92762e+03     5.96269e+02     3.79478e+02
    4.80633e-01     3.88609e+03     5.88047e+02     3.75398e+02
    4.84718e-01     3.91248e+03     5.86970e+02     3.73103e+02
    4.88794e-01     3.91313e+03     5.77322e+02     3.67358e+02
    4.92888e-01     3.88700e+03     5.72261e+02     3.63105e+02
    4.96984e-01     3.85757e+03     5.66526e+02     3.62831e+02
    5.01073e-01     3.85818e+03     5.58412e+02     3.57823e+02
    5.05169e-01     3.84967e+03     5.56857e+02     3.52271e+02
    5.09268e-01     3.81525e+03     5.50058e+02     3.50543e+02
    5.13369e-01     3.83457e+03     5.46201e+02     3.46418e+02
    5.17441e-01     3.79385e+03     5.37785e+02     3.44310e+02
    5.21516e-01     3.77760e+03     5.31146e+02     3.39204e+02
    5.25611e-01     3.79499e+03     5.26073e+02     3.35311e+02
    5.29706e-01     3.77220e+03     5.23865e+02     3.32617e+02
    5.33801e-01     3.76532e+03     5.18138e+02     3.30958e+02
    5.37888e-01     3.77135e+03     5.18081e+02     3.28139e+02
    5.41985e-01     3.75869e+03     5.09267e+02     3.23009e+02
    5.46091e-01     3.73886e+03     5.05529e+02     3.21385e+02
    5.50174e-01     3.71943e+03     4.98249e+02     3.17805e+02
