# Real space h-h auto- and h-m cross-spectra.
# z=0.500, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.81935e+04     1.20502e+04
    1.04717e-02     3.36740e+04     1.89273e+04
    1.42665e-02     4.38370e+04     2.69037e+04
    1.81228e-02     4.56672e+04     2.57291e+04
    2.24845e-02     3.99309e+04     2.22641e+04
    2.64508e-02     3.64980e+04     2.05837e+04
    3.04474e-02     3.10056e+04     1.73418e+04
    3.47320e-02     2.78999e+04     1.52361e+04
    3.88308e-02     2.67876e+04     1.47588e+04
    4.28140e-02     2.55493e+04     1.37813e+04
    4.68856e-02     2.44453e+04     1.31842e+04
    5.09858e-02     2.27923e+04     1.19353e+04
    5.51458e-02     2.13046e+04     1.11980e+04
    5.92243e-02     2.02562e+04     1.04927e+04
    6.32864e-02     1.92125e+04     9.90744e+03
    6.73674e-02     1.88401e+04     9.43281e+03
    7.14960e-02     1.81082e+04     9.12990e+03
    7.55894e-02     1.68515e+04     8.39598e+03
    7.96660e-02     1.60160e+04     7.77849e+03
    8.38183e-02     1.52464e+04     7.43372e+03
    8.78941e-02     1.45249e+04     6.81121e+03
    9.19238e-02     1.29494e+04     5.99601e+03
    9.60446e-02     1.24266e+04     5.69906e+03
    1.00128e-01     1.22265e+04     5.46923e+03
    1.04209e-01     1.15610e+04     5.08049e+03
    1.08333e-01     1.09269e+04     4.73327e+03
    1.12448e-01     1.08347e+04     4.68564e+03
    1.16521e-01     1.06503e+04     4.54341e+03
    1.20596e-01     1.02772e+04     4.34861e+03
    1.24665e-01     9.81491e+03     4.05429e+03
    1.28771e-01     1.00815e+04     4.19028e+03
    1.32874e-01     9.59629e+03     3.92126e+03
    1.36975e-01     9.19072e+03     3.73298e+03
    1.41075e-01     9.19590e+03     3.65354e+03
    1.45172e-01     8.70154e+03     3.37763e+03
    1.49268e-01     8.41487e+03     3.17998e+03
    1.53330e-01     8.18118e+03     3.07255e+03
    1.57416e-01     7.95295e+03     2.91722e+03
    1.61514e-01     7.86855e+03     2.85429e+03
    1.65592e-01     7.58159e+03     2.70513e+03
    1.69693e-01     7.37174e+03     2.54718e+03
    1.73803e-01     7.25694e+03     2.49180e+03
    1.77905e-01     7.11413e+03     2.43172e+03
    1.82001e-01     7.05271e+03     2.37130e+03
