# Real space h-h auto- and h-m cross-spectra.
# z=0.500, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    5.13369e-01     1.45779e+03     3.27113e+02
    5.17441e-01     1.44587e+03     3.23207e+02
    5.21516e-01     1.45168e+03     3.23574e+02
    5.25611e-01     1.43990e+03     3.15528e+02
    5.29706e-01     1.43163e+03     3.11161e+02
    5.33801e-01     1.43160e+03     3.08136e+02
    5.37888e-01     1.42214e+03     3.05527e+02
    5.41985e-01     1.41980e+03     3.01696e+02
    5.46091e-01     1.40969e+03     2.95854e+02
    5.50174e-01     1.40786e+03     2.96424e+02
    5.54252e-01     1.39624e+03     2.88584e+02
    5.58346e-01     1.39729e+03     2.90261e+02
    5.62439e-01     1.38618e+03     2.83332e+02
    5.66527e-01     1.38039e+03     2.82671e+02
    5.70616e-01     1.38008e+03     2.79261e+02
    5.74707e-01     1.37780e+03     2.75196e+02
    5.78798e-01     1.37267e+03     2.70551e+02
    5.82883e-01     1.36336e+03     2.70048e+02
    5.86977e-01     1.36433e+03     2.67614e+02
    5.91070e-01     1.35328e+03     2.63735e+02
    5.95166e-01     1.35198e+03     2.60016e+02
    5.99260e-01     1.35085e+03     2.59557e+02
    6.03349e-01     1.34622e+03     2.56648e+02
    6.07445e-01     1.34108e+03     2.55651e+02
    6.11543e-01     1.33313e+03     2.49002e+02
    6.15623e-01     1.32852e+03     2.46969e+02
    6.19704e-01     1.32488e+03     2.45890e+02
    6.23792e-01     1.32338e+03     2.44171e+02
    6.27891e-01     1.32120e+03     2.41053e+02
    6.31991e-01     1.31510e+03     2.39533e+02
    6.36073e-01     1.31366e+03     2.35801e+02
    6.40158e-01     1.30674e+03     2.34278e+02
    6.44244e-01     1.30731e+03     2.32770e+02
    6.48338e-01     1.30497e+03     2.29133e+02
    6.52432e-01     1.29730e+03     2.26857e+02
    6.56514e-01     1.29288e+03     2.23841e+02
    6.60609e-01     1.29191e+03     2.24076e+02
    6.64712e-01     1.28867e+03     2.22798e+02
    6.68801e-01     1.28495e+03     2.19385e+02
    6.72890e-01     1.27776e+03     2.16576e+02
    6.76984e-01     1.27949e+03     2.14568e+02
    6.81074e-01     1.27757e+03     2.14734e+02
    6.85160e-01     1.27488e+03     2.12230e+02
    6.89246e-01     1.26692e+03     2.09843e+02
    6.93336e-01     1.26395e+03     2.07353e+02
    6.97434e-01     1.26108e+03     2.05638e+02
    7.01528e-01     1.25188e+03     2.04168e+02
    7.05618e-01     1.25673e+03     2.03767e+02
    7.09708e-01     1.24604e+03     1.99563e+02
    7.13796e-01     1.24963e+03     1.98125e+02
    7.17892e-01     1.24416e+03     1.98705e+02
    7.21982e-01     1.24389e+03     1.96680e+02
    7.26059e-01     1.23950e+03     1.94530e+02
    7.30145e-01     1.24033e+03     1.92756e+02
    7.34240e-01     1.23327e+03     1.91158e+02
    7.38340e-01     1.23442e+03     1.89648e+02
    7.42427e-01     1.23102e+03     1.89662e+02
    7.46511e-01     1.22054e+03     1.84348e+02
    7.50614e-01     1.22317e+03     1.85382e+02
    7.54706e-01     1.21195e+03     1.81790e+02
    7.58795e-01     1.21792e+03     1.82436e+02
    7.62888e-01     1.21809e+03     1.81268e+02
    7.66986e-01     1.20995e+03     1.79446e+02
    7.71073e-01     1.20838e+03     1.79465e+02
    7.75153e-01     1.20552e+03     1.77306e+02
    7.79241e-01     1.20357e+03     1.75334e+02
    7.83335e-01     1.20411e+03     1.74694e+02
    7.87426e-01     1.19793e+03     1.71416e+02
    7.91513e-01     1.19606e+03     1.72422e+02
    7.95606e-01     1.19354e+03     1.69991e+02
    7.99702e-01     1.18953e+03     1.69039e+02
    8.03798e-01     1.18893e+03     1.68044e+02
    8.07879e-01     1.18672e+03     1.65214e+02
    8.11963e-01     1.18139e+03     1.64393e+02
    8.16059e-01     1.18194e+03     1.63952e+02
    8.20152e-01     1.17676e+03     1.61428e+02
    8.24242e-01     1.17922e+03     1.62971e+02
    8.28331e-01     1.17520e+03     1.60258e+02
    8.32425e-01     1.17161e+03     1.58625e+02
    8.36516e-01     1.16870e+03     1.58551e+02
    8.40610e-01     1.16663e+03     1.57914e+02
    8.44704e-01     1.16491e+03     1.55949e+02
    8.48790e-01     1.16194e+03     1.55291e+02
    8.52876e-01     1.16056e+03     1.52821e+02
    8.56967e-01     1.15541e+03     1.52013e+02
    8.61059e-01     1.15412e+03     1.51741e+02
    8.65147e-01     1.15499e+03     1.49851e+02
    8.69235e-01     1.15326e+03     1.49989e+02
    8.73334e-01     1.15099e+03     1.48619e+02
    8.77429e-01     1.14801e+03     1.47940e+02
    8.81512e-01     1.14303e+03     1.46553e+02
    8.85601e-01     1.14582e+03     1.45847e+02
    8.89691e-01     1.13808e+03     1.44964e+02
    8.93784e-01     1.14142e+03     1.44695e+02
    8.97875e-01     1.13269e+03     1.42779e+02
    9.01960e-01     1.13596e+03     1.41838e+02
    9.06054e-01     1.13574e+03     1.41097e+02
    9.10146e-01     1.13122e+03     1.40405e+02
    9.14237e-01     1.12848e+03     1.39229e+02
    9.18331e-01     1.12673e+03     1.38801e+02
    9.22421e-01     1.13030e+03     1.38902e+02
    9.26509e-01     1.12395e+03     1.37400e+02
    9.30598e-01     1.12196e+03     1.36476e+02
    9.34692e-01     1.11799e+03     1.35611e+02
    9.38787e-01     1.11614e+03     1.34607e+02
    9.42873e-01     1.11491e+03     1.32922e+02
    9.46961e-01     1.11320e+03     1.32800e+02
    9.51054e-01     1.11295e+03     1.31601e+02
    9.55150e-01     1.10778e+03     1.29923e+02
    9.59240e-01     1.10886e+03     1.30834e+02
    9.63327e-01     1.10683e+03     1.29398e+02
    9.67420e-01     1.10408e+03     1.29329e+02
    9.71506e-01     1.09975e+03     1.27346e+02
    9.75588e-01     1.09760e+03     1.26894e+02
    9.79678e-01     1.09783e+03     1.26652e+02
    9.83773e-01     1.09593e+03     1.25588e+02
    9.87866e-01     1.09350e+03     1.24974e+02
    9.91960e-01     1.09518e+03     1.24038e+02
    9.96055e-01     1.08851e+03     1.23174e+02
    1.00015e+00     1.08954e+03     1.22758e+02
    1.00424e+00     1.08761e+03     1.22117e+02
    1.00832e+00     1.08405e+03     1.21779e+02
    1.01242e+00     1.08766e+03     1.22040e+02
    1.01651e+00     1.08816e+03     1.20227e+02
    1.02059e+00     1.07905e+03     1.18999e+02
    1.02468e+00     1.07625e+03     1.18857e+02
