# Real space h-h auto- and h-m cross-spectra.
# z=0.500, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.90930e+04     1.07242e+04
    1.04717e-02     2.91993e+04     1.58982e+04
    1.42665e-02     4.00875e+04     2.25636e+04
    1.81228e-02     4.49167e+04     2.68189e+04
    2.24845e-02     4.04837e+04     2.32850e+04
    2.64508e-02     4.01789e+04     2.33340e+04
    3.04474e-02     3.11559e+04     1.70224e+04
    3.47320e-02     3.05111e+04     1.69710e+04
    3.88308e-02     2.57472e+04     1.39910e+04
    4.28140e-02     2.46103e+04     1.35000e+04
    4.68856e-02     2.40367e+04     1.26105e+04
    5.09858e-02     2.27039e+04     1.19464e+04
    5.51458e-02     2.10881e+04     1.09019e+04
    5.92243e-02     1.99889e+04     1.03506e+04
    6.32864e-02     1.91231e+04     9.85107e+03
    6.73674e-02     1.88975e+04     9.71662e+03
    7.14960e-02     1.82115e+04     9.21894e+03
    7.55894e-02     1.72709e+04     8.57539e+03
    7.96660e-02     1.59141e+04     7.85564e+03
    8.38183e-02     1.54994e+04     7.49006e+03
    8.78941e-02     1.42269e+04     6.76419e+03
    9.19238e-02     1.32526e+04     6.21000e+03
    9.60446e-02     1.25670e+04     5.75238e+03
    1.00128e-01     1.20009e+04     5.38995e+03
    1.04209e-01     1.13022e+04     5.01025e+03
    1.08333e-01     1.08237e+04     4.68312e+03
    1.12448e-01     1.12481e+04     4.81975e+03
    1.16521e-01     1.06548e+04     4.57303e+03
    1.20596e-01     1.00338e+04     4.27311e+03
    1.24665e-01     1.01537e+04     4.29329e+03
    1.28771e-01     9.87005e+03     4.09580e+03
    1.32874e-01     9.63419e+03     3.92156e+03
    1.36975e-01     9.11768e+03     3.68976e+03
    1.41075e-01     8.94452e+03     3.52621e+03
    1.45172e-01     8.71317e+03     3.39648e+03
    1.49268e-01     8.35729e+03     3.13691e+03
    1.53330e-01     8.29182e+03     3.11530e+03
    1.57416e-01     7.91660e+03     2.93796e+03
    1.61514e-01     7.75574e+03     2.81417e+03
    1.65592e-01     7.67377e+03     2.71969e+03
    1.69693e-01     7.37949e+03     2.59688e+03
    1.73803e-01     7.24380e+03     2.48612e+03
    1.77905e-01     7.19144e+03     2.44826e+03
    1.82001e-01     7.06218e+03     2.37721e+03
    1.86092e-01     6.89910e+03     2.31097e+03
    1.90161e-01     6.76881e+03     2.25378e+03
    1.94237e-01     6.60967e+03     2.12574e+03
    1.98334e-01     6.67019e+03     2.15521e+03
    2.02427e-01     6.53161e+03     2.06630e+03
    2.06523e-01     6.37177e+03     1.98869e+03
    2.10626e-01     6.26351e+03     1.92641e+03
    2.14724e-01     6.13584e+03     1.84446e+03
    2.18827e-01     6.13716e+03     1.83587e+03
    2.22903e-01     6.04744e+03     1.79931e+03
    2.26990e-01     5.92194e+03     1.70983e+03
    2.31084e-01     5.85474e+03     1.68129e+03
