# Real space auto- and cross-spectra.
# z=2.000, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     7.60922e+04     1.07532e+04     1.92381e+03
    1.04717e-02     1.08912e+05     1.99754e+04     4.39177e+03
    1.42665e-02     1.05703e+05     1.91946e+04     4.26320e+03
    1.81228e-02     1.31996e+05     2.41510e+04     5.12226e+03
    2.24845e-02     1.02361e+05     1.90986e+04     4.23764e+03
    2.64508e-02     9.05660e+04     1.63036e+04     3.66801e+03
    3.04474e-02     9.04200e+04     1.53466e+04     3.30935e+03
    3.47320e-02     9.39751e+04     1.58478e+04     3.38666e+03
    3.88308e-02     8.20506e+04     1.30991e+04     2.71731e+03
    4.28140e-02     7.57294e+04     1.22446e+04     2.64159e+03
    4.68856e-02     6.88293e+04     1.09537e+04     2.38050e+03
    5.09858e-02     6.16559e+04     9.19201e+03     1.99305e+03
    5.51458e-02     6.06462e+04     9.10076e+03     1.96655e+03
    5.92243e-02     6.28010e+04     9.19420e+03     1.93717e+03
    6.32864e-02     6.11426e+04     8.96689e+03     1.90351e+03
    6.73674e-02     5.65803e+04     7.84478e+03     1.68911e+03
    7.14960e-02     5.37617e+04     7.74761e+03     1.66195e+03
    7.55894e-02     5.38500e+04     7.44797e+03     1.57380e+03
    7.96660e-02     5.26418e+04     6.92542e+03     1.43852e+03
    8.38183e-02     4.95635e+04     6.53966e+03     1.37917e+03
    8.78941e-02     4.71143e+04     5.95702e+03     1.25722e+03
    9.19238e-02     4.35188e+04     5.30443e+03     1.13707e+03
    9.60446e-02     4.34685e+04     5.15238e+03     1.06672e+03
    1.00128e-01     4.15643e+04     4.77188e+03     9.90081e+02
    1.04209e-01     3.96878e+04     4.49369e+03     9.44514e+02
    1.08333e-01     3.90525e+04     4.26896e+03     8.83695e+02
    1.12448e-01     3.82004e+04     4.04573e+03     8.26056e+02
    1.16521e-01     3.70701e+04     3.87070e+03     8.06544e+02
    1.20596e-01     3.77308e+04     3.88413e+03     7.83959e+02
    1.24665e-01     3.61011e+04     3.67172e+03     7.50240e+02
    1.28771e-01     3.58917e+04     3.63942e+03     7.37655e+02
    1.32874e-01     3.55800e+04     3.52488e+03     7.12106e+02
    1.36975e-01     3.42462e+04     3.30908e+03     6.69627e+02
    1.41075e-01     3.37182e+04     3.12935e+03     6.36500e+02
    1.45172e-01     3.31352e+04     3.03025e+03     6.03315e+02
    1.49268e-01     3.21258e+04     2.85793e+03     5.72925e+02
    1.53330e-01     3.11367e+04     2.71562e+03     5.39615e+02
    1.57416e-01     3.05811e+04     2.58473e+03     5.17715e+02
    1.61514e-01     3.07551e+04     2.46203e+03     4.78940e+02
    1.65592e-01     2.96859e+04     2.33283e+03     4.59563e+02
    1.69693e-01     2.96148e+04     2.31603e+03     4.48031e+02
    1.73803e-01     2.93874e+04     2.22120e+03     4.31725e+02
    1.77905e-01     2.91629e+04     2.20885e+03     4.27422e+02
    1.82001e-01     2.87531e+04     2.13470e+03     4.07673e+02
    1.86092e-01     2.82747e+04     2.08941e+03     4.00718e+02
    1.90161e-01     2.84978e+04     2.06961e+03     3.92623e+02
    1.94237e-01     2.84671e+04     2.01438e+03     3.81558e+02
    1.98334e-01     2.77634e+04     1.94728e+03     3.69622e+02
    2.02427e-01     2.75070e+04     1.86266e+03     3.52979e+02
    2.06523e-01     2.71426e+04     1.80172e+03     3.34982e+02
    2.10626e-01     2.69481e+04     1.79700e+03     3.31168e+02
    2.14724e-01     2.62819e+04     1.67559e+03     3.12773e+02
    2.18827e-01     2.59221e+04     1.60965e+03     2.98447e+02
    2.22903e-01     2.58101e+04     1.58504e+03     2.91148e+02
    2.26990e-01     2.56927e+04     1.54279e+03     2.80289e+02
    2.31084e-01     2.55217e+04     1.48305e+03     2.68412e+02
    2.35153e-01     2.53785e+04     1.48439e+03     2.64248e+02
    2.39244e-01     2.50212e+04     1.43400e+03     2.59110e+02
    2.43338e-01     2.50321e+04     1.39424e+03     2.50258e+02
    2.47445e-01     2.49402e+04     1.39269e+03     2.45658e+02
    2.51539e-01     2.46583e+04     1.35429e+03     2.41573e+02
    2.55609e-01     2.47446e+04     1.32315e+03     2.33488e+02
    2.59718e-01     2.41057e+04     1.30040e+03     2.30039e+02
    2.63814e-01     2.41928e+04     1.27586e+03     2.24124e+02
    2.67904e-01     2.40769e+04     1.24941e+03     2.18215e+02
    2.71993e-01     2.36159e+04     1.21492e+03     2.10900e+02
    2.76068e-01     2.36148e+04     1.18737e+03     2.05450e+02
    2.80171e-01     2.33935e+04     1.15715e+03     1.97591e+02
    2.84268e-01     2.31853e+04     1.12845e+03     1.93271e+02
    2.88346e-01     2.30150e+04     1.11478e+03     1.89315e+02
    2.92426e-01     2.29280e+04     1.07397e+03     1.81441e+02
    2.96514e-01     2.30131e+04     1.07442e+03     1.79462e+02
    3.00627e-01     2.27858e+04     1.04617e+03     1.75602e+02
    3.04729e-01     2.26089e+04     1.03122e+03     1.72216e+02
    3.08821e-01     2.26190e+04     1.02075e+03     1.69514e+02
    3.12919e-01     2.22582e+04     9.86336e+02     1.64007e+02
    3.16999e-01     2.22872e+04     9.80956e+02     1.61322e+02
    3.21078e-01     2.22501e+04     9.64649e+02     1.57307e+02
    3.25167e-01     2.20751e+04     9.42403e+02     1.54382e+02
    3.29247e-01     2.19412e+04     9.21278e+02     1.50412e+02
    3.33333e-01     2.18781e+04     9.09650e+02     1.48031e+02
    3.37443e-01     2.19002e+04     9.03319e+02     1.44681e+02
    3.41545e-01     2.16248e+04     8.78414e+02     1.41198e+02
    3.45625e-01     2.16715e+04     8.64992e+02     1.38174e+02
    3.49715e-01     2.14568e+04     8.51404e+02     1.36258e+02
    3.53817e-01     2.14465e+04     8.39568e+02     1.32231e+02
