# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 12.00<lgM<12.50, z=0.500
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     1.05177e+04     1.37656e+03     9.76371e+03     1.41914e+03
    1.04717e-02     1.30875e+04     1.06696e+03     1.23465e+04     9.35809e+02
    1.42665e-02     1.56345e+04     4.12828e+02     1.46414e+04     3.71544e+02
    1.81228e-02     1.61944e+04     8.32628e+02     1.53572e+04     8.08446e+02
    2.24845e-02     1.48922e+04     2.70180e+02     1.40997e+04     2.70894e+02
    2.64508e-02     1.35163e+04     1.20005e+02     1.26993e+04     1.94053e+02
    3.04474e-02     1.28111e+04     3.02034e+02     1.18924e+04     2.99761e+02
    3.47320e-02     1.11980e+04     3.07041e+02     1.03802e+04     2.87249e+02
    3.88308e-02     1.00738e+04     1.65207e+02     9.28240e+03     1.57871e+02
    4.28140e-02     9.36864e+03     1.09706e+02     8.55942e+03     1.02319e+02
    4.68856e-02     8.65175e+03     1.27036e+02     7.85898e+03     1.33198e+02
    5.09858e-02     8.10123e+03     1.01269e+02     7.34233e+03     9.59776e+01
    5.51458e-02     7.64034e+03     1.11310e+02     6.89362e+03     9.44022e+01
    5.92243e-02     7.29126e+03     8.99793e+01     6.58644e+03     8.30461e+01
    6.32864e-02     7.00964e+03     7.98165e+01     6.27535e+03     4.65260e+01
    6.73674e-02     6.57798e+03     5.52252e+01     5.90423e+03     6.29793e+01
    7.14960e-02     6.27382e+03     6.26129e+01     5.56927e+03     5.32348e+01
    7.55894e-02     5.96731e+03     2.29774e+01     5.27766e+03     2.41697e+01
    7.96660e-02     5.51985e+03     4.87750e+01     4.85840e+03     5.26624e+01
    8.38183e-02     5.19939e+03     4.09891e+01     4.54173e+03     3.90540e+01
    8.78941e-02     4.81280e+03     3.56593e+01     4.14429e+03     3.02493e+01
    9.19238e-02     4.46517e+03     2.69728e+01     3.82765e+03     1.79986e+01
    9.60446e-02     4.18541e+03     4.33670e+01     3.54447e+03     2.66780e+01
    1.00128e-01     3.90285e+03     2.25771e+01     3.28369e+03     1.64381e+01
    1.04209e-01     3.69894e+03     2.16802e+01     3.08152e+03     2.56763e+01
    1.08333e-01     3.51417e+03     2.03422e+01     2.91356e+03     2.07804e+01
    1.12448e-01     3.44613e+03     2.06388e+01     2.83089e+03     2.16802e+01
    1.16521e-01     3.34911e+03     1.09089e+01     2.74358e+03     1.37476e+01
    1.20596e-01     3.19247e+03     1.91423e+01     2.60369e+03     2.30241e+01
    1.24665e-01     3.09507e+03     7.88534e+00     2.51304e+03     1.05253e+01
    1.28771e-01     3.04124e+03     1.88002e+01     2.45740e+03     1.45851e+01
    1.32874e-01     2.94923e+03     2.01290e+01     2.37429e+03     1.34584e+01
    1.36975e-01     2.82954e+03     1.54473e+01     2.25874e+03     1.43971e+01
    1.41075e-01     2.70795e+03     2.05904e+01     2.14813e+03     1.71512e+01
    1.45172e-01     2.57317e+03     1.05132e+01     2.02171e+03     7.96449e+00
    1.49268e-01     2.45278e+03     1.24460e+01     1.90534e+03     1.21842e+01
    1.53330e-01     2.37675e+03     6.06116e+00     1.82924e+03     3.38122e+00
    1.57416e-01     2.26911e+03     1.21920e+01     1.72720e+03     1.18745e+01
    1.61514e-01     2.18198e+03     4.28604e+00     1.64455e+03     7.13785e+00
    1.65592e-01     2.11158e+03     7.67742e+00     1.58430e+03     6.28320e+00
    1.69693e-01     2.04820e+03     7.87444e+00     1.51638e+03     6.64126e+00
    1.73803e-01     1.98530e+03     6.17463e+00     1.46200e+03     4.73274e+00
    1.77905e-01     1.94398e+03     5.62595e+00     1.42437e+03     3.93612e+00
    1.82001e-01     1.89412e+03     5.21645e+00     1.38055e+03     5.27153e+00
    1.86092e-01     1.86538e+03     5.35565e+00     1.34682e+03     5.32445e+00
    1.90161e-01     1.81668e+03     3.33299e+00     1.30667e+03     6.02586e+00
    1.94237e-01     1.77905e+03     6.89371e+00     1.26652e+03     6.88237e+00
    1.98334e-01     1.72537e+03     4.41652e+00     1.22070e+03     2.13986e+00
    2.02427e-01     1.68345e+03     8.86077e+00     1.18079e+03     6.61873e+00
    2.06523e-01     1.64248e+03     9.68087e+00     1.14398e+03     6.49961e+00
    2.10626e-01     1.60383e+03     5.49246e+00     1.10442e+03     3.28337e+00
    2.14724e-01     1.55698e+03     3.54202e+00     1.06128e+03     3.06339e+00
    2.18827e-01     1.52133e+03     3.66167e+00     1.02659e+03     3.70344e+00
    2.22903e-01     1.48713e+03     4.42503e+00     9.93535e+02     2.33594e+00
    2.26990e-01     1.45690e+03     4.26937e+00     9.68597e+02     3.23052e+00
    2.31084e-01     1.41716e+03     3.99548e+00     9.34186e+02     3.65674e+00
    2.35153e-01     1.38618e+03     4.37078e+00     9.04154e+02     2.52821e+00
    2.39244e-01     1.36515e+03     3.25420e+00     8.83917e+02     3.37652e+00
    2.43338e-01     1.34209e+03     2.95729e+00     8.63148e+02     3.04435e+00
    2.47445e-01     1.31379e+03     2.20321e+00     8.37973e+02     1.61342e+00
    2.51539e-01     1.29655e+03     3.20522e+00     8.21000e+02     4.02646e+00
    2.55609e-01     1.27086e+03     1.58210e+00     7.98982e+02     3.48947e+00
    2.59718e-01     1.24989e+03     3.69061e+00     7.80090e+02     1.22213e+00
    2.63814e-01     1.22773e+03     3.28650e+00     7.58935e+02     2.39622e+00
    2.67904e-01     1.20445e+03     3.37810e+00     7.36966e+02     2.63649e+00
    2.71993e-01     1.18792e+03     1.23012e+00     7.22121e+02     1.29453e+00
    2.76068e-01     1.16334e+03     1.74837e+00     7.00978e+02     1.23881e+00
    2.80171e-01     1.14561e+03     2.56301e+00     6.85529e+02     1.56171e+00
    2.84268e-01     1.12746e+03     3.38053e+00     6.65624e+02     1.83754e+00
    2.88346e-01     1.11185e+03     4.19801e+00     6.53454e+02     2.19644e+00
    2.92426e-01     1.09029e+03     2.18845e+00     6.33691e+02     1.66673e+00
    2.96514e-01     1.07816e+03     1.40125e+00     6.22580e+02     7.03411e-01
    3.00627e-01     1.06027e+03     3.18708e+00     6.06369e+02     7.38205e-01
    3.04729e-01     1.04886e+03     1.55193e+00     5.94392e+02     1.06723e+00
    3.08821e-01     1.03715e+03     1.99006e+00     5.83830e+02     1.95065e+00
    3.12919e-01     1.02474e+03     1.33418e+00     5.70614e+02     1.61680e+00
    3.16999e-01     1.00624e+03     2.11805e+00     5.57553e+02     8.65096e-01
    3.21078e-01     9.94245e+02     2.33291e+00     5.45740e+02     1.09937e+00
    3.25167e-01     9.80054e+02     2.71851e+00     5.34162e+02     1.31650e+00
    3.29247e-01     9.67977e+02     1.36146e+00     5.24002e+02     9.03006e-01
    3.33333e-01     9.55211e+02     1.13740e+00     5.11087e+02     1.19374e+00
    3.37443e-01     9.46013e+02     9.34303e-01     5.02991e+02     6.00293e-01
    3.41545e-01     9.35255e+02     2.07313e+00     4.92986e+02     1.69799e+00
    3.45625e-01     9.23863e+02     1.67808e+00     4.82627e+02     1.70062e+00
    3.49715e-01     9.10700e+02     1.99129e+00     4.73324e+02     9.07167e-01
    3.53817e-01     9.02498e+02     2.42821e+00     4.63347e+02     9.63643e-01
    3.57906e-01     8.95101e+02     1.71982e+00     4.56952e+02     9.83801e-01
    3.61975e-01     8.82930e+02     1.82023e+00     4.46930e+02     9.79075e-01
    3.66071e-01     8.76607e+02     1.29896e+00     4.40261e+02     1.03818e+00
    3.70189e-01     8.65623e+02     1.41951e+00     4.31216e+02     7.72413e-01
    3.74277e-01     8.58237e+02     5.78488e-01     4.22540e+02     1.00659e+00
    3.78356e-01     8.46722e+02     1.49201e+00     4.14096e+02     6.95887e-01
    3.82448e-01     8.40056e+02     1.88317e+00     4.07372e+02     1.18455e+00
    3.86535e-01     8.31590e+02     1.37321e+00     3.99339e+02     5.90211e-01
    3.90624e-01     8.23742e+02     1.99028e+00     3.93487e+02     9.54662e-01
    3.94706e-01     8.18067e+02     9.73781e-01     3.87200e+02     9.18081e-01
    3.98794e-01     8.09203e+02     1.11229e+00     3.80118e+02     1.12337e+00
    4.02896e-01     8.01224e+02     9.48698e-01     3.73306e+02     4.97810e-01
    4.06986e-01     7.95419e+02     1.47713e+00     3.67466e+02     8.58115e-01
    4.11069e-01     7.86228e+02     1.92075e+00     3.61241e+02     6.50456e-01
    4.15170e-01     7.81765e+02     1.05443e+00     3.54692e+02     5.43818e-01
    4.19263e-01     7.75202e+02     6.02277e-01     3.49949e+02     1.00550e+00
    4.23353e-01     7.68232e+02     3.91136e-01     3.43057e+02     5.71521e-01
    4.27447e-01     7.63018e+02     7.09795e-01     3.38777e+02     8.86707e-01
    4.31534e-01     7.53555e+02     8.87826e-01     3.32033e+02     5.20158e-01
    4.35624e-01     7.50404e+02     1.13306e+00     3.27724e+02     1.32006e+00
    4.39718e-01     7.42864e+02     1.03135e+00     3.22295e+02     4.65140e-01
    4.43804e-01     7.39636e+02     6.42044e-01     3.18127e+02     2.10939e-01
    4.47892e-01     7.33704e+02     6.94192e-01     3.13103e+02     3.15140e-01
    4.51977e-01     7.27866e+02     1.06846e+00     3.08247e+02     7.12879e-01
    4.56067e-01     7.21525e+02     6.09810e-01     3.03498e+02     6.06495e-01
    4.60165e-01     7.18099e+02     6.40649e-01     2.99614e+02     4.61431e-01
    4.64260e-01     7.12178e+02     5.91520e-01     2.94519e+02     4.04171e-01
    4.68355e-01     7.07057e+02     9.81601e-01     2.89571e+02     7.09940e-01
    4.72450e-01     7.03633e+02     6.47933e-01     2.86540e+02     4.48449e-01
    4.76540e-01     6.96813e+02     8.25586e-01     2.81266e+02     5.50820e-01
    4.80633e-01     6.94127e+02     7.71191e-01     2.78288e+02     8.09819e-01
    4.84718e-01     6.88440e+02     1.02973e+00     2.73293e+02     5.37881e-01
    4.88794e-01     6.84044e+02     5.29890e-01     2.70061e+02     5.01672e-01
    4.92888e-01     6.79531e+02     8.27153e-01     2.66405e+02     4.73914e-01
