# Real space auto- and cross-spectra.
# z=3.000, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     6.20142e+04     1.02450e+04     2.04628e+03
    1.04717e-02     7.92384e+04     1.14131e+04     1.98058e+03
    1.42665e-02     7.53945e+04     1.24114e+04     2.39079e+03
    1.81228e-02     7.82356e+04     1.17496e+04     2.09225e+03
    2.24845e-02     7.54144e+04     1.20829e+04     2.30951e+03
    2.64508e-02     7.19095e+04     1.12840e+04     2.13135e+03
    3.04474e-02     6.96262e+04     1.08092e+04     2.02243e+03
    3.47320e-02     6.12690e+04     9.01852e+03     1.66425e+03
    3.88308e-02     6.22000e+04     9.01161e+03     1.64541e+03
    4.28140e-02     5.49209e+04     7.84648e+03     1.44782e+03
    4.68856e-02     4.95654e+04     6.97500e+03     1.33521e+03
    5.09858e-02     4.92123e+04     6.67085e+03     1.23883e+03
    5.51458e-02     4.51504e+04     6.15184e+03     1.16682e+03
    5.92243e-02     4.55025e+04     6.15380e+03     1.15063e+03
    6.32864e-02     4.19603e+04     5.66455e+03     1.07188e+03
    6.73674e-02     4.09150e+04     5.36827e+03     9.96423e+02
    7.14960e-02     3.98296e+04     5.08158e+03     9.32713e+02
    7.55894e-02     3.91633e+04     4.94535e+03     9.15893e+02
    7.96660e-02     3.80549e+04     4.71984e+03     8.63901e+02
    8.38183e-02     3.53468e+04     4.24982e+03     7.86806e+02
    8.78941e-02     3.37181e+04     3.87177e+03     7.02931e+02
    9.19238e-02     3.07710e+04     3.44662e+03     6.33262e+02
    9.60446e-02     3.01588e+04     3.25774e+03     5.96138e+02
    1.00128e-01     2.88592e+04     3.08143e+03     5.64773e+02
    1.04209e-01     2.80507e+04     2.84704e+03     5.10342e+02
    1.08333e-01     2.72593e+04     2.75034e+03     4.96107e+02
    1.12448e-01     2.61034e+04     2.61574e+03     4.74914e+02
    1.16521e-01     2.62929e+04     2.61580e+03     4.75343e+02
    1.20596e-01     2.59470e+04     2.45288e+03     4.35323e+02
    1.24665e-01     2.49856e+04     2.36568e+03     4.26136e+02
    1.28771e-01     2.53725e+04     2.36392e+03     4.23151e+02
    1.32874e-01     2.46555e+04     2.32220e+03     4.14020e+02
    1.36975e-01     2.34143e+04     2.10441e+03     3.79393e+02
    1.41075e-01     2.39677e+04     2.10513e+03     3.75233e+02
    1.45172e-01     2.28052e+04     1.91839e+03     3.35185e+02
    1.49268e-01     2.20402e+04     1.84087e+03     3.24544e+02
    1.53330e-01     2.17304e+04     1.74743e+03     3.07779e+02
    1.57416e-01     2.08497e+04     1.64563e+03     2.91991e+02
    1.61514e-01     2.08285e+04     1.56689e+03     2.73644e+02
    1.65592e-01     2.04966e+04     1.53662e+03     2.65755e+02
    1.69693e-01     2.01342e+04     1.45260e+03     2.49087e+02
    1.73803e-01     1.98791e+04     1.42030e+03     2.41866e+02
    1.77905e-01     1.96001e+04     1.38044e+03     2.38506e+02
    1.82001e-01     1.90856e+04     1.33721e+03     2.32534e+02
    1.86092e-01     1.92582e+04     1.31635e+03     2.23337e+02
    1.90161e-01     1.89407e+04     1.28107e+03     2.19125e+02
    1.94237e-01     1.84496e+04     1.22736e+03     2.11923e+02
    1.98334e-01     1.85044e+04     1.21339e+03     2.04818e+02
    2.02427e-01     1.83646e+04     1.17864e+03     1.94925e+02
    2.06523e-01     1.83577e+04     1.15897e+03     1.93279e+02
    2.10626e-01     1.78264e+04     1.09936e+03     1.85479e+02
    2.14724e-01     1.76534e+04     1.05627e+03     1.75731e+02
    2.18827e-01     1.73815e+04     1.01349e+03     1.68243e+02
    2.22903e-01     1.70048e+04     9.73405e+02     1.61821e+02
    2.26990e-01     1.71395e+04     9.64959e+02     1.58149e+02
    2.31084e-01     1.67128e+04     9.18769e+02     1.50636e+02
    2.35153e-01     1.64086e+04     8.74071e+02     1.44725e+02
    2.39244e-01     1.65807e+04     8.81928e+02     1.43928e+02
    2.43338e-01     1.63317e+04     8.63765e+02     1.40163e+02
    2.47445e-01     1.62644e+04     8.46851e+02     1.37486e+02
    2.51539e-01     1.62787e+04     8.40632e+02     1.34465e+02
    2.55609e-01     1.61089e+04     8.16717e+02     1.31068e+02
    2.59718e-01     1.59667e+04     7.92051e+02     1.27601e+02
    2.63814e-01     1.57626e+04     7.68229e+02     1.23063e+02
    2.67904e-01     1.56653e+04     7.54190e+02     1.20646e+02
    2.71993e-01     1.55817e+04     7.42196e+02     1.17518e+02
    2.76068e-01     1.53934e+04     7.21142e+02     1.13698e+02
    2.80171e-01     1.52014e+04     7.08996e+02     1.10619e+02
    2.84268e-01     1.52779e+04     6.86819e+02     1.06393e+02
    2.88346e-01     1.50723e+04     6.71178e+02     1.03382e+02
    2.92426e-01     1.48821e+04     6.48555e+02     1.00478e+02
    2.96514e-01     1.48626e+04     6.34369e+02     9.84007e+01
    3.00627e-01     1.47431e+04     6.25951e+02     9.58825e+01
    3.04729e-01     1.46795e+04     6.13748e+02     9.36616e+01
    3.08821e-01     1.44451e+04     5.92116e+02     9.13450e+01
    3.12919e-01     1.44016e+04     5.88534e+02     8.92471e+01
    3.16999e-01     1.43237e+04     5.74126e+02     8.74736e+01
    3.21078e-01     1.44112e+04     5.72386e+02     8.62890e+01
    3.25167e-01     1.43828e+04     5.63625e+02     8.40292e+01
    3.29247e-01     1.41540e+04     5.47182e+02     8.19074e+01
    3.33333e-01     1.42374e+04     5.39120e+02     8.01218e+01
    3.37443e-01     1.40240e+04     5.24068e+02     7.79632e+01
    3.41545e-01     1.40425e+04     5.25723e+02     7.71833e+01
    3.45625e-01     1.38901e+04     5.06211e+02     7.52557e+01
    3.49715e-01     1.38188e+04     5.01404e+02     7.34098e+01
    3.53817e-01     1.38390e+04     4.90425e+02     7.14709e+01
    3.57906e-01     1.36041e+04     4.78661e+02     7.00452e+01
    3.61975e-01     1.36133e+04     4.71461e+02     6.86190e+01
    3.66071e-01     1.35260e+04     4.60996e+02     6.67238e+01
    3.70189e-01     1.35306e+04     4.58092e+02     6.57840e+01
    3.74277e-01     1.33543e+04     4.49984e+02     6.41876e+01
    3.78356e-01     1.33468e+04     4.41683e+02     6.30762e+01
    3.82448e-01     1.33394e+04     4.38138e+02     6.22688e+01
    3.86535e-01     1.31613e+04     4.25206e+02     6.03900e+01
    3.90624e-01     1.32298e+04     4.22008e+02     5.97813e+01
    3.94706e-01     1.31319e+04     4.13074e+02     5.82835e+01
    3.98794e-01     1.30650e+04     4.08812e+02     5.72860e+01
    4.02896e-01     1.29953e+04     4.03772e+02     5.64581e+01
    4.06986e-01     1.28970e+04     3.97332e+02     5.50611e+01
    4.11069e-01     1.28489e+04     3.89439e+02     5.39882e+01
    4.15170e-01     1.27618e+04     3.82058e+02     5.30193e+01
    4.19263e-01     1.28933e+04     3.84958e+02     5.24217e+01
    4.23353e-01     1.27213e+04     3.75093e+02     5.14377e+01
    4.27447e-01     1.26186e+04     3.70973e+02     5.04811e+01
    4.31534e-01     1.26618e+04     3.64353e+02     4.95024e+01
    4.35624e-01     1.26312e+04     3.60180e+02     4.86821e+01
    4.39718e-01     1.25470e+04     3.53826e+02     4.78207e+01
    4.43804e-01     1.25860e+04     3.51591e+02     4.68553e+01
    4.47892e-01     1.24772e+04     3.42900e+02     4.59889e+01
    4.51977e-01     1.24709e+04     3.39934e+02     4.53538e+01
    4.56067e-01     1.23446e+04     3.34660e+02     4.46414e+01
    4.60165e-01     1.23896e+04     3.31259e+02     4.38924e+01
    4.64260e-01     1.23859e+04     3.30490e+02     4.32477e+01
    4.68355e-01     1.22190e+04     3.21209e+02     4.26732e+01
    4.72450e-01     1.22730e+04     3.20128e+02     4.19097e+01
    4.76540e-01     1.22176e+04     3.15968e+02     4.11235e+01
    4.80633e-01     1.22339e+04     3.15402e+02     4.05721e+01
    4.84718e-01     1.20944e+04     3.05035e+02     3.96843e+01
    4.88794e-01     1.21055e+04     3.06122e+02     3.94149e+01
    4.92888e-01     1.21192e+04     2.98944e+02     3.84125e+01
    4.96984e-01     1.20311e+04     2.94569e+02     3.79128e+01
    5.01073e-01     1.19993e+04     2.94593e+02     3.74440e+01
    5.05169e-01     1.19267e+04     2.88600e+02     3.69079e+01
    5.09268e-01     1.18802e+04     2.88254e+02     3.64164e+01
    5.13369e-01     1.19357e+04     2.84410e+02     3.55174e+01
    5.17441e-01     1.18322e+04     2.79567e+02     3.53215e+01
    5.21516e-01     1.18188e+04     2.77623e+02     3.47416e+01
    5.25611e-01     1.17398e+04     2.71068e+02     3.39538e+01
    5.29706e-01     1.17603e+04     2.72258e+02     3.38307e+01
    5.33801e-01     1.16435e+04     2.63919e+02     3.30914e+01
    5.37888e-01     1.16842e+04     2.63998e+02     3.26976e+01
    5.41985e-01     1.16195e+04     2.62326e+02     3.23047e+01
    5.46091e-01     1.15920e+04     2.57563e+02     3.17717e+01
    5.50174e-01     1.15823e+04     2.56164e+02     3.13119e+01
    5.54252e-01     1.15212e+04     2.52624e+02     3.09520e+01
    5.58346e-01     1.15713e+04     2.51551e+02     3.03745e+01
    5.62439e-01     1.15147e+04     2.48328e+02     3.01684e+01
    5.66527e-01     1.14942e+04     2.45852e+02     2.96982e+01
    5.70616e-01     1.14635e+04     2.42333e+02     2.91548e+01
    5.74707e-01     1.14375e+04     2.39527e+02     2.89072e+01
    5.78798e-01     1.14176e+04     2.37756e+02     2.84927e+01
    5.82883e-01     1.14298e+04     2.36636e+02     2.81102e+01
    5.86977e-01     1.13088e+04     2.31588e+02     2.76398e+01
    5.91070e-01     1.12722e+04     2.31964e+02     2.74762e+01
    5.95166e-01     1.13403e+04     2.31117e+02     2.71258e+01
    5.99260e-01     1.12442e+04     2.26434e+02     2.66783e+01
    6.03349e-01     1.12675e+04     2.26406e+02     2.64030e+01
    6.07445e-01     1.12299e+04     2.23912e+02     2.59765e+01
    6.11543e-01     1.12276e+04     2.21867e+02     2.57572e+01
    6.15623e-01     1.11468e+04     2.18571e+02     2.53768e+01
    6.19704e-01     1.11514e+04     2.16850e+02     2.51217e+01
    6.23792e-01     1.11356e+04     2.16134e+02     2.48385e+01
    6.27891e-01     1.11211e+04     2.11819e+02     2.43997e+01
    6.31991e-01     1.10694e+04     2.12221e+02     2.41787e+01
    6.36073e-01     1.10618e+04     2.09772e+02     2.38856e+01
    6.40158e-01     1.10106e+04     2.07277e+02     2.36175e+01
    6.44244e-01     1.10089e+04     2.05916e+02     2.33519e+01
    6.48338e-01     1.09957e+04     2.04617e+02     2.29446e+01
    6.52432e-01     1.09636e+04     2.02042e+02     2.27325e+01
    6.56514e-01     1.09516e+04     2.00478e+02     2.25308e+01
    6.60609e-01     1.09475e+04     1.99433e+02     2.23074e+01
    6.64712e-01     1.09139e+04     1.98748e+02     2.21453e+01
    6.68801e-01     1.08760e+04     1.95166e+02     2.17562e+01
    6.72890e-01     1.08658e+04     1.93479e+02     2.15313e+01
    6.76984e-01     1.08319e+04     1.93074e+02     2.13274e+01
    6.81074e-01     1.08221e+04     1.91363e+02     2.10304e+01
    6.85160e-01     1.07814e+04     1.89631e+02     2.08186e+01
    6.89246e-01     1.07090e+04     1.87416e+02     2.05936e+01
