# Real space h-h auto- and h-m cross-spectra.
# z=2.000, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     2.82859e+04     8.50831e+03
    1.04717e-02     4.09195e+04     1.18619e+04
    1.42665e-02     5.68308e+04     1.68767e+04
    1.81228e-02     4.93068e+04     1.48005e+04
    2.24845e-02     4.32514e+04     1.27822e+04
    2.64508e-02     4.28931e+04     1.24341e+04
    3.04474e-02     3.59675e+04     1.03813e+04
    3.47320e-02     3.23970e+04     9.20582e+03
    3.88308e-02     2.99273e+04     8.72132e+03
    4.28140e-02     2.87971e+04     8.17458e+03
    4.68856e-02     2.76783e+04     7.88085e+03
    5.09858e-02     2.55659e+04     7.09685e+03
    5.51458e-02     2.40728e+04     6.70514e+03
    5.92243e-02     2.29728e+04     6.28986e+03
    6.32864e-02     2.18275e+04     5.97081e+03
    6.73674e-02     2.06997e+04     5.57976e+03
    7.14960e-02     2.05536e+04     5.52034e+03
    7.55894e-02     1.87016e+04     5.00704e+03
    7.96660e-02     1.80223e+04     4.69997e+03
    8.38183e-02     1.67616e+04     4.41426e+03
    8.78941e-02     1.56788e+04     4.05277e+03
    9.19238e-02     1.43545e+04     3.59979e+03
    9.60446e-02     1.37680e+04     3.39995e+03
    1.00128e-01     1.33950e+04     3.27548e+03
    1.04209e-01     1.23230e+04     3.00813e+03
    1.08333e-01     1.19482e+04     2.82308e+03
    1.12448e-01     1.17515e+04     2.78842e+03
    1.16521e-01     1.14700e+04     2.70146e+03
    1.20596e-01     1.11723e+04     2.61429e+03
    1.24665e-01     1.05623e+04     2.44781e+03
    1.28771e-01     1.08453e+04     2.49521e+03
    1.32874e-01     1.05310e+04     2.38752e+03
    1.36975e-01     1.01426e+04     2.27992e+03
    1.41075e-01     9.84296e+03     2.17680e+03
    1.45172e-01     9.38263e+03     2.04294e+03
    1.49268e-01     9.01060e+03     1.91398e+03
    1.53330e-01     8.76992e+03     1.84623e+03
    1.57416e-01     8.32042e+03     1.72165e+03
    1.61514e-01     8.21116e+03     1.67526e+03
    1.65592e-01     8.00380e+03     1.59725e+03
    1.69693e-01     7.70706e+03     1.51638e+03
    1.73803e-01     7.48705e+03     1.45692e+03
    1.77905e-01     7.37995e+03     1.43351e+03
    1.82001e-01     7.32854e+03     1.41031e+03
    1.86092e-01     7.29376e+03     1.38348e+03
    1.90161e-01     7.08751e+03     1.34585e+03
    1.94237e-01     6.87745e+03     1.27991e+03
    1.98334e-01     6.88832e+03     1.26262e+03
    2.02427e-01     6.74911e+03     1.22591e+03
    2.06523e-01     6.62890e+03     1.18878e+03
    2.10626e-01     6.44313e+03     1.13607e+03
    2.14724e-01     6.30720e+03     1.09173e+03
    2.18827e-01     6.18273e+03     1.05949e+03
    2.22903e-01     6.07914e+03     1.02177e+03
    2.26990e-01     5.94342e+03     9.92462e+02
    2.31084e-01     5.81369e+03     9.62934e+02
    2.35153e-01     5.75343e+03     9.29934e+02
    2.39244e-01     5.67272e+03     9.17005e+02
    2.43338e-01     5.69853e+03     9.01999e+02
    2.47445e-01     5.52261e+03     8.72278e+02
    2.51539e-01     5.43874e+03     8.46169e+02
    2.55609e-01     5.47238e+03     8.39458e+02
    2.59718e-01     5.39703e+03     8.22632e+02
    2.63814e-01     5.35779e+03     8.07958e+02
    2.67904e-01     5.29141e+03     7.92371e+02
    2.71993e-01     5.19513e+03     7.66063e+02
    2.76068e-01     5.14619e+03     7.49809e+02
    2.80171e-01     5.04212e+03     7.26491e+02
    2.84268e-01     5.03550e+03     7.12878e+02
    2.88346e-01     4.91073e+03     6.86113e+02
    2.92426e-01     4.85448e+03     6.75823e+02
    2.96514e-01     4.80856e+03     6.57848e+02
    3.00627e-01     4.76434e+03     6.43963e+02
    3.04729e-01     4.78515e+03     6.45174e+02
    3.08821e-01     4.69014e+03     6.21687e+02
    3.12919e-01     4.65221e+03     6.15721e+02
    3.16999e-01     4.60221e+03     5.95414e+02
    3.21078e-01     4.57935e+03     5.86875e+02
    3.25167e-01     4.52770e+03     5.78797e+02
    3.29247e-01     4.47494e+03     5.64489e+02
    3.33333e-01     4.41660e+03     5.52812e+02
    3.37443e-01     4.38740e+03     5.41579e+02
    3.41545e-01     4.39914e+03     5.42511e+02
    3.45625e-01     4.35338e+03     5.21523e+02
    3.49715e-01     4.36743e+03     5.23690e+02
    3.53817e-01     4.27714e+03     5.07437e+02
    3.57906e-01     4.24446e+03     4.98830e+02
    3.61975e-01     4.23328e+03     4.93564e+02
    3.66071e-01     4.17881e+03     4.83305e+02
    3.70189e-01     4.14120e+03     4.70168e+02
    3.74277e-01     4.14743e+03     4.66883e+02
    3.78356e-01     4.09392e+03     4.56422e+02
    3.82448e-01     4.09200e+03     4.53556e+02
    3.86535e-01     4.04062e+03     4.43901e+02
    3.90624e-01     4.01135e+03     4.34587e+02
    3.94706e-01     4.00650e+03     4.31544e+02
    3.98794e-01     3.96416e+03     4.24187e+02
    4.02896e-01     3.93270e+03     4.14654e+02
    4.06986e-01     3.91744e+03     4.11374e+02
    4.11069e-01     3.89621e+03     4.01825e+02
    4.15170e-01     3.87432e+03     3.98600e+02
    4.19263e-01     3.85790e+03     3.92322e+02
    4.23353e-01     3.84132e+03     3.87562e+02
    4.27447e-01     3.80504e+03     3.80274e+02
    4.31534e-01     3.80166e+03     3.77170e+02
    4.35624e-01     3.75338e+03     3.70299e+02
    4.39718e-01     3.76391e+03     3.69142e+02
    4.43804e-01     3.73233e+03     3.61186e+02
    4.47892e-01     3.73904e+03     3.58825e+02
    4.51977e-01     3.69732e+03     3.51713e+02
    4.56067e-01     3.68793e+03     3.49122e+02
    4.60165e-01     3.65437e+03     3.42278e+02
    4.64260e-01     3.65266e+03     3.38029e+02
    4.68355e-01     3.63148e+03     3.36092e+02
    4.72450e-01     3.61146e+03     3.30413e+02
    4.76540e-01     3.60228e+03     3.26826e+02
    4.80633e-01     3.58546e+03     3.21864e+02
    4.84718e-01     3.56821e+03     3.18828e+02
    4.88794e-01     3.54731e+03     3.14170e+02
    4.92888e-01     3.53913e+03     3.11253e+02
    4.96984e-01     3.53053e+03     3.08777e+02
    5.01073e-01     3.50517e+03     3.03843e+02
    5.05169e-01     3.48287e+03     3.00089e+02
    5.09268e-01     3.47304e+03     2.96856e+02
