# Real space auto- and cross-spectra.
# z=0.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     1.03754e+04     1.20298e+04     1.54075e+04
    1.04717e-02     1.44987e+04     1.68641e+04     2.06807e+04
    1.42665e-02     1.99732e+04     2.38631e+04     2.97166e+04
    1.81228e-02     1.81848e+04     2.14481e+04     2.65133e+04
    2.24845e-02     1.55326e+04     1.83205e+04     2.27926e+04
    2.64508e-02     1.45938e+04     1.73327e+04     2.17751e+04
    3.04474e-02     1.22255e+04     1.44466e+04     1.83499e+04
    3.47320e-02     1.08635e+04     1.26501e+04     1.59832e+04
    3.88308e-02     1.08636e+04     1.25096e+04     1.56468e+04
    4.28140e-02     9.56234e+03     1.11978e+04     1.43691e+04
    4.68856e-02     9.45344e+03     1.09103e+04     1.38040e+04
    5.09858e-02     8.39505e+03     9.62342e+03     1.22906e+04
    5.51458e-02     8.21175e+03     9.34405e+03     1.18283e+04
    5.92243e-02     7.42970e+03     8.45622e+03     1.08698e+04
    6.32864e-02     7.20603e+03     8.10946e+03     1.03630e+04
    6.73674e-02     6.62375e+03     7.46069e+03     9.59400e+03
    7.14960e-02     6.51343e+03     7.33468e+03     9.43569e+03
    7.55894e-02     6.16630e+03     6.84978e+03     8.73186e+03
    7.96660e-02     5.57619e+03     6.18008e+03     8.03822e+03
    8.38183e-02     5.39995e+03     5.92676e+03     7.65275e+03
    8.78941e-02     4.98235e+03     5.42294e+03     7.04096e+03
    9.19238e-02     4.48181e+03     4.80230e+03     6.29852e+03
    9.60446e-02     4.32557e+03     4.58266e+03     6.00377e+03
    1.00128e-01     4.02990e+03     4.29215e+03     5.69727e+03
    1.04209e-01     3.82031e+03     3.99761e+03     5.28489e+03
    1.08333e-01     3.54915e+03     3.71456e+03     4.97667e+03
    1.12448e-01     3.57293e+03     3.70856e+03     4.92808e+03
    1.16521e-01     3.43537e+03     3.54302e+03     4.74554e+03
    1.20596e-01     3.34214e+03     3.41628e+03     4.57373e+03
    1.24665e-01     3.15609e+03     3.19346e+03     4.29068e+03
    1.28771e-01     3.18001e+03     3.23851e+03     4.35379e+03
    1.32874e-01     2.98428e+03     3.02426e+03     4.11854e+03
    1.36975e-01     2.83531e+03     2.85749e+03     3.94518e+03
    1.41075e-01     2.81591e+03     2.80419e+03     3.83972e+03
    1.45172e-01     2.61973e+03     2.58552e+03     3.58965e+03
    1.49268e-01     2.49703e+03     2.42965e+03     3.37948e+03
    1.53330e-01     2.41335e+03     2.35056e+03     3.31100e+03
    1.57416e-01     2.31629e+03     2.22638e+03     3.14677e+03
    1.61514e-01     2.23429e+03     2.15365e+03     3.07188e+03
    1.65592e-01     2.16418e+03     2.05158e+03     2.93830e+03
    1.69693e-01     2.06966e+03     1.93482e+03     2.79932e+03
    1.73803e-01     2.01740e+03     1.87192e+03     2.71946e+03
    1.77905e-01     1.97303e+03     1.82421e+03     2.64739e+03
    1.82001e-01     1.94628e+03     1.77560e+03     2.58394e+03
    1.86092e-01     1.88064e+03     1.71667e+03     2.51411e+03
    1.90161e-01     1.86070e+03     1.68189e+03     2.47724e+03
    1.94237e-01     1.78780e+03     1.60477e+03     2.37275e+03
    1.98334e-01     1.73276e+03     1.54880e+03     2.31818e+03
    2.02427e-01     1.70262e+03     1.51378e+03     2.27505e+03
    2.06523e-01     1.65826e+03     1.45982e+03     2.19287e+03
    2.10626e-01     1.64340e+03     1.42155e+03     2.12742e+03
    2.14724e-01     1.57811e+03     1.36816e+03     2.09506e+03
    2.18827e-01     1.52303e+03     1.30266e+03     2.01632e+03
    2.22903e-01     1.50062e+03     1.26763e+03     1.96138e+03
    2.26990e-01     1.47687e+03     1.23772e+03     1.93114e+03
    2.31084e-01     1.44151e+03     1.20939e+03     1.89465e+03
    2.35153e-01     1.41690e+03     1.16969e+03     1.83680e+03
    2.39244e-01     1.38453e+03     1.13920e+03     1.79519e+03
