# Real space auto- and cross-spectra.
# z=3.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    3.90624e-01     2.55507e+03     2.69913e+02     5.98328e+01
    3.94706e-01     2.51425e+03     2.63358e+02     5.83856e+01
    3.98794e-01     2.49686e+03     2.59014e+02     5.75722e+01
    4.02896e-01     2.48336e+03     2.54999e+02     5.61132e+01
    4.06986e-01     2.46141e+03     2.50913e+02     5.51386e+01
    4.11069e-01     2.43472e+03     2.44957e+02     5.38230e+01
    4.15170e-01     2.41010e+03     2.40840e+02     5.30355e+01
    4.19263e-01     2.38948e+03     2.37040e+02     5.20573e+01
    4.23353e-01     2.39825e+03     2.35747e+02     5.14339e+01
    4.27447e-01     2.38477e+03     2.32501e+02     5.05436e+01
    4.31534e-01     2.34271e+03     2.25956e+02     4.91366e+01
    4.35624e-01     2.33834e+03     2.24422e+02     4.88403e+01
    4.39718e-01     2.33458e+03     2.21141e+02     4.77958e+01
    4.43804e-01     2.28283e+03     2.14322e+02     4.65252e+01
    4.47892e-01     2.29355e+03     2.14740e+02     4.62193e+01
    4.51977e-01     2.28526e+03     2.12063e+02     4.54599e+01
    4.56067e-01     2.25833e+03     2.07744e+02     4.46790e+01
    4.60165e-01     2.26336e+03     2.06356e+02     4.40267e+01
    4.64260e-01     2.23205e+03     2.00883e+02     4.31122e+01
    4.68355e-01     2.22425e+03     1.99083e+02     4.25463e+01
    4.72450e-01     2.20864e+03     1.96419e+02     4.18307e+01
    4.76540e-01     2.19683e+03     1.94112e+02     4.11594e+01
    4.80633e-01     2.17882e+03     1.90075e+02     4.03326e+01
    4.84718e-01     2.17908e+03     1.89213e+02     3.99418e+01
    4.88794e-01     2.16007e+03     1.86147e+02     3.92846e+01
    4.92888e-01     2.14359e+03     1.83896e+02     3.86601e+01
    4.96984e-01     2.13004e+03     1.79329e+02     3.78048e+01
    5.01073e-01     2.12491e+03     1.78585e+02     3.74816e+01
    5.05169e-01     2.10399e+03     1.75812e+02     3.67480e+01
    5.09268e-01     2.09761e+03     1.73413e+02     3.62944e+01
    5.13369e-01     2.08929e+03     1.72091e+02     3.56448e+01
    5.17441e-01     2.08596e+03     1.70529e+02     3.53111e+01
    5.21516e-01     2.07513e+03     1.68801e+02     3.49177e+01
    5.25611e-01     2.06416e+03     1.65274e+02     3.40677e+01
    5.29706e-01     2.05889e+03     1.63639e+02     3.36832e+01
    5.33801e-01     2.03845e+03     1.61039e+02     3.32070e+01
    5.37888e-01     2.02710e+03     1.59840e+02     3.28839e+01
    5.41985e-01     2.01709e+03     1.58061e+02     3.22639e+01
    5.46091e-01     2.00528e+03     1.55441e+02     3.18300e+01
    5.50174e-01     2.01498e+03     1.54977e+02     3.14989e+01
    5.54252e-01     1.99154e+03     1.52033e+02     3.09227e+01
    5.58346e-01     1.98133e+03     1.50424e+02     3.06549e+01
    5.62439e-01     1.98232e+03     1.49207e+02     3.01889e+01
    5.66527e-01     1.96548e+03     1.47006e+02     2.97579e+01
    5.70616e-01     1.95517e+03     1.45682e+02     2.94138e+01
    5.74707e-01     1.95249e+03     1.44539e+02     2.91265e+01
    5.78798e-01     1.94561e+03     1.42335e+02     2.86099e+01
    5.82883e-01     1.93503e+03     1.40457e+02     2.81457e+01
    5.86977e-01     1.92432e+03     1.39221e+02     2.78534e+01
    5.91070e-01     1.91826e+03     1.37831e+02     2.75122e+01
    5.95166e-01     1.92233e+03     1.37222e+02     2.72210e+01
    5.99260e-01     1.89804e+03     1.34481e+02     2.67493e+01
    6.03349e-01     1.90237e+03     1.33511e+02     2.64172e+01
    6.07445e-01     1.89246e+03     1.31277e+02     2.59795e+01
    6.11543e-01     1.87786e+03     1.30347e+02     2.56891e+01
    6.15623e-01     1.87561e+03     1.29121e+02     2.54354e+01
    6.19704e-01     1.87200e+03     1.28286e+02     2.51459e+01
    6.23792e-01     1.85854e+03     1.26271e+02     2.47990e+01
    6.27891e-01     1.86025e+03     1.25636e+02     2.45181e+01
    6.31991e-01     1.84487e+03     1.23934e+02     2.41643e+01
    6.36073e-01     1.83633e+03     1.22385e+02     2.39162e+01
    6.40158e-01     1.83639e+03     1.22080e+02     2.36595e+01
    6.44244e-01     1.82406e+03     1.19779e+02     2.32595e+01
    6.48338e-01     1.81441e+03     1.18649e+02     2.29986e+01
    6.52432e-01     1.80943e+03     1.17851e+02     2.28718e+01
    6.56514e-01     1.81479e+03     1.16604e+02     2.25079e+01
    6.60609e-01     1.80421e+03     1.15603e+02     2.22675e+01
    6.64712e-01     1.78550e+03     1.13762e+02     2.19226e+01
    6.68801e-01     1.78807e+03     1.13756e+02     2.17744e+01
    6.72890e-01     1.78709e+03     1.13066e+02     2.15936e+01
    6.76984e-01     1.77674e+03     1.11292e+02     2.11829e+01
    6.81074e-01     1.77442e+03     1.10790e+02     2.11172e+01
    6.85160e-01     1.76774e+03     1.09701e+02     2.08906e+01
    6.89246e-01     1.75222e+03     1.08018e+02     2.06164e+01
    6.93336e-01     1.74697e+03     1.07110e+02     2.03243e+01
    6.97434e-01     1.75443e+03     1.07030e+02     2.01828e+01
    7.01528e-01     1.73912e+03     1.05552e+02     1.99237e+01
    7.05618e-01     1.73814e+03     1.04756e+02     1.96792e+01
    7.09708e-01     1.73295e+03     1.03649e+02     1.94362e+01
    7.13796e-01     1.72695e+03     1.02719e+02     1.92412e+01
    7.17892e-01     1.72485e+03     1.01907e+02     1.90696e+01
    7.21982e-01     1.71686e+03     1.01099e+02     1.88951e+01
    7.26059e-01     1.70750e+03     1.00136e+02     1.86626e+01
    7.30145e-01     1.69915e+03     9.91625e+01     1.84909e+01
    7.34240e-01     1.70157e+03     9.86321e+01     1.83187e+01
    7.38340e-01     1.69687e+03     9.79324e+01     1.81166e+01
    7.42427e-01     1.68489e+03     9.63606e+01     1.78965e+01
    7.46511e-01     1.68772e+03     9.65255e+01     1.77708e+01
    7.50614e-01     1.67360e+03     9.45106e+01     1.74736e+01
    7.54706e-01     1.67819e+03     9.43163e+01     1.73397e+01
