# k, phh, phm/ 
5.4199e-01 1.1184e+03 7.0301e+02
5.4609e-01 1.1044e+03 6.9407e+02
5.5017e-01 1.0952e+03 6.8559e+02
5.5425e-01 1.0936e+03 6.8654e+02
5.5835e-01 1.0831e+03 6.7504e+02
5.6244e-01 1.0836e+03 6.7581e+02
5.6653e-01 1.0776e+03 6.6924e+02
5.7062e-01 1.0682e+03 6.6245e+02
5.7471e-01 1.0664e+03 6.5799e+02
5.7880e-01 1.0581e+03 6.5200e+02
5.8288e-01 1.0527e+03 6.4773e+02
5.8698e-01 1.0474e+03 6.4352e+02
5.9107e-01 1.0385e+03 6.3711e+02
5.9517e-01 1.0376e+03 6.3512e+02
5.9926e-01 1.0270e+03 6.2749e+02
6.0335e-01 1.0277e+03 6.2594e+02
6.0745e-01 1.0232e+03 6.2322e+02
6.1154e-01 1.0106e+03 6.1304e+02
6.1562e-01 1.0121e+03 6.1284e+02
6.1970e-01 1.0067e+03 6.0789e+02
6.2379e-01 1.0014e+03 6.0342e+02
6.2789e-01 9.9901e+02 6.0246e+02
6.3199e-01 9.9187e+02 5.9681e+02
6.3607e-01 9.8477e+02 5.9102e+02
6.4016e-01 9.8325e+02 5.8940e+02
6.4424e-01 9.7651e+02 5.8318e+02
6.4834e-01 9.7675e+02 5.8395e+02
6.5243e-01 9.7110e+02 5.7903e+02
6.5651e-01 9.6463e+02 5.7270e+02
6.6061e-01 9.6076e+02 5.7010e+02
6.6471e-01 9.5582e+02 5.6553e+02
6.6880e-01 9.5476e+02 5.6323e+02
6.7289e-01 9.5184e+02 5.6067e+02
6.7698e-01 9.4521e+02 5.5573e+02
6.8107e-01 9.4161e+02 5.5305e+02
6.8516e-01 9.3233e+02 5.4649e+02
6.8925e-01 9.3291e+02 5.4570e+02
6.9334e-01 9.2689e+02 5.4003e+02
6.9743e-01 9.2719e+02 5.4020e+02
7.0153e-01 9.1901e+02 5.3352e+02
7.0562e-01 9.1515e+02 5.3149e+02
7.0971e-01 9.1511e+02 5.2987e+02
7.1380e-01 9.0975e+02 5.2583e+02
7.1789e-01 9.0621e+02 5.2279e+02
7.2198e-01 9.0411e+02 5.2026e+02
7.2606e-01 9.0167e+02 5.1823e+02
7.3015e-01 8.9458e+02 5.1314e+02
7.3424e-01 8.9633e+02 5.1283e+02
7.3834e-01 8.8786e+02 5.0736e+02
7.4243e-01 8.8740e+02 5.0578e+02
7.4651e-01 8.8521e+02 5.0496e+02
7.5061e-01 8.8058e+02 4.9941e+02
7.5471e-01 8.8370e+02 5.0056e+02
7.5879e-01 8.7419e+02 4.9413e+02
7.6289e-01 8.7328e+02 4.9206e+02
7.6699e-01 8.6889e+02 4.8876e+02
7.7107e-01 8.6636e+02 4.8686e+02
7.7515e-01 8.6009e+02 4.8241e+02
7.7924e-01 8.5863e+02 4.8085e+02
7.8334e-01 8.5657e+02 4.7769e+02
7.8743e-01 8.5629e+02 4.7686e+02
7.9151e-01 8.5337e+02 4.7507e+02
7.9561e-01 8.4901e+02 4.7151e+02
7.9970e-01 8.4895e+02 4.7164e+02
8.0380e-01 8.4307e+02 4.6692e+02
8.0788e-01 8.4492e+02 4.6586e+02
8.1196e-01 8.3831e+02 4.6153e+02
8.1606e-01 8.3563e+02 4.5922e+02
8.2015e-01 8.3306e+02 4.5711e+02
8.2424e-01 8.3114e+02 4.5518e+02
8.2833e-01 8.2628e+02 4.5248e+02
8.3243e-01 8.2527e+02 4.4953e+02
8.3652e-01 8.2309e+02 4.4667e+02
8.4061e-01 8.2178e+02 4.4547e+02
8.4470e-01 8.1864e+02 4.4305e+02
8.4879e-01 8.1567e+02 4.4077e+02
8.5288e-01 8.1364e+02 4.3987e+02
8.5697e-01 8.1256e+02 4.3806e+02
8.6106e-01 8.1268e+02 4.3779e+02
8.6515e-01 8.0841e+02 4.3397e+02
8.6923e-01 8.0687e+02 4.3273e+02
8.7333e-01 8.0310e+02 4.2961e+02
8.7743e-01 8.0192e+02 4.2877e+02
8.8151e-01 8.0012e+02 4.2646e+02
8.8560e-01 7.9775e+02 4.2438e+02
8.8969e-01 7.9521e+02 4.2212e+02
8.9378e-01 7.9391e+02 4.2023e+02
8.9788e-01 7.9105e+02 4.1716e+02
9.0196e-01 7.8859e+02 4.1657e+02
9.0605e-01 7.8880e+02 4.1509e+02
9.1015e-01 7.8352e+02 4.1180e+02
9.1424e-01 7.8129e+02 4.1020e+02
9.1833e-01 7.7955e+02 4.0802e+02
9.2242e-01 7.7976e+02 4.0690e+02
9.2651e-01 7.7712e+02 4.0432e+02
9.3060e-01 7.7426e+02 4.0250e+02
9.3469e-01 7.7512e+02 4.0193e+02
9.3879e-01 7.7214e+02 4.0044e+02
9.4287e-01 7.6983e+02 3.9759e+02
9.4696e-01 7.6742e+02 3.9665e+02
9.5105e-01 7.6644e+02 3.9470e+02
9.5515e-01 7.6422e+02 3.9327e+02
9.5924e-01 7.6063e+02 3.8943e+02
9.6333e-01 7.6168e+02 3.8988e+02
9.6742e-01 7.5888e+02 3.8817e+02
9.7151e-01 7.5740e+02 3.8659e+02
9.7559e-01 7.5539e+02 3.8512e+02
9.7968e-01 7.5391e+02 3.8386e+02
9.8377e-01 7.5190e+02 3.8167e+02
9.8787e-01 7.5010e+02 3.8038e+02
9.9196e-01 7.4778e+02 3.7836e+02
9.9605e-01 7.4667e+02 3.7752e+02
1.0002e+00 7.4300e+02 3.7337e+02
1.0042e+00 7.4225e+02 3.7276e+02
1.0083e+00 7.4056e+02 3.7130e+02
1.0124e+00 7.4055e+02 3.7064e+02
1.0165e+00 7.3796e+02 3.6839e+02
1.0206e+00 7.3530e+02 3.6679e+02
1.0247e+00 7.3398e+02 3.6468e+02
1.0288e+00 7.3049e+02 3.6294e+02
1.0329e+00 7.2923e+02 3.6145e+02
1.0370e+00 7.2818e+02 3.5975e+02
1.0410e+00 7.2690e+02 3.5903e+02
1.0451e+00 7.2494e+02 3.5664e+02
1.0492e+00 7.2495e+02 3.5694e+02
1.0533e+00 7.2405e+02 3.5573e+02
1.0574e+00 7.2129e+02 3.5349e+02
1.0615e+00 7.1936e+02 3.5146e+02
1.0656e+00 7.1947e+02 3.5126e+02
1.0697e+00 7.1664e+02 3.4925e+02
1.0738e+00 7.1505e+02 3.4725e+02
1.0779e+00 7.1440e+02 3.4625e+02
1.0820e+00 7.1405e+02 3.4568e+02
1.0860e+00 7.1049e+02 3.4352e+02
1.0901e+00 7.1084e+02 3.4299e+02
1.0942e+00 7.0909e+02 3.4104e+02
1.0983e+00 7.0602e+02 3.3965e+02
1.1024e+00 7.0539e+02 3.3821e+02
1.1065e+00 7.0422e+02 3.3696e+02
1.1106e+00 7.0277e+02 3.3538e+02
1.1147e+00 6.9921e+02 3.3284e+02
1.1188e+00 7.0016e+02 3.3309e+02
1.1229e+00 6.9744e+02 3.3108e+02
1.1270e+00 6.9526e+02 3.2901e+02
1.1310e+00 6.9347e+02 3.2845e+02
1.1351e+00 6.9361e+02 3.2749e+02
1.1392e+00 6.9280e+02 3.2641e+02
1.1433e+00 6.9302e+02 3.2606e+02
1.1474e+00 6.8856e+02 3.2283e+02
1.1515e+00 6.9033e+02 3.2285e+02
1.1556e+00 6.8849e+02 3.2142e+02
1.1597e+00 6.8622e+02 3.2008e+02
1.1638e+00 6.8369e+02 3.1856e+02
1.1679e+00 6.8424e+02 3.1822e+02
1.1719e+00 6.8237e+02 3.1707e+02
1.1760e+00 6.8208e+02 3.1550e+02
1.1801e+00 6.7899e+02 3.1364e+02
1.1842e+00 6.7772e+02 3.1237e+02
1.1883e+00 6.7880e+02 3.1208e+02
1.1924e+00 6.7681e+02 3.1057e+02
1.1965e+00 6.7553e+02 3.0946e+02
1.2006e+00 6.7167e+02 3.0705e+02
1.2047e+00 6.7213e+02 3.0687e+02
1.2088e+00 6.7033e+02 3.0506e+02
1.2129e+00 6.6788e+02 3.0357e+02
1.2169e+00 6.7023e+02 3.0385e+02
1.2210e+00 6.6689e+02 3.0204e+02
1.2251e+00 6.6572e+02 3.0049e+02
1.2292e+00 6.6510e+02 3.0009e+02
1.2333e+00 6.6366e+02 2.9862e+02
