# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 12.00<lgM<12.50, z=2.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    5.79404e-03     1.53195e+04     2.35763e+03     6.51055e+03     1.03581e+03
    1.04717e-02     1.92203e+04     1.29784e+03     8.26699e+03     5.65723e+02
    1.42665e-02     2.26085e+04     6.27719e+02     9.71862e+03     3.42643e+02
    1.81228e-02     2.37877e+04     1.04269e+03     1.02321e+04     4.95564e+02
    2.24845e-02     2.20125e+04     5.88662e+02     9.43590e+03     2.29553e+02
    2.64508e-02     1.96676e+04     3.41435e+02     8.45572e+03     1.25641e+02
    3.04474e-02     1.86132e+04     5.34055e+02     7.90803e+03     2.17201e+02
    3.47320e-02     1.64815e+04     4.61217e+02     6.97690e+03     1.97450e+02
    3.88308e-02     1.47861e+04     2.81168e+02     6.24669e+03     1.21243e+02
    4.28140e-02     1.35620e+04     1.58087e+02     5.72591e+03     7.95271e+01
    4.68856e-02     1.25565e+04     1.71476e+02     5.26246e+03     7.97217e+01
    5.09858e-02     1.19163e+04     1.57174e+02     4.96556e+03     6.77212e+01
    5.51458e-02     1.12315e+04     8.70724e+01     4.65925e+03     4.94131e+01
    5.92243e-02     1.07710e+04     1.08686e+02     4.47370e+03     5.01672e+01
    6.32864e-02     1.02687e+04     6.87091e+01     4.25511e+03     2.20987e+01
    6.73674e-02     9.83971e+03     7.39299e+01     4.04419e+03     4.42274e+01
    7.14960e-02     9.27243e+03     8.58280e+01     3.79454e+03     3.75296e+01
    7.55894e-02     8.86253e+03     6.40606e+01     3.61553e+03     1.94843e+01
    7.96660e-02     8.21557e+03     1.28260e+02     3.33169e+03     4.45749e+01
    8.38183e-02     7.74892e+03     7.18098e+01     3.11768e+03     2.66226e+01
    8.78941e-02     7.07306e+03     5.54817e+01     2.82757e+03     2.36764e+01
    9.19238e-02     6.63238e+03     4.76923e+01     2.62937e+03     1.80779e+01
    9.60446e-02     6.17003e+03     3.25219e+01     2.42694e+03     1.76044e+01
    1.00128e-01     5.77712e+03     4.50422e+01     2.25861e+03     1.35165e+01
    1.04209e-01     5.48190e+03     2.84367e+01     2.11471e+03     2.00034e+01
    1.08333e-01     5.22204e+03     3.43191e+01     2.00550e+03     1.35444e+01
    1.12448e-01     5.06920e+03     3.74182e+01     1.93981e+03     1.53160e+01
    1.16521e-01     4.95154e+03     3.31108e+01     1.88550e+03     1.30127e+01
    1.20596e-01     4.74979e+03     3.15300e+01     1.80617e+03     9.15185e+00
    1.24665e-01     4.62891e+03     3.53015e+01     1.74719e+03     1.10069e+01
    1.28771e-01     4.56685e+03     2.92365e+01     1.71501e+03     9.37507e+00
    1.32874e-01     4.45570e+03     1.73751e+01     1.66491e+03     6.90069e+00
    1.36975e-01     4.25290e+03     3.69711e+01     1.58128e+03     1.18295e+01
    1.41075e-01     4.08102e+03     2.73391e+01     1.50275e+03     1.22090e+01
    1.45172e-01     3.87338e+03     1.26755e+01     1.41294e+03     8.38745e+00
    1.49268e-01     3.68019e+03     4.60703e+00     1.32799e+03     3.36348e+00
    1.53330e-01     3.54565e+03     1.04026e+01     1.27056e+03     2.41954e+00
    1.57416e-01     3.38026e+03     1.09042e+01     1.19592e+03     3.27181e+00
    1.61514e-01     3.24058e+03     1.61421e+01     1.13670e+03     7.50878e+00
    1.65592e-01     3.15887e+03     1.09219e+01     1.10004e+03     3.82713e+00
    1.69693e-01     3.03482e+03     6.69470e+00     1.04459e+03     3.15300e+00
    1.73803e-01     2.95875e+03     1.37525e+01     1.01194e+03     2.51690e+00
    1.77905e-01     2.92201e+03     1.17046e+01     9.93855e+02     3.02863e+00
    1.82001e-01     2.84916e+03     1.13690e+01     9.65638e+02     3.04412e+00
    1.86092e-01     2.79000e+03     7.13937e+00     9.40351e+02     3.64835e+00
    1.90161e-01     2.74352e+03     8.20721e+00     9.18454e+02     3.58345e+00
    1.94237e-01     2.67853e+03     1.66149e+01     8.89858e+02     6.60573e+00
    1.98334e-01     2.62752e+03     9.03177e+00     8.65915e+02     3.30939e+00
    2.02427e-01     2.55231e+03     7.69279e+00     8.35679e+02     2.11554e+00
    2.06523e-01     2.48978e+03     1.30772e+01     8.07499e+02     3.63804e+00
    2.10626e-01     2.42648e+03     6.67196e+00     7.79149e+02     2.75349e+00
    2.14724e-01     2.34439e+03     8.65197e+00     7.45695e+02     1.53514e+00
    2.18827e-01     2.28391e+03     7.60675e+00     7.18773e+02     2.64391e+00
    2.22903e-01     2.22059e+03     3.91511e+00     6.91207e+02     1.38062e+00
    2.26990e-01     2.17750e+03     8.45902e+00     6.73552e+02     2.27052e+00
