# k pk/ 
0.0000e+00 0.0000e+00
8.6911e-03 1.1447e+05
1.4726e-02 8.6163e+04
2.0945e-02 8.8951e+04
2.7184e-02 7.0814e+04
3.3546e-02 8.0561e+04
3.9530e-02 6.2114e+04
4.5671e-02 5.7511e+04
5.1900e-02 5.0725e+04
5.8100e-02 5.0266e+04
6.4221e-02 4.8928e+04
7.0280e-02 4.0800e+04
7.6510e-02 4.1710e+04
8.2770e-02 3.5764e+04
8.8836e-02 3.3934e+04
9.4930e-02 3.0979e+04
1.0109e-01 2.9330e+04
1.0723e-01 2.7346e+04
1.1335e-01 2.5586e+04
1.1950e-01 2.4988e+04
1.2570e-01 2.3663e+04
1.3182e-01 2.3207e+04
1.3789e-01 2.2683e+04
1.4406e-01 2.2345e+04
1.5021e-01 2.0484e+04
1.5636e-01 2.0022e+04
1.6252e-01 1.9244e+04
1.6868e-01 1.8416e+04
1.7479e-01 1.8313e+04
1.8090e-01 1.7370e+04
1.8700e-01 1.6891e+04
1.9316e-01 1.6947e+04
1.9936e-01 1.6272e+04
2.0552e-01 1.6131e+04
2.1163e-01 1.5511e+04
2.1775e-01 1.5389e+04
2.2390e-01 1.4695e+04
2.3000e-01 1.4847e+04
2.3612e-01 1.4552e+04
2.4227e-01 1.4189e+04
2.4839e-01 1.4193e+04
2.5453e-01 1.3857e+04
2.6068e-01 1.3686e+04
2.6684e-01 1.3083e+04
2.7301e-01 1.2995e+04
2.7915e-01 1.2986e+04
2.8527e-01 1.2753e+04
2.9138e-01 1.2543e+04
2.9750e-01 1.2247e+04
3.0365e-01 1.2105e+04
3.0980e-01 1.1921e+04
3.1595e-01 1.1716e+04
3.2209e-01 1.1672e+04
3.2824e-01 1.1598e+04
3.3438e-01 1.1460e+04
3.4050e-01 1.1182e+04
3.4662e-01 1.1251e+04
3.5273e-01 1.0986e+04
3.5887e-01 1.0906e+04
3.6500e-01 1.0820e+04
3.7117e-01 1.0771e+04
3.7731e-01 1.0530e+04
3.8345e-01 1.0468e+04
3.8961e-01 1.0310e+04
3.9572e-01 1.0284e+04
4.0187e-01 1.0042e+04
4.0800e-01 9.9238e+03
4.1410e-01 9.9130e+03
4.2026e-01 9.7906e+03
4.2641e-01 9.6873e+03
4.3254e-01 9.6394e+03
4.3865e-01 9.5889e+03
4.4477e-01 9.6060e+03
4.5094e-01 9.4617e+03
4.5710e-01 9.3468e+03
4.6323e-01 9.1782e+03
4.6938e-01 9.1512e+03
4.7550e-01 9.1471e+03
4.8162e-01 8.9410e+03
4.8775e-01 8.8722e+03
4.9386e-01 8.7336e+03
4.9999e-01 8.6943e+03
5.0618e-01 8.6362e+03
5.1233e-01 8.6219e+03
5.1844e-01 8.4239e+03
5.2458e-01 8.4069e+03
5.3072e-01 8.3721e+03
5.3686e-01 8.3003e+03
5.4298e-01 8.2312e+03
5.4912e-01 8.1550e+03
5.5528e-01 8.0700e+03
5.6141e-01 8.0175e+03
5.6753e-01 7.9432e+03
5.7368e-01 7.8868e+03
5.7982e-01 7.7858e+03
5.8594e-01 7.7031e+03
5.9206e-01 7.6931e+03
5.9819e-01 7.6199e+03
6.0437e-01 7.5475e+03
6.1051e-01 7.4658e+03
6.1661e-01 7.4909e+03
6.2276e-01 7.3630e+03
6.2889e-01 7.3261e+03
6.3503e-01 7.2176e+03
6.4119e-01 7.1769e+03
6.4732e-01 7.1260e+03
6.5344e-01 7.0788e+03
6.5958e-01 7.0172e+03
6.6571e-01 6.9461e+03
6.7184e-01 6.8563e+03
6.7798e-01 6.8163e+03
6.8410e-01 6.7330e+03
6.9025e-01 6.7365e+03
6.9639e-01 6.6699e+03
7.0254e-01 6.5861e+03
7.0869e-01 6.5545e+03
7.1481e-01 6.4585e+03
7.2095e-01 6.4320e+03
7.2708e-01 6.3516e+03
7.3319e-01 6.3381e+03
7.3934e-01 6.2356e+03
7.4549e-01 6.1889e+03
7.5162e-01 6.1808e+03
7.5776e-01 6.0975e+03
7.6390e-01 6.0644e+03
7.7006e-01 6.0030e+03
7.7618e-01 5.9507e+03
7.8228e-01 5.8550e+03
7.8841e-01 5.8260e+03
7.9456e-01 5.7629e+03
8.0071e-01 5.7427e+03
8.0684e-01 5.6770e+03
8.1299e-01 5.6182e+03
8.1915e-01 5.5785e+03
8.2526e-01 5.4961e+03
8.3138e-01 5.4845e+03
8.3753e-01 5.4462e+03
8.4366e-01 5.3776e+03
8.4979e-01 5.3421e+03
8.5592e-01 5.2810e+03
8.6206e-01 5.2128e+03
8.6820e-01 5.2120e+03
8.7433e-01 5.1303e+03
8.8047e-01 5.0839e+03
8.8661e-01 5.0608e+03
8.9275e-01 5.0113e+03
8.9891e-01 4.9518e+03
9.0504e-01 4.9259e+03
9.1117e-01 4.8596e+03
9.1731e-01 4.8360e+03
9.2344e-01 4.7916e+03
9.2956e-01 4.7229e+03
9.3569e-01 4.6829e+03
9.4184e-01 4.6310e+03
9.4799e-01 4.5875e+03
9.5411e-01 4.5821e+03
9.6024e-01 4.5107e+03
9.6637e-01 4.4821e+03
9.7252e-01 4.4630e+03
9.7866e-01 4.3828e+03
9.8477e-01 4.3586e+03
9.9092e-01 4.3150e+03
9.9706e-01 4.2640e+03
1.0032e+00 4.2298e+03
1.0093e+00 4.1770e+03
1.0155e+00 4.1622e+03
1.0216e+00 4.1284e+03
1.0277e+00 4.0652e+03
1.0339e+00 4.0484e+03
1.0400e+00 3.9970e+03
1.0462e+00 3.9586e+03
1.0523e+00 3.9418e+03
1.0584e+00 3.9063e+03
1.0646e+00 3.8584e+03
1.0707e+00 3.8323e+03
1.0768e+00 3.7773e+03
1.0830e+00 3.7411e+03
1.0891e+00 3.7110e+03
1.0952e+00 3.6656e+03
1.1014e+00 3.6305e+03
1.1075e+00 3.6034e+03
1.1136e+00 3.5461e+03
1.1198e+00 3.5319e+03
1.1259e+00 3.4951e+03
1.1321e+00 3.4653e+03
1.1382e+00 3.4380e+03
1.1443e+00 3.3867e+03
1.1505e+00 3.3602e+03
1.1566e+00 3.3363e+03
1.1627e+00 3.3006e+03
1.1689e+00 3.2644e+03
1.1750e+00 3.2240e+03
1.1811e+00 3.1918e+03
1.1873e+00 3.1716e+03
1.1934e+00 3.1328e+03
1.1996e+00 3.1131e+03
1.2057e+00 3.0806e+03
1.2118e+00 3.0465e+03
1.2180e+00 3.0175e+03
1.2241e+00 2.9857e+03
1.2302e+00 2.9461e+03
1.2364e+00 2.9431e+03
1.2425e+00 2.8903e+03
1.2486e+00 2.8642e+03
1.2548e+00 2.8323e+03
1.2609e+00 2.8135e+03
1.2671e+00 2.8027e+03
1.2732e+00 2.7468e+03
1.2793e+00 2.7361e+03
1.2855e+00 2.7050e+03
1.2916e+00 2.6643e+03
1.2977e+00 2.6498e+03
1.3039e+00 2.6187e+03
1.3100e+00 2.6034e+03
1.3161e+00 2.5801e+03
1.3223e+00 2.5468e+03
1.3284e+00 2.5280e+03
1.3345e+00 2.4971e+03
1.3407e+00 2.4783e+03
1.3468e+00 2.4536e+03
1.3529e+00 2.4260e+03
1.3591e+00 2.4090e+03
1.3652e+00 2.3791e+03
1.3714e+00 2.3637e+03
1.3775e+00 2.3375e+03
1.3836e+00 2.3234e+03
1.3898e+00 2.3022e+03
1.3959e+00 2.2866e+03
1.4020e+00 2.2605e+03
1.4082e+00 2.2364e+03
1.4143e+00 2.2180e+03
1.4205e+00 2.1884e+03
1.4266e+00 2.1732e+03
1.4327e+00 2.1493e+03
1.4389e+00 2.1339e+03
1.4450e+00 2.1153e+03
1.4511e+00 2.0959e+03
1.4573e+00 2.0817e+03
1.4634e+00 2.0664e+03
1.4695e+00 2.0445e+03
1.4757e+00 2.0311e+03
1.4818e+00 2.0090e+03
1.4879e+00 1.9913e+03
1.4941e+00 1.9699e+03
1.5002e+00 1.9621e+03
1.5064e+00 1.9488e+03
1.5125e+00 1.9342e+03
1.5186e+00 1.9099e+03
1.5248e+00 1.8978e+03
1.5309e+00 1.8811e+03
1.5370e+00 1.8680e+03
1.5432e+00 1.8579e+03
1.5493e+00 1.8382e+03
1.5554e+00 1.8228e+03
1.5616e+00 1.8098e+03
1.5677e+00 1.7990e+03
