# k pk/ 
0.0000e+00 0.0000e+00
8.6911e-03 4.9896e+04
1.4726e-02 3.6557e+04
2.0945e-02 3.6760e+04
2.7184e-02 2.6511e+04
3.3546e-02 3.2236e+04
3.9530e-02 2.7204e+04
4.5671e-02 2.1414e+04
5.1900e-02 2.0862e+04
5.8100e-02 1.9814e+04
6.4221e-02 1.8652e+04
7.0280e-02 1.5310e+04
7.6510e-02 1.5310e+04
8.2770e-02 1.3041e+04
8.8836e-02 1.1912e+04
9.4930e-02 1.0491e+04
1.0109e-01 9.7849e+03
1.0723e-01 8.8343e+03
1.1335e-01 8.5023e+03
1.1950e-01 8.3378e+03
1.2570e-01 7.7019e+03
1.3182e-01 7.4838e+03
1.3789e-01 6.8717e+03
1.4406e-01 6.8223e+03
1.5021e-01 6.1961e+03
1.5636e-01 5.7483e+03
1.6252e-01 5.5134e+03
1.6868e-01 5.1630e+03
1.7479e-01 4.9758e+03
1.8090e-01 4.7438e+03
1.8700e-01 4.5452e+03
1.9316e-01 4.5561e+03
1.9936e-01 4.2052e+03
2.0552e-01 4.1825e+03
2.1163e-01 3.9614e+03
2.1775e-01 3.7680e+03
2.2390e-01 3.5423e+03
2.3000e-01 3.5813e+03
2.3612e-01 3.3512e+03
2.4227e-01 3.2615e+03
2.4839e-01 3.2135e+03
2.5453e-01 3.1494e+03
2.6068e-01 3.0152e+03
2.6684e-01 2.8980e+03
2.7301e-01 2.8505e+03
2.7915e-01 2.7547e+03
2.8527e-01 2.7008e+03
2.9138e-01 2.6354e+03
2.9750e-01 2.5862e+03
3.0365e-01 2.5001e+03
3.0980e-01 2.4559e+03
3.1595e-01 2.3969e+03
3.2209e-01 2.3428e+03
3.2824e-01 2.2715e+03
3.3438e-01 2.2415e+03
3.4050e-01 2.1540e+03
3.4662e-01 2.1485e+03
3.5273e-01 2.0885e+03
3.5887e-01 2.0385e+03
3.6500e-01 1.9873e+03
3.7117e-01 1.9808e+03
3.7731e-01 1.8848e+03
3.8345e-01 1.8845e+03
3.8961e-01 1.8318e+03
3.9572e-01 1.8164e+03
4.0187e-01 1.7766e+03
4.0800e-01 1.7308e+03
4.1410e-01 1.7225e+03
4.2026e-01 1.6805e+03
4.2641e-01 1.6575e+03
4.3254e-01 1.6176e+03
4.3865e-01 1.6133e+03
4.4477e-01 1.5737e+03
4.5094e-01 1.5597e+03
4.5710e-01 1.5101e+03
4.6323e-01 1.4977e+03
4.6938e-01 1.4606e+03
4.7550e-01 1.4566e+03
4.8162e-01 1.4262e+03
4.8775e-01 1.3845e+03
4.9386e-01 1.3839e+03
4.9999e-01 1.3427e+03
5.0618e-01 1.3373e+03
5.1233e-01 1.3076e+03
5.1844e-01 1.2937e+03
5.2458e-01 1.2857e+03
5.3072e-01 1.2732e+03
5.3686e-01 1.2320e+03
5.4298e-01 1.2125e+03
5.4912e-01 1.2087e+03
5.5528e-01 1.1867e+03
5.6141e-01 1.1749e+03
5.6753e-01 1.1474e+03
5.7368e-01 1.1283e+03
5.7982e-01 1.1186e+03
5.8594e-01 1.0971e+03
5.9206e-01 1.0862e+03
5.9819e-01 1.0751e+03
6.0437e-01 1.0578e+03
6.1051e-01 1.0368e+03
6.1661e-01 1.0327e+03
6.2276e-01 1.0098e+03
6.2889e-01 1.0027e+03
6.3503e-01 9.8566e+02
6.4119e-01 9.6359e+02
6.4732e-01 9.5000e+02
6.5344e-01 9.4630e+02
6.5958e-01 9.2821e+02
6.6571e-01 9.1387e+02
6.7184e-01 9.1232e+02
6.7798e-01 8.8751e+02
6.8410e-01 8.8429e+02
6.9025e-01 8.7300e+02
6.9639e-01 8.5502e+02
7.0254e-01 8.4557e+02
7.0869e-01 8.3763e+02
7.1481e-01 8.3156e+02
7.2095e-01 8.1043e+02
7.2708e-01 8.0074e+02
7.3319e-01 7.9563e+02
7.3934e-01 7.8401e+02
7.4549e-01 7.7664e+02
7.5162e-01 7.6381e+02
7.5776e-01 7.6163e+02
7.6390e-01 7.4725e+02
7.7006e-01 7.2981e+02
7.7618e-01 7.2220e+02
7.8228e-01 7.1101e+02
7.8841e-01 7.0782e+02
7.9456e-01 6.9162e+02
8.0071e-01 6.8241e+02
8.0684e-01 6.7424e+02
8.1299e-01 6.6729e+02
8.1915e-01 6.6056e+02
8.2526e-01 6.5304e+02
8.3138e-01 6.4038e+02
8.3753e-01 6.3183e+02
8.4366e-01 6.2204e+02
8.4979e-01 6.1487e+02
8.5592e-01 6.0977e+02
8.6206e-01 5.9853e+02
8.6820e-01 5.8993e+02
8.7433e-01 5.8278e+02
8.8047e-01 5.7984e+02
8.8661e-01 5.6714e+02
8.9275e-01 5.6383e+02
8.9891e-01 5.5942e+02
9.0504e-01 5.4588e+02
9.1117e-01 5.4249e+02
9.1731e-01 5.2977e+02
9.2344e-01 5.2602e+02
9.2956e-01 5.1840e+02
9.3569e-01 5.1292e+02
9.4184e-01 5.0318e+02
9.4799e-01 5.0086e+02
9.5411e-01 4.9417e+02
9.6024e-01 4.8544e+02
9.6637e-01 4.7824e+02
9.7252e-01 4.7009e+02
9.7866e-01 4.6478e+02
9.8477e-01 4.6221e+02
9.9092e-01 4.5095e+02
9.9706e-01 4.4775e+02
1.0032e+00 4.4233e+02
1.0093e+00 4.3454e+02
1.0155e+00 4.3073e+02
1.0216e+00 4.2382e+02
1.0277e+00 4.1418e+02
1.0339e+00 4.1250e+02
1.0400e+00 4.0606e+02
1.0462e+00 4.0060e+02
1.0523e+00 3.9559e+02
1.0584e+00 3.9009e+02
1.0646e+00 3.8494e+02
1.0707e+00 3.8007e+02
1.0768e+00 3.7272e+02
1.0830e+00 3.6819e+02
1.0891e+00 3.6301e+02
1.0952e+00 3.5641e+02
1.1014e+00 3.5439e+02
1.1075e+00 3.4884e+02
1.1136e+00 3.4541e+02
1.1198e+00 3.4099e+02
1.1259e+00 3.3460e+02
1.1321e+00 3.2895e+02
1.1382e+00 3.2625e+02
1.1443e+00 3.2060e+02
1.1505e+00 3.1585e+02
1.1566e+00 3.1112e+02
1.1627e+00 3.0620e+02
1.1689e+00 3.0383e+02
1.1750e+00 2.9764e+02
1.1811e+00 2.9440e+02
1.1873e+00 2.9092e+02
1.1934e+00 2.8774e+02
1.1996e+00 2.8139e+02
1.2057e+00 2.7790e+02
1.2118e+00 2.7518e+02
1.2180e+00 2.7095e+02
1.2241e+00 2.6735e+02
1.2302e+00 2.6452e+02
1.2364e+00 2.6033e+02
1.2425e+00 2.5580e+02
1.2486e+00 2.5263e+02
1.2548e+00 2.5006e+02
1.2609e+00 2.4633e+02
1.2671e+00 2.4262e+02
1.2732e+00 2.3889e+02
1.2793e+00 2.3434e+02
1.2855e+00 2.3266e+02
1.2916e+00 2.2913e+02
1.2977e+00 2.2657e+02
1.3039e+00 2.2317e+02
1.3100e+00 2.1882e+02
1.3161e+00 2.1713e+02
1.3223e+00 2.1348e+02
1.3284e+00 2.0970e+02
1.3345e+00 2.0735e+02
1.3407e+00 2.0505e+02
1.3468e+00 2.0202e+02
1.3529e+00 1.9886e+02
1.3591e+00 1.9674e+02
1.3652e+00 1.9476e+02
1.3714e+00 1.9092e+02
1.3775e+00 1.8862e+02
1.3836e+00 1.8581e+02
1.3898e+00 1.8396e+02
1.3959e+00 1.8155e+02
1.4020e+00 1.7921e+02
1.4082e+00 1.7740e+02
1.4143e+00 1.7371e+02
1.4205e+00 1.7181e+02
1.4266e+00 1.6897e+02
1.4327e+00 1.6733e+02
1.4389e+00 1.6552e+02
1.4450e+00 1.6338e+02
1.4511e+00 1.6043e+02
1.4573e+00 1.5931e+02
1.4634e+00 1.5721e+02
1.4695e+00 1.5559e+02
1.4757e+00 1.5266e+02
1.4818e+00 1.5090e+02
1.4879e+00 1.4936e+02
1.4941e+00 1.4724e+02
1.5002e+00 1.4579e+02
