# k pk/ 
0.0000e+00 0.0000e+00
8.6911e-03 4.3899e+04
1.4726e-02 3.3065e+04
2.0945e-02 3.2424e+04
2.7184e-02 2.5741e+04
3.3546e-02 2.9241e+04
3.9530e-02 2.3867e+04
4.5671e-02 1.9762e+04
5.1900e-02 1.9115e+04
5.8100e-02 1.7582e+04
6.4221e-02 1.6842e+04
7.0280e-02 1.3660e+04
7.6510e-02 1.3875e+04
8.2770e-02 1.1657e+04
8.8836e-02 1.0693e+04
9.4930e-02 9.3729e+03
1.0109e-01 8.8757e+03
1.0723e-01 8.1541e+03
1.1335e-01 7.5243e+03
1.1950e-01 7.2476e+03
1.2570e-01 6.7981e+03
1.3182e-01 6.5672e+03
1.3789e-01 6.1057e+03
1.4406e-01 5.9332e+03
1.5021e-01 5.3364e+03
1.5636e-01 5.0833e+03
1.6252e-01 4.7379e+03
1.6868e-01 4.5079e+03
1.7479e-01 4.3149e+03
1.8090e-01 4.0955e+03
1.8700e-01 3.9261e+03
1.9316e-01 3.9446e+03
1.9936e-01 3.6613e+03
2.0552e-01 3.6341e+03
2.1163e-01 3.3820e+03
2.1775e-01 3.1955e+03
2.2390e-01 2.9851e+03
2.3000e-01 3.0907e+03
2.3612e-01 2.8474e+03
2.4227e-01 2.7528e+03
2.4839e-01 2.7667e+03
2.5453e-01 2.6385e+03
2.6068e-01 2.5271e+03
2.6684e-01 2.4493e+03
2.7301e-01 2.4073e+03
2.7915e-01 2.3266e+03
2.8527e-01 2.2679e+03
2.9138e-01 2.1479e+03
2.9750e-01 2.1313e+03
3.0365e-01 2.0637e+03
3.0980e-01 1.9904e+03
3.1595e-01 1.9905e+03
3.2209e-01 1.9173e+03
3.2824e-01 1.8730e+03
3.3438e-01 1.8270e+03
3.4050e-01 1.7649e+03
3.4662e-01 1.7557e+03
3.5273e-01 1.7152e+03
3.5887e-01 1.6785e+03
3.6500e-01 1.6049e+03
3.7117e-01 1.6130e+03
3.7731e-01 1.5341e+03
3.8345e-01 1.5189e+03
3.8961e-01 1.4791e+03
3.9572e-01 1.4424e+03
4.0187e-01 1.4358e+03
4.0800e-01 1.3896e+03
4.1410e-01 1.3643e+03
4.2026e-01 1.3456e+03
4.2641e-01 1.3111e+03
4.3254e-01 1.2765e+03
4.3865e-01 1.2731e+03
4.4477e-01 1.2332e+03
4.5094e-01 1.2274e+03
4.5710e-01 1.2018e+03
4.6323e-01 1.1829e+03
4.6938e-01 1.1415e+03
4.7550e-01 1.1413e+03
4.8162e-01 1.1205e+03
4.8775e-01 1.0848e+03
4.9386e-01 1.0757e+03
4.9999e-01 1.0424e+03
5.0618e-01 1.0399e+03
5.1233e-01 1.0211e+03
5.1844e-01 1.0011e+03
5.2458e-01 9.8783e+02
5.3072e-01 9.8264e+02
5.3686e-01 9.4464e+02
5.4298e-01 9.3197e+02
5.4912e-01 9.2352e+02
5.5528e-01 8.9787e+02
5.6141e-01 8.9181e+02
5.6753e-01 8.6880e+02
5.7368e-01 8.5743e+02
5.7982e-01 8.4842e+02
5.8594e-01 8.2860e+02
5.9206e-01 8.2260e+02
5.9819e-01 8.0793e+02
6.0437e-01 7.9537e+02
6.1051e-01 7.7684e+02
6.1661e-01 7.7164e+02
6.2276e-01 7.5611e+02
6.2889e-01 7.4137e+02
6.3503e-01 7.3314e+02
6.4119e-01 7.1841e+02
6.4732e-01 7.0726e+02
6.5344e-01 7.0199e+02
6.5958e-01 6.8659e+02
6.6571e-01 6.7329e+02
6.7184e-01 6.7007e+02
6.7798e-01 6.5788e+02
6.8410e-01 6.4906e+02
6.9025e-01 6.4015e+02
6.9639e-01 6.3002e+02
7.0254e-01 6.2216e+02
7.0869e-01 6.0959e+02
7.1481e-01 6.0387e+02
7.2095e-01 5.9341e+02
7.2708e-01 5.8232e+02
7.3319e-01 5.7928e+02
7.3934e-01 5.6738e+02
7.4549e-01 5.5832e+02
7.5162e-01 5.4847e+02
7.5776e-01 5.4968e+02
7.6390e-01 5.3332e+02
7.7006e-01 5.2607e+02
7.7618e-01 5.1969e+02
7.8228e-01 5.1230e+02
7.8841e-01 5.0739e+02
7.9456e-01 4.9635e+02
8.0071e-01 4.8455e+02
8.0684e-01 4.7906e+02
8.1299e-01 4.7459e+02
8.1915e-01 4.6750e+02
8.2526e-01 4.6255e+02
8.3138e-01 4.5318e+02
8.3753e-01 4.4512e+02
8.4366e-01 4.4045e+02
8.4979e-01 4.3707e+02
8.5592e-01 4.2905e+02
8.6206e-01 4.2178e+02
8.6820e-01 4.1501e+02
8.7433e-01 4.0888e+02
8.8047e-01 4.0602e+02
8.8661e-01 3.9618e+02
8.9275e-01 3.9397e+02
8.9891e-01 3.9114e+02
9.0504e-01 3.8241e+02
9.1117e-01 3.7668e+02
9.1731e-01 3.6617e+02
9.2344e-01 3.6648e+02
9.2956e-01 3.5978e+02
9.3569e-01 3.5582e+02
9.4184e-01 3.4971e+02
9.4799e-01 3.4645e+02
9.5411e-01 3.3944e+02
9.6024e-01 3.3303e+02
9.6637e-01 3.2927e+02
9.7252e-01 3.2425e+02
9.7866e-01 3.1981e+02
9.8477e-01 3.1766e+02
9.9092e-01 3.0927e+02
9.9706e-01 3.0673e+02
1.0032e+00 3.0263e+02
1.0093e+00 2.9639e+02
1.0155e+00 2.9385e+02
1.0216e+00 2.8788e+02
1.0277e+00 2.8244e+02
1.0339e+00 2.8071e+02
1.0400e+00 2.7601e+02
1.0462e+00 2.7162e+02
1.0523e+00 2.6929e+02
1.0584e+00 2.6437e+02
1.0646e+00 2.6103e+02
1.0707e+00 2.5683e+02
1.0768e+00 2.5311e+02
1.0830e+00 2.4857e+02
1.0891e+00 2.4557e+02
1.0952e+00 2.4126e+02
1.1014e+00 2.3896e+02
1.1075e+00 2.3410e+02
1.1136e+00 2.3194e+02
1.1198e+00 2.2904e+02
1.1259e+00 2.2454e+02
1.1321e+00 2.2052e+02
1.1382e+00 2.1907e+02
1.1443e+00 2.1467e+02
1.1505e+00 2.1020e+02
1.1566e+00 2.0790e+02
1.1627e+00 2.0474e+02
1.1689e+00 2.0279e+02
1.1750e+00 1.9922e+02
1.1811e+00 1.9558e+02
1.1873e+00 1.9317e+02
1.1934e+00 1.9123e+02
1.1996e+00 1.8673e+02
1.2057e+00 1.8412e+02
1.2118e+00 1.8264e+02
1.2180e+00 1.7975e+02
1.2241e+00 1.7681e+02
1.2302e+00 1.7565e+02
1.2364e+00 1.7236e+02
1.2425e+00 1.6906e+02
1.2486e+00 1.6700e+02
1.2548e+00 1.6433e+02
1.2609e+00 1.6303e+02
1.2671e+00 1.5953e+02
1.2732e+00 1.5782e+02
1.2793e+00 1.5445e+02
1.2855e+00 1.5328e+02
1.2916e+00 1.5043e+02
1.2977e+00 1.4822e+02
1.3039e+00 1.4604e+02
1.3100e+00 1.4386e+02
1.3161e+00 1.4176e+02
1.3223e+00 1.3970e+02
1.3284e+00 1.3755e+02
1.3345e+00 1.3618e+02
1.3407e+00 1.3377e+02
1.3468e+00 1.3177e+02
1.3529e+00 1.2981e+02
1.3591e+00 1.2806e+02
1.3652e+00 1.2689e+02
1.3714e+00 1.2464e+02
1.3775e+00 1.2245e+02
1.3836e+00 1.2131e+02
1.3898e+00 1.1923e+02
1.3959e+00 1.1790e+02
1.4020e+00 1.1663e+02
1.4082e+00 1.1509e+02
1.4143e+00 1.1289e+02
1.4205e+00 1.1143e+02
1.4266e+00 1.0952e+02
1.4327e+00 1.0840e+02
1.4389e+00 1.0751e+02
1.4450e+00 1.0564e+02
1.4511e+00 1.0401e+02
1.4573e+00 1.0316e+02
1.4634e+00 1.0139e+02
1.4695e+00 1.0061e+02
1.4757e+00 9.8739e+01
1.4818e+00 9.7531e+01
1.4879e+00 9.6182e+01
1.4941e+00 9.4912e+01
1.5002e+00 9.3850e+01
1.5064e+00 9.2535e+01
1.5125e+00 9.1705e+01
1.5186e+00 9.0230e+01
1.5248e+00 8.9890e+01
1.5309e+00 8.8517e+01
1.5370e+00 8.7347e+01
1.5432e+00 8.6355e+01
1.5493e+00 8.5870e+01
1.5554e+00 8.4458e+01
1.5616e+00 8.3601e+01
1.5677e+00 8.2885e+01
