# k pk/ 
0.0000e+00 0.0000e+00
8.6911e-03 6.8015e+04
1.4726e-02 4.3673e+04
2.0945e-02 4.6681e+04
2.7184e-02 3.5340e+04
3.3546e-02 4.1133e+04
3.9530e-02 3.2501e+04
4.5671e-02 2.7911e+04
5.1900e-02 2.5527e+04
5.8100e-02 2.4184e+04
6.4221e-02 2.2836e+04
7.0280e-02 1.8803e+04
7.6510e-02 1.9390e+04
8.2770e-02 1.6014e+04
8.8836e-02 1.5135e+04
9.4930e-02 1.3315e+04
1.0109e-01 1.2398e+04
1.0723e-01 1.1365e+04
1.1335e-01 1.0261e+04
1.1950e-01 1.0199e+04
1.2570e-01 9.4877e+03
1.3182e-01 8.9249e+03
1.3789e-01 8.6153e+03
1.4406e-01 8.4122e+03
1.5021e-01 7.4800e+03
1.5636e-01 7.3002e+03
1.6252e-01 6.7747e+03
1.6868e-01 6.4543e+03
1.7479e-01 6.3120e+03
1.8090e-01 6.0206e+03
1.8700e-01 5.7191e+03
1.9316e-01 5.6448e+03
1.9936e-01 5.3410e+03
2.0552e-01 5.2434e+03
2.1163e-01 4.9768e+03
2.1775e-01 4.8708e+03
2.2390e-01 4.5829e+03
2.3000e-01 4.5455e+03
2.3612e-01 4.3490e+03
2.4227e-01 4.2253e+03
2.4839e-01 4.1643e+03
2.5453e-01 4.0588e+03
2.6068e-01 3.9395e+03
2.6684e-01 3.7629e+03
2.7301e-01 3.6840e+03
2.7915e-01 3.6359e+03
2.8527e-01 3.4984e+03
2.9138e-01 3.4237e+03
2.9750e-01 3.2936e+03
3.0365e-01 3.2437e+03
3.0980e-01 3.1561e+03
3.1595e-01 3.1378e+03
3.2209e-01 3.0474e+03
3.2824e-01 3.0162e+03
3.3438e-01 2.9467e+03
3.4050e-01 2.8631e+03
3.4662e-01 2.8490e+03
3.5273e-01 2.7804e+03
3.5887e-01 2.7253e+03
3.6500e-01 2.6780e+03
3.7117e-01 2.6637e+03
3.7731e-01 2.5623e+03
3.8345e-01 2.5512e+03
3.8961e-01 2.4973e+03
3.9572e-01 2.4394e+03
4.0187e-01 2.3915e+03
4.0800e-01 2.3611e+03
4.1410e-01 2.3375e+03
4.2026e-01 2.2992e+03
4.2641e-01 2.2666e+03
4.3254e-01 2.2035e+03
4.3865e-01 2.1761e+03
4.4477e-01 2.1848e+03
4.5094e-01 2.1335e+03
4.5710e-01 2.0928e+03
4.6323e-01 2.0603e+03
4.6938e-01 2.0415e+03
4.7550e-01 2.0015e+03
4.8162e-01 1.9734e+03
4.8775e-01 1.9300e+03
4.9386e-01 1.8943e+03
4.9999e-01 1.8937e+03
5.0618e-01 1.8708e+03
5.1233e-01 1.8499e+03
5.1844e-01 1.8048e+03
5.2458e-01 1.7764e+03
5.3072e-01 1.7770e+03
5.3686e-01 1.7383e+03
5.4298e-01 1.7304e+03
5.4912e-01 1.6980e+03
5.5528e-01 1.6689e+03
5.6141e-01 1.6448e+03
5.6753e-01 1.6115e+03
5.7368e-01 1.6060e+03
5.7982e-01 1.5976e+03
5.8594e-01 1.5546e+03
5.9206e-01 1.5556e+03
5.9819e-01 1.5297e+03
6.0437e-01 1.5098e+03
6.1051e-01 1.4912e+03
6.1661e-01 1.4803e+03
6.2276e-01 1.4550e+03
6.2889e-01 1.4426e+03
6.3503e-01 1.4151e+03
6.4119e-01 1.4005e+03
6.4732e-01 1.3868e+03
6.5344e-01 1.3726e+03
6.5958e-01 1.3518e+03
6.6571e-01 1.3327e+03
6.7184e-01 1.3162e+03
6.7798e-01 1.3082e+03
6.8410e-01 1.2880e+03
6.9025e-01 1.2772e+03
6.9639e-01 1.2517e+03
7.0254e-01 1.2403e+03
7.0869e-01 1.2358e+03
7.1481e-01 1.2037e+03
7.2095e-01 1.1993e+03
7.2708e-01 1.1778e+03
7.3319e-01 1.1647e+03
7.3934e-01 1.1494e+03
7.4549e-01 1.1365e+03
7.5162e-01 1.1293e+03
7.5776e-01 1.1251e+03
7.6390e-01 1.0999e+03
7.7006e-01 1.0890e+03
7.7618e-01 1.0763e+03
7.8228e-01 1.0444e+03
7.8841e-01 1.0381e+03
7.9456e-01 1.0330e+03
8.0071e-01 1.0194e+03
8.0684e-01 1.0044e+03
8.1299e-01 9.9284e+02
8.1915e-01 9.7984e+02
8.2526e-01 9.6003e+02
8.3138e-01 9.5289e+02
8.3753e-01 9.4519e+02
8.4366e-01 9.2630e+02
8.4979e-01 9.1955e+02
8.5592e-01 9.0682e+02
8.6206e-01 8.9109e+02
8.6820e-01 8.9240e+02
8.7433e-01 8.7608e+02
8.8047e-01 8.6387e+02
8.8661e-01 8.5857e+02
8.9275e-01 8.4100e+02
8.9891e-01 8.3148e+02
9.0504e-01 8.2174e+02
9.1117e-01 8.1172e+02
9.1731e-01 7.9839e+02
9.2344e-01 7.8842e+02
9.2956e-01 7.7623e+02
9.3569e-01 7.6827e+02
9.4184e-01 7.5931e+02
9.4799e-01 7.4830e+02
9.5411e-01 7.4039e+02
9.6024e-01 7.2793e+02
