# k pk/ 
0.0000e+00 0.0000e+00
8.6911e-03 1.5475e+05
1.4726e-02 9.2764e+04
2.0945e-02 1.0184e+05
2.7184e-02 8.1751e+04
3.3546e-02 9.4204e+04
3.9530e-02 7.6973e+04
4.5671e-02 6.7423e+04
5.1900e-02 6.1202e+04
5.8100e-02 6.0080e+04
6.4221e-02 5.7006e+04
7.0280e-02 4.8592e+04
7.6510e-02 5.2155e+04
8.2770e-02 4.3485e+04
8.8836e-02 4.3130e+04
9.4930e-02 3.8531e+04
1.0109e-01 3.6774e+04
1.0723e-01 3.4525e+04
1.1335e-01 3.2266e+04
1.1950e-01 3.2207e+04
1.2570e-01 3.0314e+04
1.3182e-01 2.9017e+04
1.3789e-01 2.9181e+04
1.4406e-01 2.8771e+04
1.5021e-01 2.6436e+04
1.5636e-01 2.6346e+04
1.6252e-01 2.5315e+04
1.6868e-01 2.4296e+04
1.7479e-01 2.4250e+04
1.8090e-01 2.3868e+04
1.8700e-01 2.2768e+04
1.9316e-01 2.2793e+04
1.9936e-01 2.2185e+04
2.0552e-01 2.1800e+04
2.1163e-01 2.1373e+04
2.1775e-01 2.1247e+04
2.2390e-01 2.0742e+04
2.3000e-01 2.0660e+04
2.3612e-01 2.0002e+04
2.4227e-01 1.9858e+04
2.4839e-01 1.9697e+04
2.5453e-01 1.9323e+04
2.6068e-01 1.9199e+04
2.6684e-01 1.8818e+04
2.7301e-01 1.8610e+04
2.7915e-01 1.8481e+04
2.8527e-01 1.8149e+04
2.9138e-01 1.8016e+04
2.9750e-01 1.7565e+04
3.0365e-01 1.7450e+04
3.0980e-01 1.7372e+04
3.1595e-01 1.7363e+04
3.2209e-01 1.7030e+04
3.2824e-01 1.6975e+04
3.3438e-01 1.6941e+04
3.4050e-01 1.6718e+04
3.4662e-01 1.6642e+04
3.5273e-01 1.6448e+04
3.5887e-01 1.6255e+04
3.6500e-01 1.6191e+04
3.7117e-01 1.6194e+04
3.7731e-01 1.5781e+04
3.8345e-01 1.5804e+04
3.8961e-01 1.5693e+04
3.9572e-01 1.5527e+04
4.0187e-01 1.5460e+04
4.0800e-01 1.5286e+04
4.1410e-01 1.5184e+04
4.2026e-01 1.5113e+04
4.2641e-01 1.5050e+04
4.3254e-01 1.4845e+04
4.3865e-01 1.4796e+04
4.4477e-01 1.4836e+04
4.5094e-01 1.4646e+04
4.5710e-01 1.4540e+04
4.6323e-01 1.4396e+04
4.6938e-01 1.4288e+04
4.7550e-01 1.4305e+04
4.8162e-01 1.4145e+04
4.8775e-01 1.3968e+04
4.9386e-01 1.3822e+04
4.9999e-01 1.3945e+04
5.0618e-01 1.3753e+04
5.1233e-01 1.3671e+04
5.1844e-01 1.3563e+04
5.2458e-01 1.3469e+04
5.3072e-01 1.3481e+04
5.3686e-01 1.3354e+04
5.4298e-01 1.3337e+04
5.4912e-01 1.3153e+04
5.5528e-01 1.3136e+04
5.6141e-01 1.2974e+04
5.6753e-01 1.2866e+04
