# k pk/ 
1.2241e+00 2.5812e+02
1.2302e+00 2.5160e+02
1.2364e+00 2.5064e+02
1.2425e+00 2.4428e+02
1.2486e+00 2.4190e+02
1.2548e+00 2.3704e+02
1.2609e+00 2.3511e+02
1.2671e+00 2.3359e+02
1.2732e+00 2.2676e+02
1.2793e+00 2.2509e+02
1.2855e+00 2.2037e+02
1.2916e+00 2.1670e+02
1.2977e+00 2.1443e+02
1.3039e+00 2.1102e+02
1.3100e+00 2.0804e+02
1.3161e+00 2.0531e+02
1.3223e+00 2.0168e+02
1.3284e+00 1.9849e+02
1.3345e+00 1.9505e+02
1.3407e+00 1.9296e+02
1.3468e+00 1.8908e+02
1.3529e+00 1.8699e+02
1.3591e+00 1.8432e+02
1.3652e+00 1.8105e+02
1.3714e+00 1.7885e+02
1.3775e+00 1.7560e+02
1.3836e+00 1.7406e+02
1.3898e+00 1.7145e+02
1.3959e+00 1.6922e+02
1.4020e+00 1.6650e+02
1.4082e+00 1.6370e+02
1.4143e+00 1.6183e+02
1.4205e+00 1.5851e+02
1.4266e+00 1.5651e+02
1.4327e+00 1.5421e+02
1.4389e+00 1.5224e+02
1.4450e+00 1.5023e+02
1.4511e+00 1.4794e+02
1.4573e+00 1.4580e+02
1.4634e+00 1.4431e+02
1.4695e+00 1.4190e+02
1.4757e+00 1.4078e+02
1.4818e+00 1.3823e+02
1.4879e+00 1.3643e+02
1.4941e+00 1.3395e+02
1.5002e+00 1.3287e+02
1.5064e+00 1.3165e+02
1.5125e+00 1.2970e+02
1.5186e+00 1.2724e+02
1.5248e+00 1.2641e+02
1.5309e+00 1.2423e+02
1.5370e+00 1.2295e+02
1.5432e+00 1.2176e+02
1.5493e+00 1.1967e+02
1.5554e+00 1.1880e+02
1.5616e+00 1.1686e+02
1.5677e+00 1.1586e+02
